sequence,Complexity,gemini_script_1,gemini_script_2,claude-3-5-sonnet_script_1,claude-3-5-sonnet_script_2,claude-3-5-sonnet_script_3,chatgpt-4o_script_1,chatgpt-4o_script_2,mistral_script_1,mistral_script_2,meta_script_1,meta_script_2,o1_mini_script_1,o1_mini_script_2,o1_mini_script_3,cursor_small_script_1,cursor_small_script_2
"81, 82, 83, 84, 85, 86, 87, 88, 89, 90",1,"print(list(range(81, 91)))",*not found,"print(list(range(81,91)))","print([i for i in range(81,91)])",print([81+i for i in range(10)]),"print(list(range(81,91)))","print([i for i in range(81,91)])","print([i for i in range(81, 91)])","for i in range(81, 91): print(i)","list(range(81,91))","[i for i in range(81,91)]","print([81,82,83,84,85,86,87,88,89,90])","print(list(range(81,91)))",print([81 + i for i in range(10)]),"print(list(range(81, 91)))","print([i for i in range(81, 91)])"
"91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,"print(list(range(91, 101)))",*not found,"print(list(range(91,101)))","print([i for i in range(91,101)])",print([91+i for i in range(10)]),"print(list(range(91,101)))","print([i for i in range(91,101)])","print([i for i in range(91, 101)])","for i in range(91, 101): print(i)","list(range(91,101))","[i for i in range(91,101)]","print([91,92,93,94,95,96,97,98,99,100])","print(list(range(91,101)))",print([91 + i for i in range(10)]),"print(list(range(91, 101)))","print([i for i in range(91, 101)])"
"101, 102, 103, 104, 105, 106, 107, 108, 109, 110",1,"print(list(range(101, 111)))",*not found,"print(list(range(101,111)))","print([i for i in range(101,111)])",print([101+i for i in range(10)]),"print(list(range(101,111)))","print([i for i in range(101,111)])","print([i for i in range(101, 111)])","for i in range(101, 111): print(i)","list(range(101,111))","[i for i in range(101,111)]","print(list(range(101,111)))",print([101 + i for i in range(10)]),*not found,"print(list(range(101, 111)))","print([i for i in range(101, 111)])"
"111, 112, 113, 114, 115, 116, 117, 118, 119, 120",1,"print(list(range(111, 121)))",*not found,"print(list(range(111,121)))","print([i for i in range(111,121)])",print([111+i for i in range(10)]),"print(list(range(111,121)))","print([i for i in range(111,121)])","print([i for i in range(111, 121)])","for i in range(111, 121): print(i)","list(range(111,121))","[i for i in range(111,121)]","print(list(range(111,121)))",print([111 + i for i in range(10)]),*not found,"print(list(range(111, 121)))","print([i for i in range(111, 121)])"
"121, 122, 123, 124, 125, 126, 127, 128, 129, 130",1,"print(list(range(121, 131)))",*not found,"print(list(range(121,131)))","print([i for i in range(121,131)])",print([121+i for i in range(10)]),"print(list(range(121,131)))","print([i for i in range(121,131)])","print([i for i in range(121, 131)])","for i in range(121, 131): print(i)","list(range(121,131))","[i for i in range(121,131)]","print(list(range(121,131)))",print([121 + i for i in range(10)]),*not found,"print(list(range(121, 131)))","print([i for i in range(121, 131)])"
"131, 132, 133, 134, 135, 136, 137, 138, 139, 140",1,"print(list(range(131, 141)))",*not found,"print(list(range(131,141)))","print([i for i in range(131,141)])",print([131+i for i in range(10)]),"print(list(range(131,141)))","print([i for i in range(131,141)])","print([i for i in range(131, 141)])","for i in range(131, 141): print(i)","list(range(131,141))","[i for i in range(131,141)]","print(list(range(131,141)))",print([131 + i for i in range(10)]),*not found,"print(list(range(131, 141)))","print([i for i in range(131, 141)])"
"141, 142, 143, 144, 145, 146, 147, 148, 149, 150",1,"print(list(range(141, 151)))",*not found,"print(list(range(141,151)))","print([i for i in range(141,151)])",print([141+i for i in range(10)]),"print(list(range(141,151)))","print([i for i in range(141,151)])","print([i for i in range(141, 151)])","for i in range(141, 151): print(i)","list(range(141,151))","[i for i in range(141,151)]","print(list(range(141,151)))",print([141 + i for i in range(10)]),*not found,"print(list(range(141, 151)))","print([i for i in range(141, 151)])"
"151, 152, 153, 154, 155, 156, 157, 158, 159, 160",1,"print(list(range(151, 161)))",*not found,"print(list(range(151,161)))","print([i for i in range(151,161)])",print([151+i for i in range(10)]),"print(list(range(151,161)))","print([i for i in range(151,161)])","print([i for i in range(151, 161)])","for i in range(151, 161): print(i)","list(range(151,161))","[i for i in range(151,161)]","print(list(range(151,161)))",print([151 + i for i in range(10)]),*not found,"print(list(range(151, 161)))","print([i for i in range(151, 161)])"
"161, 162, 163, 164, 165, 166, 167, 168, 169, 170",1,"print(list(range(161, 171)))",*not found,"print(list(range(161,171)))","print([i for i in range(161,171)])",print([161+i for i in range(10)]),"print(list(range(161,171)))","print([i for i in range(161,171)])","print([i for i in range(161, 171)])","for i in range(161, 171): print(i)","list(range(161,171))","[i for i in range(161,171)]","print(list(range(161,171)))",print([161 + i for i in range(10)]),*not found,"print(list(range(161, 171)))","print([i for i in range(161, 171)])"
"171, 172, 173, 174, 175, 176, 177, 178, 179, 180",1,"print(list(range(171, 181)))",*not found,"print(list(range(171,181)))","print([i for i in range(171,181)])",print([171+i for i in range(10)]),"print(list(range(171,181)))","print([i for i in range(171,181)])","print([i for i in range(171, 181)])","for i in range(171, 181): print(i)","list(range(171,181))","[i for i in range(171,181)]","print(list(range(171,181)))",print([171 + i for i in range(10)]),*not found,"print(list(range(171, 181)))","print([i for i in range(171, 181)])"
"181, 182, 183, 184, 185, 186, 187, 188, 189, 190",1,"print(list(range(181, 191)))",*not found,"print(list(range(181,191)))","print([i for i in range(181,191)])",print([181+i for i in range(10)]),"print(list(range(181,191)))","print([i for i in range(181,191)])","print([i for i in range(181, 191)])","for i in range(181, 191): print(i)","list(range(181,191))","[i for i in range(181,191)]","print(list(range(181,191)))",print([181 + i for i in range(10)]),*not found,"print(list(range(181, 191)))","print([i for i in range(181, 191)])"
"191, 192, 193, 194, 195, 196, 197, 198, 199, 200",1,"print(list(range(191, 201)))",*not found,"print(list(range(191,201)))","print([i for i in range(191,201)])",print([191+i for i in range(10)]),"print(list(range(191,201)))","print([i for i in range(191,201)])","print([i for i in range(191, 201)])","for i in range(191, 201): print(i)","list(range(191,201))","[i for i in range(191,201)]","print(list(range(191,201)))",print([191 + i for i in range(10)]),*not found,"print(list(range(191, 201)))","print([i for i in range(191, 201)])"
"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",2,"def primes(n):
    primes = []
    for num in range(2, n + 1):
        is_prime = True
        for i in range(2, int(num**0.5) + 1):
            if num % i == 0:
                is_prime = False
                break
        if is_prime:
            primes.append(num)
    return primes
print(primes(30)[:10])","def is_prime(n):
    if n < 2:
        return False
    for i in range(2, int(n**0.5) + 1):
        if n % i == 0:
            return False
    return True

primes = []
num = 2
while len(primes) < 10:
    if is_prime(num):
        primes.append(num)
    num += 1
print(primes)","def primes(n): return [x for x in range(2,n) if all(x%i!=0 for i in range(2,x))]; print(primes(30))","print([2,3,5,7,11,13,17,19,23,29])",*not found,"print([2,3,5,7,11,13,17,19,23,29])","def primes(n): return [x for x in range(2,n) if all(x%i!=0 for i in range(2,int(x**0.5)+1))]; print(primes(30))","print([i for i in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]])","for i in [2, 3, 5, 7, 11, 13, 17, 19, 23, 29]: print(i)","[x for x in [2,3,5,7,11,13,17,19,23,29]]",primes = []; n = 2; while len(primes) < 10: if all(n % p > 0 for p in primes): primes.append(n); n += 1; print(primes),"def primes(n): return [x for x in range(2,n) if all(x%i !=0 for i in range(2, int(x**0.5)+1))]; print(primes(30))","print([2,3,5,7,11,13,17,19,23,29])",*not found,"print([x for x in range(2, 30) if all(x % i != 0 for i in range(2, int(x**0.5) + 1))])","def is_prime(n): return n > 1 and all(n % i != 0 for i in range(2, int(n**0.5) + 1)); print([x for x in range(30) if is_prime(x)])"
"1, 1, 2, 3, 5, 8, 13, 21, 34, 55",2,"def fibonacci(n):
    fib_sequence = [1, 1]
    while len(fib_sequence) < n:
        next_fib = fib_sequence[-1] + fib_sequence[-2]
        fib_sequence.append(next_fib)
    return fib_sequence
print(fibonacci(10))","a, b = 1, 1
fib_list = []
for _ in range(10):
    fib_list.append(a)
    a, b = b, a + b
print(fib_list)","print([1,1]+[sum(fib[-2:]) for fib in [[1,1]for _ in range(8)]])","a,b=1,1;print([a]+[b:=a+a:=b for _ in range(9)])",*not found,"print([1,1,2,3,5,8,13,21,34,55])","a,b=1,1;print([a]+[b:=a+a:=b for _ in range(9)])","a, b = 1, 1; print([a]); for _ in range(9): a, b = b, a + b; print(a)","a, b = 1, 1; result = [a]; for _ in range(9): a, b = b, a + b; result.append(a); print(result)","[x for x in [1,1,2,3,5,8,13,21,34,55]]","fib = [1,1]; while len(fib) < 10: fib.append(fib[-1] + fib[-2])","def fibonacci(n): a, b = 0, 1; fib = [a, b]; for _ in range(n-2): a, b = b, a + b; fib.append(b); print(fib)","print([1,1,2,3,5,8,13,21,34,55])",*not found,"print([1, 1] + [sum([1, 1][i-1:i+1]) for i in range(2, 10)])","a, b = 1, 1; fib = [a, b]; [fib.append(a := b, b := a + b) for _ in range(8)]; print(fib)"
"1, 2, 4, 8, 16, 32, 64, 128, 256, 512",2,print([2**i for i in range(10)]),print([1 << i for i in range(10)]),print([2**i for i in range(10)]),n=1;print([n:=n*2 for _ in range(10)]),*not found,print([2**i for i in range(10)]),n=1;print([n:=n*2 for _ in range(10)]),print([2**i for i in range(10)]),for i in range(10): print(2**i),[2x for x in range(10)],"[x2 for x in range(1,11)]",print([2**i for i in range(10)]),n=1; print([n:=n*2 for _ in range(10)]),*not found,print([2**i for i in range(10)]),n = 1; print([n := n * 2 for _ in range(10)])
"1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683",2,print([3**i for i in range(10)]),"result = 1
for _ in range(10):
    print(result, end=' ')
    result *=3",print([3**i for i in range(10)]),n=1;print([n:=n*3 for _ in range(10)]),*not found,print([3**i for i in range(10)]),n=1;print([n:=n*3 for _ in range(10)]),print([3**i for i in range(10)]),for i in range(10): print(3**i),[3x for x in range(10)],"[x3 for x in range(1,11)]",print([3**i for i in range(10)]),n=1; print([n:=n*3 for _ in range(10)]),*not found,print([3**i for i in range(10)]),n = 1; print([n := n * 3 for _ in range(10)])
"1, 4, 9, 16, 25, 36, 49, 64, 81, 100",2,"print([i**2 for i in range(1, 11)])","print([i*i for i in range(1, 11)])","print([i**2 for i in range(1,11)])","print([i*i for i in range(1,11)])",*not found,"print([i**2 for i in range(1,11)])","print([i*i for i in range(1,11)])","print([i**2 for i in range(1, 11)])","for i in range(1, 11): print(i**2)","[x2 for x in range(1,11)]","[xx for x in range(1,11)]","print([i**2 for i in range(1,11)])","print([i*i for i in range(1,11)])",*not found,"print([i**2 for i in range(1, 11)])","print([x*x for x in range(1, 11)])"
"1, 8, 27, 64, 125, 216, 343, 512, 729, 1000",2,"print([i**3 for i in range(1, 11)])","print([i*i*i for i in range(1, 11)])","print([i**3 for i in range(1,11)])","print([pow(i,3) for i in range(1,11)])",*not found,"print([i**3 for i in range(1,11)])","print([pow(i,3) for i in range(1,11)])","print([i**3 for i in range(1, 11)])","for i in range(1, 11): print(i**3)","[x3 for x in range(1,11)]","[xxx for x in range(1,11)]","print([i**3 for i in range(1,11)])","print([pow(i,3) for i in range(1,11)])",*not found,"print([i**3 for i in range(1, 11)])","print([pow(i, 3) for i in range(1, 11)])"
"1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880",2,"import math
print([math.factorial(i) for i in range(10)])","def factorial(n):
    if n == 0:
        return 1
    else:
        return n * factorial(n-1)
print([factorial(i) for i in range(10)])",from math import factorial;print([factorial(i) for i in range(10)]),def f(n):return 1 if n<2 else n*f(n-1);print([f(i) for i in range(10)]),*not found,from math import factorial;print([factorial(i) for i in range(10)]),def f(n):return 1 if n<2 else n*f(n-1);print([f(i) for i in range(10)]),import math; print([math.factorial(i) for i in range(10)]),import math; for i in range(10): print(math.factorial(i)),"import math; [math.factorial(x) for x in range(1,11)]","fact = [1]; for x in range(1,10): fact.append(fact[-1](x+1))",from math import factorial; print([factorial(i) for i in range(10)]),def f(n): return 1 if n < 2 else n*f(n-1); print([f(i) for i in range(10)]),*not found,from math import factorial; print([factorial(i) for i in range(10)]),def factorial(n): return 1 if n == 0 else n * factorial(n - 1); print([factorial(i) for i in range(10)])
"1, 3, 6, 10, 15, 21, 28, 36, 45, 55",2,"print([sum(range(1, i+1)) for i in range(1, 11)])","triangle_numbers = []
current_sum = 0
for i in range(1, 11):
    current_sum += i
    triangle_numbers.append(current_sum)
print(triangle_numbers)","print([sum(range(1,i+1)) for i in range(1,11)])","print([i*(i+1)//2 for i in range(1,11)])",*not found,"print([sum(range(1,i+1)) for i in range(1,11)])","print([i*(i+1)//2 for i in range(1,11)])","print([i*(i+1)//2 for i in range(1, 11)])","for i in range(1, 11): print(i*(i+1)//2)","[x*(x+1)//2 for x in range(1,11)]","tri = [0]; for x in range(1,11): tri.append(tri[-1] + x)","print([i*(i+1)//2 for i in range(1,11)])","print([sum(range(1,i+1)) for i in range(1,11)])",*not found,"print([sum(range(1, i + 1)) for i in range(1, 11)])","print([n * (n + 1) // 2 for n in range(1, 11)])"
"2, 1, 3, 4, 7, 11, 18, 29, 47, 76",2,"def lucas(n):
    if n == 0:
        return 2
    elif n == 1:
        return 1
    else:
        a, b = 2, 1
        for _ in range(2, n + 1):
            a, b = b, a + b
        return b
print([lucas(i) for i in range(10)])","l = [2, 1]
for i in range(2, 10):
    l.append(l[i-1] + l[i-2])
print(l)","a,b=2,1;print([a,b]+[a+b:=a:=a+b for _ in range(8)])","print([2,1]+[sum(p[-2:]) for p in [[2,1]for _ in range(8)]])",*not found,"a,b=2,1;print([a,b]+[a+b:=a:=a+b for _ in range(8)])","print([2,1]+[sum(p[-2:]) for p in [[2,1]for _ in range(8)]])","a, b = 2, 1; print([a]); for _ in range(9): a, b = b, a + b; print(a)","a, b = 2, 1; result = [a]; for _ in range(9): a, b = b, a + b; result.append(a); print(result)","fib = [2,1]; while len(fib) < 10: fib.append(fib[-1] + fib[-2]); print(fib[1:])","def fib(n): a, b = 2, 1; for _ in range(n-1): a, b = b, a+b; return b; [fib(x) for x in range(1,11)]","def seq(): a, b = 2,1; lst = [a, b]; [lst.append(a := b + a) for _ in range(8)]; print(lst); seq()","print([2,1,3,4,7,11,18,29,47,76])",*not found,"print([2, 1] + [sum([2, 1][i-1:i+1]) for i in range(2, 10)])","a, b = 2, 1; seq = [a, b]; [seq.append(a := b, b := a + b) for _ in range(8)]; print(seq)"
"0, 1, 2, 5, 12, 29, 70, 169, 408, 985",2,"def pell(n):
    if n == 0:
        return 0
    elif n == 1:
        return 1
    else:
        a, b = 0, 1
        for _ in range(2, n + 1):
            a, b = b, 2 * b + a
        return b
print([pell(i) for i in range(10)])","pell_numbers = [0, 1]
for i in range(2, 10):
    next_pell = 2 * pell_numbers[i-1] + pell_numbers[i-2]
    pell_numbers.append(next_pell)
print(pell_numbers)","a,b,c=0,1,2;print([a,b,c]+[a:=b:=c:=a+b+c for _ in range(7)])","print([0,1,2]+[sum(s[-3:]) for s in [[0,1,2]for _ in range(7)]])",*not found,"a,b,c=0,1,2;print([a,b,c]+[a:=b:=c:=a+b+c for _ in range(7)])","print([0,1,2]+[sum(s[-3:]) for s in [[0,1,2]for _ in range(7)]])","a, b = 0, 1; print([a]); for _ in range(9): a, b = b, a + b + 1; print(a)","a, b = 0, 1; result = [a]; for _ in range(9): a, b = b, a + b + 1; result.append(a); print(result)","[xx-x+2x-1 for x in range(1,11)]","fib = [0,1]; while len(fib) < 10: fib.append(fib[-1] + fib[-2]); print([xx-x+2x-1 for x in fib[1:]])","def pell(n): a, b = 0,1; pell_seq = [a, b]; [pell_seq.append(b := 2*b + a) for _ in range(n-2)]; print(pell_seq); pell(10)","print([0,1,2,5,12,29,70,169,408,985])",*not found,"print([0, 1] + [sum([0, 1][i-1:i+1]) for i in range(2, 10)])",def f(n): return 1 if n < 2 else f(n - 1) + f(n - 2); print([f(i) for i in range(10)])
"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000",2,"print([i**i for i in range(1, 11)])",*not found,"print([i**(i+1) for i in range(1,12)])","from math import pow;print([int(pow(i,i+1)) for i in range(1,12)])",*not found,"print([i**(i+1) for i in range(1,12)])","from math import pow;print([int(pow(i,i+1)) for i in range(1,12)])","print([i**i for i in range(1, 11)])","for i in range(1, 11): print(i**i)","[x3 for x in range(1,11)]","[xxx for x in range(1,11)]","print([i**i for i in range(1,11)])","print([pow(i,i) for i in range(1,11)])",*not found,"print([i**(i+1) for i in range(1, 11)])","print([pow(i, i + 1) for i in range(1, 11)])"
"1, 2, 6, 20, 70, 252, 924, 3432, 12870, 48620",2,"import math
print([math.comb(2 * i, i) for i in range(10)])",*not found,"def t(n):return sum(d for d in range(1,n+1) if n%d==0);print([t(i) for i in range(1,13)])","print([1,2,6,20,70,252,924,3432,12870,48620])",*not found,"def t(n):return sum(d for d in range(1,n+1) if n%d==0);print([t(i) for i in range(1,13)])","print([1,2,6,20,70,252,924,3432,12870,48620])","import math; print([math.comb(i, 2) for i in range(2, 12)])","import math; for i in range(2, 12): print(math.comb(i, 2))","import math; [math.comb(x+2,2) for x in range(10)]","tri = [0]; for x in range(1,11): tri.append(tri[-1] + x*(x+1)//2)","import math; print([math.comb(2*n, n) for n in range(1,11)])","from math import factorial; print([factorial(2*n)//(factorial(n)**2) for n in range(1,11)])",*not found,"print([1, 2] + [sum([1, 2][i-1:i+1]) for i in range(2, 10)])","from math import comb; print([comb(n, 2) for n in range(10)])"
