complexity,length_type,language,q_length,a_length,temperature,real_code,print_code,no_code,explanation
1,0,Maple,44,86,0.001,0,0,0,0
1,0,Maple,50,126,0.001,0,0,0,0
2,0,Maple,60,1148,0.001,0,0,0,0
2,0,Maple,56,833,0.001,0,0,0,0
2,0,Maple,53,240,0.001,0,0,0,0
2,0,Maple,54,213,0.001,0,0,0,0
2,0,Maple,63,78,0.001,0,0,0,0
2,0,Maple,59,1919,0.001,0,0,0,0
2,0,Maple,60,184,0.001,0,0,0,0
2,0,Maple,59,126,0.001,0,0,0,0
2,0,Maple,72,302,0.001,0,0,0,0
2,0,Maple,72,70,0.001,0,0,0,0
3,0,Maple,62,296,0.001,0,0,0,0
3,0,Maple,69,62,0.001,0,0,0,0
3,0,Maple,68,62,0.001,0,0,0,0
3,0,Maple,68,84,0.001,0,0,0,0
3,0,Maple,68,75,0.001,0,0,0,0
3,0,Maple,90,212,0.001,0,0,0,0
3,0,Maple,82,12,0.001,0,0,0,0
3,0,Maple,73,170,0.001,0,0,0,0
3,0,Maple,74,62,0.001,0,0,0,0
3,0,Maple,70,373,0.001,0,0,0,0
random,0,Maple,77,12,0.001,0,0,0,0
random,0,Maple,79,12,0.001,0,0,0,0
random,0,Maple,90,107,0.001,0,0,0,0
1,0,Mathematica,68,39,0.1,0,0,0,0
1,0,Mathematica,64,121,0.1,0,0,0,0
1,0,Mathematica,64,86,0.1,0,0,0,0
1,0,Mathematica,66,164,0.1,0,0,0,0
1,0,Mathematica,73,130,0.1,0,0,0,0
1,0,Mathematica,65,63,0.1,0,0,0,0
1,0,Mathematica,70,77,0.1,0,0,0,0
1,0,Mathematica,66,78,0.1,0,0,0,0
1,0,Mathematica,50,412,0.1,0,0,0,0
1,0,Mathematica,56,105,0.1,0,0,0,0
2,0,Mathematica,66,76,0.1,0,0,0,0
2,0,Mathematica,62,140,0.1,0,0,0,0
2,0,Mathematica,59,1214,0.1,0,0,0,0
2,0,Mathematica,60,86,0.1,0,0,0,0
2,0,Mathematica,69,247,0.1,0,0,0,0
2,0,Mathematica,65,121,0.1,0,0,0,0
2,0,Mathematica,66,101,0.1,0,0,0,0
2,0,Mathematica,65,172,0.1,0,0,0,0
2,0,Mathematica,78,67,0.1,0,0,0,0
2,0,Mathematica,78,120,0.1,0,0,0,0
3,0,Mathematica,68,148,0.1,0,0,0,0
3,0,Mathematica,75,113,0.1,0,0,0,0
3,0,Mathematica,74,94,0.1,0,0,0,0
3,0,Mathematica,74,72,0.1,0,0,0,0
3,0,Mathematica,74,117,0.1,0,0,0,0
3,0,Mathematica,96,377,0.1,0,0,0,0
3,0,Mathematica,88,59,0.1,0,0,0,0
3,0,Mathematica,79,25,0.1,0,0,0,0
3,0,Mathematica,80,49,0.1,0,0,0,0
3,0,Mathematica,76,48,0.1,0,0,0,0
random,0,Mathematica,83,203,0.1,0,0,0,0
random,0,Mathematica,85,107,0.1,0,0,0,0
random,0,Mathematica,96,175,0.1,0,0,0,0
1,0,Python,63,140,0.1,0,0,0,0
1,0,Python,59,78,0.1,0,0,0,0
1,0,Python,59,132,0.1,0,0,0,0
1,0,Python,61,118,0.1,0,0,0,0
1,0,Python,68,392,0.1,0,0,0,0
1,0,Python,60,55,0.1,0,0,0,0
1,0,Python,65,66,0.1,0,0,0,0
1,0,Python,61,103,0.1,0,0,0,0
1,0,Python,45,25,0.1,0,0,0,0
1,0,Python,51,71,0.1,0,0,0,0
2,0,Python,61,175,0.1,0,0,0,0
2,0,Python,57,78,0.1,0,0,0,0
2,0,Python,54,157,0.1,0,0,0,0
2,0,Python,55,79,0.1,0,0,0,0
2,0,Python,64,131,0.1,0,0,0,0
2,0,Python,60,85,0.1,0,0,0,0
2,0,Python,61,122,0.1,0,0,0,0
2,0,Python,60,125,0.1,0,0,0,0
2,0,Python,73,85,0.1,0,0,0,0
2,0,Python,73,129,0.1,0,0,0,0
3,0,Python,63,148,0.1,0,0,0,0
3,0,Python,70,62,0.1,0,0,0,0
3,0,Python,69,126,0.1,0,0,0,0
3,0,Python,69,89,0.1,0,0,0,0
3,0,Python,69,151,0.1,0,0,0,0
3,0,Python,91,307,0.1,0,0,0,0
3,0,Python,83,234,0.1,0,0,0,0
3,0,Python,74,73,0.1,0,0,0,0
3,0,Python,75,88,0.1,0,0,0,0
3,0,Python,71,143,0.1,0,0,0,0
random,0,Python,78,88,0.1,0,0,0,0
random,0,Python,80,205,0.1,0,0,0,0
random,0,Python,91,136,0.1,0,0,0,0
1,0,Maple,62,69,0.1,0,0,0,0
1,0,Maple,58,378,0.1,0,0,0,0
1,0,Maple,58,26,0.1,0,0,0,0
1,0,Maple,60,173,0.1,0,0,0,0
1,0,Maple,67,1400,0.1,0,0,0,0
1,0,Maple,59,97,0.1,0,0,0,0
1,0,Maple,64,101,0.1,0,0,0,0
1,0,Maple,60,133,0.1,0,0,0,0
1,0,Maple,44,86,0.1,0,0,0,0
1,0,Maple,50,126,0.1,0,0,0,0
2,0,Maple,60,1048,0.1,0,0,0,0
2,0,Maple,56,133,0.1,0,0,0,0
2,0,Maple,53,131,0.1,0,0,0,0
2,0,Maple,54,135,0.1,0,0,0,0
2,0,Maple,63,170,0.1,0,0,0,0
2,0,Maple,59,77,0.1,0,0,0,0
2,0,Maple,60,185,0.1,0,0,0,0
2,0,Maple,59,107,0.1,0,0,0,0
2,0,Maple,72,111,0.1,0,0,0,0
2,0,Maple,72,49,0.1,0,0,0,0
3,0,Maple,62,313,0.1,0,0,0,0
3,0,Maple,69,62,0.1,0,0,0,0
3,0,Maple,68,61,0.1,0,0,0,0
3,0,Maple,68,323,0.1,0,0,0,0
3,0,Maple,68,62,0.1,0,0,0,0
3,0,Maple,90,73,0.1,0,0,0,0
3,0,Maple,82,12,0.1,0,0,0,0
3,0,Maple,73,75,0.1,0,0,0,0
3,0,Maple,74,62,0.1,0,0,0,0
3,0,Maple,70,67,0.1,0,0,0,0
random,0,Maple,77,14,0.1,0,0,0,0
random,0,Maple,79,12,0.1,0,0,0,0
random,0,Maple,90,58,0.1,0,0,0,0
1,0,Mathematica,68,27,0.2,0,0,0,0
1,0,Mathematica,64,111,0.2,0,0,0,0
1,0,Mathematica,64,102,0.2,0,0,0,0
1,0,Mathematica,66,85,0.2,0,0,0,0
1,0,Mathematica,73,71,0.2,0,0,0,0
1,0,Mathematica,65,117,0.2,0,0,0,0
1,0,Mathematica,70,92,0.2,0,0,0,0
1,0,Mathematica,66,104,0.2,0,0,0,0
1,0,Mathematica,50,161,0.2,0,0,0,0
1,0,Mathematica,56,90,0.2,0,0,0,0
2,0,Mathematica,66,1730,0.2,0,0,0,0
2,0,Mathematica,62,76,0.2,0,0,0,0
2,0,Mathematica,59,237,0.2,0,0,0,0
2,0,Mathematica,60,169,0.2,0,0,0,0
2,0,Mathematica,69,76,0.2,0,0,0,0
2,0,Mathematica,65,121,0.2,0,0,0,0
2,0,Mathematica,66,100,0.2,0,0,0,0
2,0,Mathematica,65,91,0.2,0,0,0,0
2,0,Mathematica,78,80,0.2,0,0,0,0
2,0,Mathematica,78,24,0.2,0,0,0,0
3,0,Mathematica,68,125,0.2,0,0,0,0
3,0,Mathematica,75,53,0.2,0,0,0,0
3,0,Mathematica,74,74,0.2,0,0,0,0
3,0,Mathematica,74,71,0.2,0,0,0,0
3,0,Mathematica,74,99,0.2,0,0,0,0
3,0,Mathematica,96,51,0.2,0,0,0,0
3,0,Mathematica,88,77,0.2,0,0,0,0
3,0,Mathematica,79,74,0.2,0,0,0,0
3,0,Mathematica,80,46,0.2,0,0,0,0
3,0,Mathematica,76,510,0.2,0,0,0,0
random,0,Mathematica,83,401,0.2,0,0,0,0
random,0,Mathematica,85,135,0.2,0,0,0,0
random,0,Mathematica,96,314,0.2,0,0,0,0
1,0,Python,63,64,0.2,0,0,0,0
1,0,Python,59,94,0.2,0,0,0,0
1,0,Python,59,78,0.2,0,0,0,0
1,0,Python,61,122,0.2,0,0,0,0
1,0,Python,68,362,0.2,0,0,0,0
1,0,Python,60,64,0.2,0,0,0,0
1,0,Python,65,66,0.2,0,0,0,0
1,0,Python,61,103,0.2,0,0,0,0
1,0,Python,45,25,0.2,0,0,0,0
1,0,Python,51,71,0.2,0,0,0,0
2,0,Python,61,75,0.2,0,0,0,0
2,0,Python,57,41,0.2,0,0,0,0
2,0,Python,54,1426,0.2,0,0,0,0
2,0,Python,55,120,0.2,0,0,0,0
2,0,Python,64,160,0.2,0,0,0,0
2,0,Python,60,71,0.2,0,0,0,0
2,0,Python,61,59,0.2,0,0,0,0
2,0,Python,60,47,0.2,0,0,0,0
2,0,Python,73,62,0.2,0,0,0,0
2,0,Python,73,77,0.2,0,0,0,0
3,0,Python,63,100,0.2,0,0,0,0
3,0,Python,70,49,0.2,0,0,0,0
3,0,Python,69,137,0.2,0,0,0,0
3,0,Python,69,1785,0.2,0,0,0,0
3,0,Python,69,265,0.2,0,0,0,0
3,0,Python,91,181,0.2,0,0,0,0
3,0,Python,83,175,0.2,0,0,0,0
3,0,Python,74,88,0.2,0,0,0,0
3,0,Python,75,98,0.2,0,0,0,0
3,0,Python,71,104,0.2,0,0,0,0
random,0,Python,78,74,0.2,0,0,0,0
random,0,Python,80,103,0.2,0,0,0,0
random,0,Python,91,12,0.2,0,0,0,0
1,0,Maple,62,76,0.2,0,0,0,0
1,0,Maple,58,127,0.2,0,0,0,0
1,0,Maple,58,131,0.2,0,0,0,0
1,0,Maple,60,209,0.2,0,0,0,0
1,0,Maple,67,43,0.2,0,0,0,0
1,0,Maple,59,193,0.2,0,0,0,0
1,0,Maple,64,40,0.2,0,0,0,0
1,0,Maple,60,38,0.2,0,0,0,0
1,0,Maple,44,57,0.2,0,0,0,0
1,0,Maple,50,171,0.2,0,0,0,0
2,0,Maple,60,114,0.2,0,0,0,0
2,0,Maple,56,1111,0.2,0,0,0,0
2,0,Maple,53,162,0.2,0,0,0,0
2,0,Maple,54,140,0.2,0,0,0,0
2,0,Maple,63,277,0.2,0,0,0,0
2,0,Maple,59,186,0.2,0,0,0,0
2,0,Maple,60,69,0.2,0,0,0,0
2,0,Maple,59,183,0.2,0,0,0,0
2,0,Maple,72,93,0.2,0,0,0,0
2,0,Maple,72,28,0.2,0,0,0,0
3,0,Maple,62,45,0.2,0,0,0,0
3,0,Maple,69,18,0.2,0,0,0,0
3,0,Maple,68,797,0.2,0,0,0,0
3,0,Maple,68,302,0.2,0,0,0,0
3,0,Maple,68,75,0.2,0,0,0,0
3,0,Maple,90,12,0.2,0,0,0,0
3,0,Maple,82,149,0.2,0,0,0,0
3,0,Maple,73,74,0.2,0,0,0,0
3,0,Maple,74,38,0.2,0,0,0,0
3,0,Maple,70,43,0.2,0,0,0,0
random,0,Maple,77,281,0.2,0,0,0,0
random,0,Maple,79,131,0.2,0,0,0,0
random,0,Maple,90,127,0.2,0,0,0,0
1,0,Mathematica,68,97,0.3,0,0,0,0
1,0,Mathematica,64,136,0.3,0,0,0,0
1,0,Mathematica,64,26,0.3,0,0,0,0
1,0,Mathematica,66,59,0.3,0,0,0,0
1,0,Mathematica,73,116,0.3,0,0,0,0
1,0,Mathematica,65,225,0.3,0,0,0,0
1,0,Mathematica,70,144,0.3,0,0,0,0
1,0,Mathematica,66,137,0.3,0,0,0,0
1,0,Mathematica,50,174,0.3,0,0,0,0
1,0,Mathematica,56,44,0.3,0,0,0,0
2,0,Mathematica,66,26,0.3,0,0,0,0
2,0,Mathematica,62,41,0.3,0,0,0,0
2,0,Mathematica,59,41,0.3,0,0,0,0
2,0,Mathematica,60,51,0.3,0,0,0,0
2,0,Mathematica,69,95,0.3,0,0,0,0
2,0,Mathematica,65,93,0.3,0,0,0,0
2,0,Mathematica,66,191,0.3,0,0,0,0
2,0,Mathematica,65,107,0.3,0,0,0,0
2,0,Mathematica,78,225,0.3,0,0,0,0
2,0,Mathematica,78,23,0.3,0,0,0,0
3,0,Mathematica,68,160,0.3,0,0,0,0
3,0,Mathematica,75,12,0.3,0,0,0,0
3,0,Mathematica,74,34,0.3,0,0,0,0
3,0,Mathematica,74,775,0.3,0,0,0,0
3,0,Mathematica,74,206,0.3,0,0,0,0
3,0,Mathematica,96,47,0.3,0,0,0,0
3,0,Mathematica,88,294,0.3,0,0,0,0
3,0,Mathematica,79,69,0.3,0,0,0,0
3,0,Mathematica,80,24,0.3,0,0,0,0
3,0,Mathematica,76,1375,0.3,0,0,0,0
random,0,Mathematica,83,180,0.3,0,0,0,0
random,0,Mathematica,85,17,0.3,0,0,0,0
random,0,Mathematica,96,75,0.3,0,0,0,0
1,0,Python,63,25,0.3,0,0,0,0
1,0,Python,59,31,0.3,0,0,0,0
1,0,Python,59,1283,0.3,0,0,0,0
1,0,Python,61,1158,0.3,0,0,0,0
1,0,Python,68,95,0.3,0,0,0,0
1,0,Python,60,44,0.3,0,0,0,0
1,0,Python,65,148,0.3,0,0,0,0
1,0,Python,61,63,0.3,0,0,0,0
1,0,Python,45,25,0.3,0,0,0,0
1,0,Python,51,176,0.3,0,0,0,0
2,0,Python,61,128,0.3,0,0,0,0
2,0,Python,57,220,0.3,0,0,0,0
2,0,Python,54,659,0.3,0,0,0,0
2,0,Python,55,192,0.3,0,0,0,0
2,0,Python,64,86,0.3,0,0,0,0
2,0,Python,60,192,0.3,0,0,0,0
2,0,Python,61,65,0.3,0,0,0,0
2,0,Python,60,37,0.3,0,0,0,0
2,0,Python,73,172,0.3,0,0,0,0
2,0,Python,73,110,0.3,0,0,0,0
3,0,Python,63,57,0.3,0,0,0,0
3,0,Python,70,118,0.3,0,0,0,0
3,0,Python,69,52,0.3,0,0,0,0
3,0,Python,69,12,0.3,0,0,0,0
3,0,Python,69,175,0.3,0,0,0,0
3,0,Python,91,503,0.3,0,0,0,0
3,0,Python,83,65,0.3,0,0,0,0
3,0,Python,74,199,0.3,0,0,0,0
3,0,Python,75,298,0.3,0,0,0,0
3,0,Python,71,135,0.3,0,0,0,0
random,0,Python,78,87,0.3,0,0,0,0
random,0,Python,80,20,0.3,0,0,0,0
random,0,Python,91,292,0.3,0,0,0,0
1,0,Maple,62,52,0.3,0,0,0,0
1,0,Maple,58,84,0.3,0,0,0,0
1,0,Maple,58,39,0.3,0,0,0,0
1,0,Maple,60,12,0.3,0,0,0,0
1,0,Maple,67,67,0.3,0,0,0,0
1,0,Maple,59,15,0.3,0,0,0,0
1,0,Maple,64,148,0.3,0,0,0,0
1,0,Maple,60,208,0.3,0,0,0,0
1,0,Maple,44,185,0.3,0,0,0,0
1,0,Maple,50,1415,0.3,0,0,0,0
2,0,Maple,60,130,0.3,0,0,0,0
2,0,Maple,56,133,0.3,0,0,0,0
2,0,Maple,53,153,0.3,0,0,0,0
2,0,Maple,54,58,0.3,0,0,0,0
2,0,Maple,63,254,0.3,0,0,0,0
2,0,Maple,59,40,0.3,0,0,0,0
2,0,Maple,60,225,0.3,0,0,0,0
2,0,Maple,59,15,0.3,0,0,0,0
2,0,Maple,72,49,0.3,0,0,0,0
2,0,Maple,72,199,0.3,0,0,0,0
3,0,Maple,62,23,0.3,0,0,0,0
3,0,Maple,69,159,0.3,0,0,0,0
3,0,Maple,68,130,0.3,0,0,0,0
3,0,Maple,68,1441,0.3,0,0,0,0
3,0,Maple,68,857,0.3,0,0,0,0
3,0,Maple,90,117,0.3,0,0,0,0
3,0,Maple,82,332,0.3,0,0,0,0
3,0,Maple,73,62,0.3,0,0,0,0
3,0,Maple,74,32,0.3,0,0,0,0
3,0,Maple,70,53,0.3,0,0,0,0
random,0,Maple,77,87,0.3,0,0,0,0
random,0,Maple,79,104,0.3,0,0,0,0
random,0,Maple,90,110,0.3,0,0,0,0
1,0,Mathematica,68,38,0.4,0,0,0,0
1,0,Mathematica,64,125,0.4,0,0,0,0
1,0,Mathematica,64,197,0.4,0,0,0,0
1,0,Mathematica,66,149,0.4,0,0,0,0
1,0,Mathematica,73,61,0.4,0,0,0,0
1,0,Mathematica,65,185,0.4,0,0,0,0
1,0,Mathematica,70,231,0.4,0,0,0,0
1,0,Mathematica,66,106,0.4,0,0,0,0
1,0,Mathematica,50,251,0.4,0,0,0,0
1,0,Mathematica,56,39,0.4,0,0,0,0
2,0,Mathematica,66,118,0.4,0,0,0,0
2,0,Mathematica,62,247,0.4,0,0,0,0
2,0,Mathematica,59,1416,0.4,0,0,0,0
2,0,Mathematica,60,76,0.4,0,0,0,0
2,0,Mathematica,69,70,0.4,0,0,0,0
2,0,Mathematica,65,117,0.4,0,0,0,0
2,0,Mathematica,66,1116,0.4,0,0,0,0
2,0,Mathematica,65,49,0.4,0,0,0,0
2,0,Mathematica,78,325,0.4,0,0,0,0
2,0,Mathematica,78,113,0.4,0,0,0,0
3,0,Mathematica,68,1151,0.4,0,0,0,0
3,0,Mathematica,75,35,0.4,0,0,0,0
3,0,Mathematica,74,15,0.4,0,0,0,0
3,0,Mathematica,74,41,0.4,0,0,0,0
3,0,Mathematica,74,1619,0.4,0,0,0,0
3,0,Mathematica,96,71,0.4,0,0,0,0
3,0,Mathematica,88,179,0.4,0,0,0,0
3,0,Mathematica,79,1173,0.4,0,0,0,0
3,0,Mathematica,80,54,0.4,0,0,0,0
3,0,Mathematica,76,539,0.4,0,0,0,0
random,0,Mathematica,83,226,0.4,0,0,0,0
random,0,Mathematica,85,875,0.4,0,0,0,0
random,0,Mathematica,96,211,0.4,0,0,0,0
1,0,Python,63,72,0.4,0,0,0,0
1,0,Python,59,78,0.4,0,0,0,0
1,0,Python,59,45,0.4,0,0,0,0
1,0,Python,61,190,0.4,0,0,0,0
1,0,Python,68,286,0.4,0,0,0,0
1,0,Python,60,147,0.4,0,0,0,0
1,0,Python,65,116,0.4,0,0,0,0
1,0,Python,61,75,0.4,0,0,0,0
1,0,Python,45,93,0.4,0,0,0,0
1,0,Python,51,63,0.4,0,0,0,0
2,0,Python,61,133,0.4,0,0,0,0
2,0,Python,57,82,0.4,0,0,0,0
2,0,Python,54,51,0.4,0,0,0,0
2,0,Python,55,53,0.4,0,0,0,0
2,0,Python,64,30,0.4,0,0,0,0
2,0,Python,60,23,0.4,0,0,0,0
2,0,Python,61,124,0.4,0,0,0,0
2,0,Python,60,171,0.4,0,0,0,0
2,0,Python,73,185,0.4,0,0,0,0
2,0,Python,73,53,0.4,0,0,0,0
3,0,Python,63,186,0.4,0,0,0,0
3,0,Python,70,1688,0.4,0,0,0,0
3,0,Python,69,139,0.4,0,0,0,0
3,0,Python,69,182,0.4,0,0,0,0
3,0,Python,69,161,0.4,0,0,0,0
3,0,Python,91,36,0.4,0,0,0,0
3,0,Python,83,20,0.4,0,0,0,0
3,0,Python,74,261,0.4,0,0,0,0
3,0,Python,75,72,0.4,0,0,0,0
3,0,Python,71,71,0.4,0,0,0,0
random,0,Python,78,1348,0.4,0,0,0,0
random,0,Python,80,127,0.4,0,0,0,0
random,0,Python,91,143,0.4,0,0,0,0
1,0,Maple,62,118,0.4,0,0,0,0
1,0,Maple,58,120,0.4,0,0,0,0
1,0,Maple,58,196,0.4,0,0,0,0
1,0,Maple,60,115,0.4,0,0,0,0
1,0,Maple,67,31,0.4,0,0,0,0
1,0,Maple,59,12,0.4,0,0,0,0
1,0,Maple,64,145,0.4,0,0,0,0
1,0,Maple,60,112,0.4,0,0,0,0
1,0,Maple,44,32,0.4,0,0,0,0
1,0,Maple,50,134,0.4,0,0,0,0
2,0,Maple,60,125,0.4,0,0,0,0
2,0,Maple,56,356,0.4,0,0,0,0
2,0,Maple,53,90,0.4,0,0,0,0
2,0,Maple,54,52,0.4,0,0,0,0
2,0,Maple,63,69,0.4,0,0,0,0
2,0,Maple,59,1015,0.4,0,0,0,0
2,0,Maple,60,1497,0.4,0,0,0,0
2,0,Maple,59,240,0.4,0,0,0,0
2,0,Maple,72,224,0.4,0,0,0,0
2,0,Maple,72,91,0.4,0,0,0,0
3,0,Maple,62,129,0.4,0,0,0,0
3,0,Maple,69,237,0.4,0,0,0,0
3,0,Maple,68,32,0.4,0,0,0,0
3,0,Maple,68,77,0.4,0,0,0,0
3,0,Maple,68,66,0.4,0,0,0,0
3,0,Maple,90,159,0.4,0,0,0,0
3,0,Maple,82,181,0.4,0,0,0,0
3,0,Maple,73,354,0.4,0,0,0,0
3,0,Maple,74,73,0.4,0,0,0,0
3,0,Maple,70,68,0.4,0,0,0,0
random,0,Maple,77,77,0.4,0,0,0,0
random,0,Maple,79,258,0.4,0,0,0,0
random,0,Maple,90,130,0.4,0,0,0,0
1,0,Mathematica,68,93,0.5,0,0,0,0
1,0,Mathematica,64,104,0.5,0,0,0,0
1,0,Mathematica,64,21,0.5,0,0,0,0
1,0,Mathematica,66,51,0.5,0,0,0,0
1,0,Mathematica,73,79,0.5,0,0,0,0
1,0,Mathematica,65,77,0.5,0,0,0,0
1,0,Mathematica,70,215,0.5,0,0,0,0
1,0,Mathematica,66,61,0.5,0,0,0,0
1,0,Mathematica,50,85,0.5,0,0,0,0
1,0,Mathematica,56,75,0.5,0,0,0,0
2,0,Mathematica,66,76,0.5,0,0,0,0
2,0,Mathematica,62,122,0.5,0,0,0,0
2,0,Mathematica,59,228,0.5,0,0,0,0
2,0,Mathematica,60,198,0.5,0,0,0,0
2,0,Mathematica,69,135,0.5,0,0,0,0
2,0,Mathematica,65,153,0.5,0,0,0,0
2,0,Mathematica,66,162,0.5,0,0,0,0
2,0,Mathematica,65,158,0.5,0,0,0,0
2,0,Mathematica,78,218,0.5,0,0,0,0
2,0,Mathematica,78,74,0.5,0,0,0,0
3,0,Mathematica,68,204,0.5,0,0,0,0
3,0,Mathematica,75,1300,0.5,0,0,0,0
3,0,Mathematica,74,108,0.5,0,0,0,0
3,0,Mathematica,74,62,0.5,0,0,0,0
3,0,Mathematica,74,78,0.5,0,0,0,0
3,0,Mathematica,96,267,0.5,0,0,0,0
3,0,Mathematica,88,263,0.5,0,0,0,0
3,0,Mathematica,79,54,0.5,0,0,0,0
3,0,Mathematica,80,36,0.5,0,0,0,0
3,0,Mathematica,76,104,0.5,0,0,0,0
random,0,Mathematica,83,46,0.5,0,0,0,0
random,0,Mathematica,85,227,0.5,0,0,0,0
random,0,Mathematica,96,220,0.5,0,0,0,0
1,0,Python,63,136,0.5,0,0,0,0
1,0,Python,59,22,0.5,0,0,0,0
1,0,Python,59,63,0.5,0,0,0,0
1,0,Python,61,216,0.5,0,0,0,0
1,0,Python,68,294,0.5,0,0,0,0
1,0,Python,60,32,0.5,0,0,0,0
1,0,Python,65,1589,0.5,0,0,0,0
1,0,Python,61,155,0.5,0,0,0,0
1,0,Python,45,46,0.5,0,0,0,0
1,0,Python,51,1623,0.5,0,0,0,0
2,0,Python,61,31,0.5,0,0,0,0
2,0,Python,57,138,0.5,0,0,0,0
2,0,Python,54,12,0.5,0,0,0,0
2,0,Python,55,55,0.5,0,0,0,0
2,0,Python,64,98,0.5,0,0,0,0
2,0,Python,60,442,0.5,0,0,0,0
2,0,Python,61,31,0.5,0,0,0,0
2,0,Python,60,124,0.5,0,0,0,0
2,0,Python,73,283,0.5,0,0,0,0
2,0,Python,73,201,0.5,0,0,0,0
3,0,Python,63,318,0.5,0,0,0,0
3,0,Python,70,69,0.5,0,0,0,0
3,0,Python,69,334,0.5,0,0,0,0
3,0,Python,69,181,0.5,0,0,0,0
3,0,Python,69,220,0.5,0,0,0,0
3,0,Python,91,28,0.5,0,0,0,0
3,0,Python,83,64,0.5,0,0,0,0
3,0,Python,74,298,0.5,0,0,0,0
3,0,Python,75,73,0.5,0,0,0,0
3,0,Python,71,95,0.5,0,0,0,0
random,0,Python,78,126,0.5,0,0,0,0
random,0,Python,80,107,0.5,0,0,0,0
random,0,Python,91,186,0.5,0,0,0,0
1,0,Maple,62,36,0.5,0,0,0,0
1,0,Maple,58,187,0.5,0,0,0,0
1,0,Maple,58,181,0.5,0,0,0,0
1,0,Maple,60,1242,0.5,0,0,0,0
1,0,Maple,67,143,0.5,0,0,0,0
1,0,Maple,59,110,0.5,0,0,0,0
1,0,Maple,64,68,0.5,0,0,0,0
1,0,Maple,60,79,0.5,0,0,0,0
1,0,Maple,44,48,0.5,0,0,0,0
