grok_4.1,gpt-5.2,claude-4.5,gemini-3-pro,mistral-large-3
"[""a(n) = n + 190 for n=1..10""]","[""a_n = n + 190""]","[""a(n) = n + 190"", ""a(n) = 190 + n for n=1..10""]","[""n + 190""]","[""a_n = n + 190, n ∈ [1,10]""]"
"[""primes""]","[""a_n = p_n (nth prime)""]","[""a(n) = nth prime number"", ""a(n) = p_n where p_n is the nth prime""]","[""prime(n)""]","[""Prime numbers: a_n = p_n, n ∈ [1,10]""]"
"[""Fibonacci numbers F(n) for n=3..12""]","[""a_n = F_n""]","[""a(n) = F(n) where F(n) = F(n-1) + F(n-2), F(0)=1, F(1)=1"", ""a(n) = Fibonacci(n)""]","[""Fibonacci(n)""]","[""Fibonacci sequence: a_n = F_n, F_1=1, F_2=1, F_n=F_{n-1}+F_{n-2}""]"
"[""a(n) = 2^n for n=0..9""]","[""a_n = 2^{n-1}""]","[""a(n) = 2^(n-1)"", ""a(n) = 2^n for n=0..9""]","[""2^(n-1)""]","[""Powers of 2: a_n = 2^{n-1}, n ∈ [1,10]""]"
"[""a(n) = 3^n for n=0..9""]","[""a_n = 3^{n-1}""]","[""a(n) = 3^(n-1)"", ""a(n) = 3^n for n=0..9""]","[""3^(n-1)""]","[""Powers of 3: a_n = 3^{n-1}, n ∈ [1,10]""]"
"[""a(n) = n^2 for n=1..10""]","[""a_n = n^2""]","[""a(n) = n^2"", ""a(n) = n*n for n=1..10""]","[""n^2""]","[""Squares: a_n = n^2, n ∈ [1,10]""]"
"[""a(n) = n^3 for n=1..10""]","[""a_n = n^3""]","[""a(n) = n^3"", ""a(n) = n*n*n for n=1..10""]","[""n^3""]","[""Cubes: a_n = n^3, n ∈ [1,10]""]"
"[""a(n) = n! for n=0..9""]","[""a_n = n!""]","[""a(n) = n!"", ""a(n) = factorial(n) for n=1..10""]","[""(n-1)!""]","[""Factorials: a_n = n!, n ∈ [0,9]""]"
"[""triangular numbers T(n) = n(n+1)/2 for n=1..10""]","[""a_n = n(n+1)/2""]","[""a(n) = n(n+1)/2"", ""a(n) = T(n) triangular numbers""]","[""n(n+1)/2""]","[""Triangular numbers: a_n = n(n+1)/2, n ∈ [1,10]""]"
"[""Lucas numbers L(n) for n=2..11""]","[""a_n = a_{n-1}+a_{n-2}, a_1=2,a_2=1""]","[""a(n) = a(n-1) + a(n-2) with a(0)=2, a(1)=1"", ""a(n) = Lucas-like sequence""]","[""Lucas(n)""]","[""Lucas numbers: a_n = L_n, L_1=2, L_2=1, L_n=L_{n-1}+L_{n-2}""]"
"[""Pell numbers P(n) for n=0..9""]","[""a_n = 2 a_{n-1}+a_{n-2}, a_1=0,a_2=1""]","[""a(n) = Motzkin numbers"", ""a(n) = M(n)""]","[""Pell(n)""]","[""Pell numbers: a_n = P_n, P_0=0, P_1=1, P_n=2P_{n-1}+P_{n-2}""]"
"[""a(n) = n^n for n=1..10""]","[""a_n = n^n""]","[""a(n) = n^n"", ""a(n) = n to the power n""]","[""n^n""]","[""a_n = n^n, n ∈ [1,10]""]"
"[""central binomial coefficients C(2n,n) for n=1..10""]","[""a_n = binom(2n,n)""]","[""a(n) = C(2n,n)"", ""a(n) = central binomial coefficient"", ""a(n) = (2n)!/(n!*n!)""]","[""binomial(2(n-1), n-1)""]","[""Central binomial coefficients: a_n = C(2n,n), n ∈ [0,9]""]"
"[""primes""]","[""a_n = p_n (nth prime)""]","[""a(n) = nth prime number"", ""a(n) = p_n""]","[""prime(n)""]","[""Prime numbers: a_n = p_n, n ∈ [1,10]""]"
"[""*not found*""]","[""a_n = floor((n+1)(n+2)/4)""]","[""a(n) = composite numbers"", ""a(n) = semiprimes and composites""]","[""Composite(n)""]","[""Semiprimes: a_n = p*q, where p and q are primes""]"
"[""numbers containing digits 1 and 0 only, in base 10, read as base 10""]","[""a_n = interpretation of n in base 2 written in base 10""]",*not found,"[""int(bin(n))""]","[""Binary numbers: a_n = (n)_2, n ∈ [1,10]""]"
"[""*not found*""]","[""*not found""]",*not found,"[""n = sum(digit^k)""]","[""Narcissistic numbers: a_n = sum of digits^length, n ∈ [0,9]""]"
"[""*not found*""]","[""a_n in {1,2,145,40585} (factorions)""]","[""a(n) = factorions"", ""a(n) = sum of factorials of digits equals n""]","[""Factorions: n = sum(digit!)""]","[""Factorions: a_n = sum of factorials of digits, n ∈ [1,4]""]"
"[""a(n) = n(n+1) for n=2..10""]","[""*not found""]",*not found,*not found,"[""Pentagonal numbers: a_n = n(3n-1)/2, n ∈ [1,10]""]"
"[""numbers containing digits 1 and 0 only, in base 10""]","[""a_n = numbers composed of digits {0,1,8,9}""]",*not found,*not found,"[""*not found""]"
"[""Mersenne primes 2^p - 1""]","[""a_n = 2^{n+1}-1""]","[""a(n) = 2^(2^n + n) - 1"", ""a(n) = Mersenne-related sequence""]","[""Mersenne Primes: 2^p - 1""]","[""Mersenne primes: a_n = 2^p - 1, p prime""]"
"[""Fibonacci-Lucas mixed, or powers of 2 with adjustment""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,"[""Cake Numbers: (n^3 + 5n + 6)/6""]","[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,"[""Pentagonal Numbers: n(3n-1)/2""]","[""Pentagonal pyramidal numbers: a_n = n^2(n+1)/2, n ∈ [1,10]""]"
"[""Bell numbers B(n) for n=0..9""]","[""*not found""]","[""a(n) = popcount(n) mod 2"", ""a(n) = parity of binary weight""]","[""HammingWeight(n-1)""]","[""*not found""]"
"[""primes""]","[""*not found""]","[""a(n) = Catalan numbers"", ""a(n) = C(2n,n)/(n+1)""]","[""Bell(n)""]","[""Schröder numbers: a_n = S_n, S_1=1, S_2=2, S_n = (3(n-1)S_{n-1}-(n-2)S_{n-2})/n""]"
"[""look-and-say sequence""]","[""a_n = number of 1s in binary expansion of n""]","[""a(n) = nth prime"", ""a(n) = prime(n)""]","[""prime(n)""]","[""Prime numbers: a_n = p_n, n ∈ [1,10]""]"
"[""primes""]","[""*not found""]","[""a(n) = look-and-say sequence"", ""a(n) = Conway sequence""]","[""Look-and-Say Sequence""]","[""*not found""]"
"[""a(n) = 2^n for n=0..9""]","[""a_n = p_n (nth prime)""]","[""a(n) = nth prime"", ""a(n) = prime(n)""]","[""prime(n)""]","[""Binary numbers: a_n = (n)_2, n ∈ [1,10]""]"
"[""a(n) = 2^n - 1 for n=1..10""]","[""a_n = look-and-say sequence""]","[""a(n) = 2^(n-1)"", ""a(n) = powers of 2""]","[""2^(n-1)""]","[""Powers of 2 minus 1: a_n = 2^n - 1, n ∈ [1,10]""]"
"[""*not found*""]","[""a_n = p_n (nth prime)""]","[""a(n) = 2^n - 1"", ""a(n) = Mersenne numbers""]","[""2^n - 1""]","[""*not found""]"
"[""*not found*""]","[""a_n = 2^{n-1}""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""a_n = 2^n - 1""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
"[""*not found*""]","[""*not found""]",*not found,*not found,"[""*not found""]"
