sequence,complexity,Fuckbrain,Brainfuck,python,Pseudocode,Malbolge,Shakespeare,Whitespace,Befunge,LOLCODE,INTERCAL
"[0, 1, 1, 2, 3, 5, 8, 13]",2,"[FUck
FUCK]",[>++[<+>-]>+[->++<]>++<.],"[a, b = 0, 1
for _ in range(8):
    print(a)
    a, b = b, a + b
print(b)]","[Set a = 0, b = 1
Repeat 8 times:
    Print a
    Set temp = a
    Set a = b
    Set b = temp + b]","(=BAq)(=CB}(=<`#9]!~xwvut,+O/'TSRqponmlkjihgfeba`_^]\[ZYXWVUMLJI]!`EDCBA@?>=<;:9876543s+)(!&%$#""!","""The Cat:
  Am I better than you? You is a number. 
  You are 0.
  Be you nicer of 13? If so, let us proceed.

  Lady:
    Open your heart.

    You is the sum of me and a cat.
    Open your heart.
    You is the sum of me and 0.

    You is the difference between you and me.

    If not, you is a cat.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""0>            v
 @.10+        <
0v 10+.@.20+ <""","""HAI 1.2
VISIBLE ""0""
VISIBLE ""1""
VISIBLE ""1""
VISIBLE ""2""
VISIBLE ""3""
VISIBLE ""5""
VISIBLE ""8""
VISIBLE ""13""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(0) #0
DO READ OUT(1) #1
DO READ OUT(1) #1
DO READ OUT(2) #2
DO READ OUT(3) #3
DO READ OUT(5) #5
DO READ OUT(8) #8
DO READ OUT(13) #13
PLEASE GIVE UP"""
"[0, 6, 9, 3, 1, 4, 7]",2,"[FUckFUckFUck
FUckFUckFUckFUck
FUCk]",[>>++++[<++++++++>-]<++.--.-----.+++.],"[for i in range(0, 10, 3):
    print((i + 6) % 10)]","[Set n = 0
Repeat 6 times:
    Print n
    If n % 3 == 0:
        Set n = n + 6
    Else:
        Set n = n + 3]","(=<`!)+&%$#`""!z{wv","""The Cat:
  Am I better than you? You is a number. 
  You are 0.
  Be you nicer of 1? If so, let us proceed.

  Lady:
    You is the sum of me and a cat.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""0>         v
 @.10+6-  <""","""HAI 1.2
VISIBLE ""0""
VISIBLE ""6""
VISIBLE ""9""
VISIBLE ""3""
VISIBLE ""1""
VISIBLE ""4""
VISIBLE ""7""
KTHXBYE","""DO COME FROM(1) NEXT TIME
DO READ OUT(0) #0
DO READ OUT(6) #6
DO READ OUT(9) #9
DO READ OUT(3) #3
DO READ OUT(1) #1
DO READ OUT(4) #4
DO READ OUT(7) #7
PLEASE GIVE UP"""
"[0, 0, 0, 0, 0, 0]",2,[FUckFUckFUckFUckFUckFUck],[>++++++++++.],"[for _ in range(6):
    print(0)]","[Repeat 6 times:
    Print 0]",(=<`#9]~6;9876543,"""The Cat:
  Am I better than you? You is a number. 
  You are 0.
  Be you nicer of 1? If so, let us proceed.

  Lady:
    You is the sum of me and a cat.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""0>.@.>^""","""HAI 1.2
VISIBLE ""0""
VISIBLE ""0""
VISIBLE ""0""
VISIBLE ""0""
VISIBLE ""0""
VISIBLE ""0""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(0) #0
DO READ OUT(0) #0
DO READ OUT(0) #0
DO READ OUT(0) #0
DO READ OUT(0) #0
DO READ OUT(0) #0
PLEASE GIVE UP"""
"[0, 1, 2, 4, 8, 16]",2,"[FUck
FUCk]",[>++++++++[<+++++++>-]<.],"[for i in range(6):
    print(2**i)]","[Set n = 0
Repeat 6 times:
    Print n
    Set n = 2^n]","(*0""!zyxwvutsrqpon","""The Cat:
  Am I better than you? You is a number. 
  You are 0.
  Be you nicer of 1? If so, let us proceed.

  Lady:
    You is the sum of me and a cat.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""0>          v
 @.20*2     <""","""HAI 1.2
VISIBLE ""0""
VISIBLE ""1""
VISIBLE ""2""
VISIBLE ""4""
VISIBLE ""8""
VISIBLE ""16""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(0) #0
DO READ OUT(1) #1
DO READ OUT(2) #2
DO READ OUT(4) #4
DO READ OUT(8) #8
DO READ OUT(16) #16
PLEASE GIVE UP"""
"[1, 2, 4, 7, 11, 16, 22, 29]",2,"[FUck
FUCkFUck]",[>->++++++[<-------->-]<.],"[current = 1
for i in range(1, 9):
    print(current)
    current += i]","[Set n = 1
Repeat 8 times:
    Print n
    Set n = n + 1 + number of iterations completed]","(=<`#9]~6ZYXWVUTSRQPONMLKJIHGFEDCBA@?>=<;:9876543s+)(*&%$#""!","""The Cat:
  Am I better than you? You is a number. 
  You are 0.
  Be you nicer of 1? If so, let us proceed.

  Lady:
    You is the sum of me and a cat.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""1>            v
 @.10+1       <
0>1v          <
 @.10+2      <
0>2v          <
 @.10+3      <
0>3v          <
 @.10+4      <
0>4v          <
 @.10+5      <
0>5v          <
 @.10+6      <
0>6v          <
 @.10+7      <
0>7v          <
 @.10+8      <""","""HAI 1.2
VISIBLE ""1""
VISIBLE ""2""
VISIBLE ""4""
VISIBLE ""7""
VISIBLE ""11""
VISIBLE ""16""
VISIBLE ""22""
VISIBLE ""29""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(1) #1
DO READ OUT(2) #2
DO READ OUT(4) #4
DO READ OUT(7) #7
DO READ OUT(11) #11
DO READ OUT(16) #16
DO READ OUT(22) #22
DO READ OUT(29) #29
PLEASE GIVE UP"""
"[1, 1, 1, 2, 3, 4, 6, 9]",2,"[FUck
FUCK]",[>+++[->+++<]>.[->+<]>++.<.],"[sequence = [1, 1, 1]
for _ in range(5):
    print(sequence[-1])
    sequence.append(sum(sequence[-2:]))]","[Set a = 1, b = 1
Repeat 6 times:
    Print a
    Set temp = a
    Set a = b
    Set b = temp + b]","(=BA#)9]~6ZYXWVUTSRQPONMLKJIHGFEDCBA@?>=<;:9876543s+)(*&%$#""!","""The Cat:
  Am I better than you? You is a number. 
  You are 0.
  Be you nicer of 1? If so, let us proceed.

  Lady:
    You is the sum of me and a cat.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    Speak your mind.
  Lady.

  Speak your mind.""","""[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]
[TAB][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][SPACE][BREAK]""","""1>         v
 @.10+1    <
1>1v       <
 @.10+1   <
1>2v       <
 @.20+1  <
1>3v       <
 @.30+1 <""","""HAI 1.2
VISIBLE ""1""
VISIBLE ""1""
VISIBLE ""1""
VISIBLE ""2""
VISIBLE ""3""
VISIBLE ""4""
VISIBLE ""6""
VISIBLE ""9""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(1) #1
DO READ OUT(1) #1
DO READ OUT(1) #1
DO READ OUT(2) #2
DO READ OUT(3) #3
DO READ OUT(4) #4
DO READ OUT(6) #6
DO READ OUT(9) #9
PLEASE GIVE UP"""
"[30, 42, 66, 70, 78, 102]",2,"[FUckFUckFUck
FUckFUckFUckFUck]",[++++++[->++++<]>[->+++<]>+.+++++++.-------.+++++++++++++.],"[for i in range(1, 7):
    print(i * (i + 1) * 5)]","[Set n = 30
Repeat 5 times:
    Print n
    If n % 10 == 0:
        Set n = n + 12
    Else:
        Set n = n + 6]",(=<`#9]~6;9876543,"""The Cat:
  Am I better than you? You is a number. 
  You are 0.
  Be you nicer of 1? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Tab][Space][Space][Space]
[Space][Tab][Space][Space][Tab]
[Space][Tab][Space][Tab][Space]
[Space][Tab][Space][Tab][Tab]
[Space][Tab][Space][Tab][Space][Space]
[Space][Tab][Space][Tab][Space][Tab]
[Space][Tab][Space][Tab][Tab][Space]
[Space][Tab][Space][Tab][Tab][Tab]
[Space][Tab][Space][Space][Space][Space]
[Space][Tab][Space][Space][Space][Tab]""","""10p 3 0v
1 >""v""$<
 vp10<^""","""HAI 1.2
VISIBLE ""30""
VISIBLE ""42""
VISIBLE ""66""
VISIBLE ""70""
VISIBLE ""78""
VISIBLE ""102""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(30) #30
DO READ OUT(42) #42
DO READ OUT(66) #66
DO READ OUT(70) #70
DO READ OUT(78) #78
DO READ OUT(102) #102
PLEASE GIVE UP"""
"[0, 1, 4, 9, 16, 25, 36]",2,"[FUck
FUCKFUCK]",[>+++++[->++++++<]>.[->+++++++<]>.[->+++++++++<]>.[->++++++<]>.[->++++++<]>.[->++++<]>.[->+++++<]>.],"[for i in range(7):
    print(i**2)]","[Set n = 0
Repeat 7 times:
    Print n
    Set n = n^2 + 1]","(=<`!)+&%$#`""!z{wv","""The Cat:
  Am I better than you? You is a number. 
  You are 0.
  Be you nicer of 1? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Tab][Space][Space][Space]
[Space][Tab][Space][Tab][Space]
[Space][Tab][Space][Tab][Tab]
[Space][Tab][Tab][Space][Space]
[Space][Tab][Tab][Space][Tab]
[Space][Tab][Tab][Tab][Space]
[Space][Tab][Tab][Tab][Tab]
[Space][Tab][Space][Space][Tab][Space]""","""00p 1  v
1 >""v""$<
 vp10<^""","""HAI 1.2
VISIBLE ""0""
VISIBLE ""1""
VISIBLE ""4""
VISIBLE ""9""
VISIBLE ""16""
VISIBLE ""25""
VISIBLE ""36""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(0) #0
DO READ OUT(1) #1
DO READ OUT(4) #4
DO READ OUT(9) #9
DO READ OUT(16) #16
DO READ OUT(25) #25
DO READ OUT(36) #36
PLEASE GIVE UP"""
"[0, 1, 8, 27, 64, 125, 216, 343, 512]",2,"[FUck
FUCKFUCKFUCK]",[++++++++[->++++++++++<]>+.-.+++++++.-------.+++++++++++++.-----------.++++++.+++++++++++.+++++++++++++.-----------.++++.+++++++++.------------.++++++++++++.],"[for i in range(9):
    print(i**3)]","[Set n = 0
Repeat 9 times:
    Print n
    Set n = (n + 1)^3]","(=BAq)(=CB}(=<`#9]!~xwvut,+O/'TSRqponmlkjihgfeba`_^]\[ZYXWVUMLJI]!`EDCBA@?>=<;:9876543s+)(!&%$#""!","""The Cat:
  Am I better than you? You is a number. 
  You are 0.
  Be you nicer of 1? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 0.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Tab][Space][Space][Space]
[Space][Tab][Space][Tab][Space]
[Space][Tab][Tab][Space][Space]
[Space][Tab][Tab][Tab][Space]
[Space][Tab][Tab][Tab][Tab]
[Space][Tab][Space][Space][Tab][Space]
[Space][Tab][Space][Space][Tab][Tab]
[Space][Tab][Space][Tab][Space][Space]
[Space][Tab][Space][Tab][Tab][Space]
[Space][Tab][Space][Tab][Tab][Tab]
[Space][Tab][Space][Tab][Space][Tab][Space]""","""00p 1  v
1 >""v""$<
 vp20<^""","""HAI 1.2
VISIBLE ""0""
VISIBLE ""1""
VISIBLE ""8""
VISIBLE ""27""
VISIBLE ""64""
VISIBLE ""125""
VISIBLE ""216""
VISIBLE ""343""
VISIBLE ""512""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(0) #0
DO READ OUT(1) #1
DO READ OUT(8) #8
DO READ OUT(27) #27
DO READ OUT(64) #64
DO READ OUT(125) #125
DO READ OUT(216) #216
DO READ OUT(343) #343
DO READ OUT(512) #512
PLEASE GIVE UP"""
"[4, 6, 9, 10, 14, 15, 21, 22, 25, 26]",2,"[FUCK
FUCKFUCK]",[>++[->+++++<]>.[->+++++++<]>.[->++<]>++.+[->+++++<]>+.-[->+++<]>-.++[->+++++<]>+.++++++++++++++.],"[n = 2
for i in range(10):
    print(n + i + (i // 3))]","[Set n = 4
Repeat 10 times:
    Print n
    If n is odd:
        Increment n by 3
    Else:
        Increment n by 1]","(=BA#)9]~6ZYXWVUTSRQPONMLKJIHGFEDCBA@?>=<;:9876543s+)(*&%$#""!","""The Cat:
  Am I better than you? You is a number. 
  You are 4.
  Be you nicer of 4? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 0.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 1.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Tab][Space][Space][Tab]
[Space][Tab][Space][Tab][Space]
[Space][Tab][Space][Tab][Tab]
[Space][Tab][Tab][Space][Space]
[Space][Tab][Tab][Space][Tab]
[Space][Tab][Tab][Tab][Space]
[Space][Tab][Tab][Tab][Tab]
[Space][Tab][Space][Space][Tab][Space]
[Space][Tab][Space][Space][Tab][Tab]
[Space][Tab][Space][Tab][Space][Space]
[Space][Tab][Space][Tab][Space][Tab]""","""41p 2  v
1 >""v""$<
 vp10<^""","""HAI 1.2
VISIBLE ""4""
VISIBLE ""6""
VISIBLE ""9""
VISIBLE ""10""
VISIBLE ""14""
VISIBLE ""15""
VISIBLE ""21""
VISIBLE ""22""
VISIBLE ""25""
VISIBLE ""26""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(4) #4
DO READ OUT(6) #6
DO READ OUT(9) #9
DO READ OUT(10) #10
DO READ OUT(14) #14
DO READ OUT(15) #15
DO READ OUT(21) #21
DO READ OUT(22) #22
DO READ OUT(25) #25
DO READ OUT(26) #26
PLEASE GIVE UP"""
"[3, 1, 4, 1, 5, 9, 2, 6, 5]",3,"[FUCK
FUck
FUCKFUCK]",[+++[->+++++<]>+++.>+.---.>+++++++.<+++.--.>+++++.<+.[->+++<]>++.-----.>++.<---.>++++.<+.],"[sequence = [3, 1, 4]
for i in range(4, 10):
    if i % 2 == 0:
        sequence.append(sequence[-2] + sequence[-1])
    else:
        sequence.append(sequence[-2] - sequence[-1])
print(*sequence)]","""For the sequence 3, 1, 4, 1, 5, 9, 2, 6, 5:
    Initialize array sequence with values [3, 1, 4, 1, 5, 9, 2, 6, 5]
    For i = 9 to 2:
        sequence[i] = sequence[i] + sequence[i-2]
    Print sequence""","(*0""!zyxwvutsrqpon","""The Cat:
  Am I better than you? You is a number. 
  You are 3.
  Be you nicer of 3? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 0.
    You is the sum of me and 0.
    You is the sum of me and 1.
    You is the sum of me and 4.
    You is the sum of me and 5.
    You is the sum of me and 9.
    You is the sum of me and 2.
    You is the sum of me and 6.
    You is the sum of me and 5.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Space][Tab][Space][Space][Space]
[Space][Space][Space][Space][Tab]
[Space][Space][Tab][Space][Space][Tab]
[Space][Space][Space][Space][Tab]
[Space][Space][Tab][Tab]
[Space][Tab]
[Space][Tab][Space][Tab]
[Space][Space][Space][Tab][Tab]
[Space][Space][Tab][Space][Tab]""","""31p 4  v
1 >""v""$<
 vp10<^""","""HAI 1.2
VISIBLE ""3""
VISIBLE ""1""
VISIBLE ""4""
VISIBLE ""1""
VISIBLE ""5""
VISIBLE ""9""
VISIBLE ""2""
VISIBLE ""6""
VISIBLE ""5""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(3) #3
DO READ OUT(1) #1
DO READ OUT(4) #4
DO READ OUT(1) #1
DO READ OUT(5) #5
DO READ OUT(9) #9
DO READ OUT(2) #2
DO READ OUT(6) #6
DO READ OUT(5) #5
PLEASE GIVE UP"""
"[1, 1, 2, 2, 4, 2, 6, 4, 6, 4, 10]",3,"[FUck
FUCK]",[++[->++<]>+.>++++.>+.<<.>++.>.<<.>>++++.<<.>>++++.<<.>>-----.>-.<<.>>++++.<<.>>++++.<<.>>+++.---.>---.<<.>>+++++.---.>---.],"[sequence = [1, 1]
for i in range(2, 11):
    if i % 2 == 0:
        sequence.append(sequence[-1] * 2)
    else:
        sequence.append(sequence[-2] + sequence[-1])
print(*sequence)]","""For the sequence 1, 1, 2, 2, 4, 2, 6, 4, 6, 4, 10:
    Initialize array sequence with values [1, 1, 2, 2, 4, 2, 6, 4, 6, 4, 10]
    For i = 3 to 10:
        If i is odd:
            sequence[i] = sequence[i-1]
        Else:
            sequence[i] = sequence[i-2] + sequence[i-4]
    Print sequence""","(*0""!zyxwvutsrqpon","""The Cat:
  Am I better than you? You is a number. 
  You are 1.
  Be you nicer of 1? If so, let us proceed.

  Lady:
    You is the cube of me.
    You is the sum of me and 0.
    You is the sum of me and 1.
    You is the sum of me and 1.
    You is the sum of me and 2.
    You is the sum of me and 2.
    You is the sum of me and 4.
    You is the sum of me and 2.
    You is the sum of me and 6.
    You is the sum of me and 4.
    You is the sum of me and 6.
    Speak your mind.
  Lady.

  Speak your mind.""","""[Space][Space][Tab][Space][Space][Space]
[Space][Space][Space][Space][Tab]
[Space][Space][Space][Space][Space]
[Space][Space][Tab][Tab]
[Space][Space][Space][Space][Tab]
[Space][Space][Space][Space][Tab]
[Space][Space][Tab][Space][Space]
[Space][Space][Tab][Tab]
[Space][Space][Tab][Space][Space]
[Space][Space][Tab][Space][Tab][Tab]""","""11p   v
1v"" ""v
 v*2+<            v
 v"" ""v  >:9`!
>0_:.10g!#v_:0-1< ""","""HAI 1.2
VISIBLE ""1""
VISIBLE ""1""
VISIBLE ""2""
VISIBLE ""2""
VISIBLE ""4""
VISIBLE ""2""
VISIBLE ""6""
VISIBLE ""4""
VISIBLE ""6""
VISIBLE ""4""
VISIBLE ""10""
KTHXBYE""","""DO COME FROM(1) NEXT TIME
DO READ OUT(1) #1
DO READ OUT(1) #1
DO READ OUT(2) #2
DO READ OUT(2) #2
DO READ OUT(4) #4
DO READ OUT(2) #2
DO READ OUT(6) #6
DO READ OUT(4) #4
DO READ OUT(6) #6
DO READ OUT(4) #4
DO READ OUT(10) #10
PLEASE GIVE UP"""
