sequence,complexity,length_type,language,q_length,answer,a_length,temperature,real_code,print_code,no_code,explanation,no_sense
"Complexity: 1[ 1, 2, 3, 4, 5, 6, 7, 8, ]",1,0,Brainfuck,161,"```brainfuck
+++++[->+++++<]>-.+.-.+.+++++++.---------.+++++++++.
```",69,0.5,0,0,0,0,0
"Complexity: 1[ 0, 2, 4, 6, 8, 10, 1]",1,0,Brainfuck,157,"```brainfuck
++++++++++[>+++++<-]>[<+++++>-]<[->+>+>+>+<<<<]>>>---.>---.>---.>---.>---.>---.
```",96,0.5,0,0,0,0,0
"Complexity: 1[ 1, 3, 5, 7, 9, 11, 1]",1,0,Brainfuck,157,"```brainfuck
++++++++++[>+++++++<-]>+++.-.+.+.+.+.+.
```",56,0.5,0,0,0,0,0
"Complexity: 1[ 101, 103, 105, 107, 10]",1,0,Brainfuck,159,"```brainfuck
++++++++++[>+++++++<-]>+++.-.+.+.+.
```",52,0.5,0,0,0,0,0
"Complexity: 1[ 2, 3, 5, 7, 11, 13, 17, 19, 2]",1,0,Brainfuck,166,"```brainfuck
++++++++++[>+++++++<-]>++++.>++++++++.>++++++++++++.>+++++++++++++++.>+++++++++++++++.>++++++++++++++++++++.>++++++++++++++++++++++.>++++++++++++++++++++++++.>++++++++++++++++++++++++++.
```",203,0.5,0,0,0,0,0
"Complexity: 1[ 10, 20 ,30 ,40 ,50 ,6]",1,0,Brainfuck,158,"```brainfuck
++++++++++[>++++++++++<-]>[>++++++<-]>.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
```",121,0.5,0,0,0,0,0
"Complexity: 1[ 4, 8, 12,16, 20, 24, 28, 3]",1,0,Brainfuck,163,"```brainfuck
++++[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]
```",140,0.5,0,0,0,0,0
"Complexity: 1[ 3, 6, 9, 12, 15, 18, 2]",1,0,Brainfuck,159,"```brainfuck
++++++++++[>+++>+++++++>++++++++>+++++++++<<<<-]>>>++.>+.>+.>+.>+.>+.>+.>+.>+.
```",95,0.5,0,0,0,0,0
"Complexity: 1[ 1, 2, ]",1,0,Brainfuck,143,"```brainfuck
++++++++++[>+++>+++++>+++++++<<<-]>++.>+.>++.
```",62,0.5,0,0,0,0,0
"Complexity: 1[ 1, 2, 3, 4, ]",1,0,Brainfuck,149,"```brainfuck
++++++++++[>+++++++<-]>+.-.+.+.+.
```",50,0.5,0,0,0,0,0
"Complexity: 1[ 1, 2, 3, 4, 5, 6, 7, 8, ]",1,0,Brainfuck,161,"```brainfuck
+++++++++[>+++++++<-]>++++.>+.>++.>+++.>++++.>+++++.>++++++.>+++++++.>++++++++.
```",96,0.2,0,0,0,0,0
"Complexity: 1[ 0, 2, 4, 6, 8, 10, 1]",1,0,Brainfuck,157,"```brainfuck
++++++++++[>+++++<-]>[<+++++>-]<[->+>+>+>+<<<<]>>>--.>-.>-.>-.>-.>-.<<<<<.
```",91,0.2,0,0,0,0,0
"Complexity: 1[ 1, 3, 5, 7, 9, 11, 1]",1,0,Brainfuck,157,"```brainfuck
++++++++++[>+++++++<-]>[<++++++>-]<++++.-----.+++++.-----.+++++.-----.+++++.-----.+++++.
```",105,0.2,0,0,0,0,0
"Complexity: 1[ 101, 103, 105, 107, 10]",1,0,Brainfuck,159,"```brainfuck
++++++++++[>+++++++<-]>+.-.+.+.+.
```",50,0.2,0,0,0,0,0
"Complexity: 1[ 2, 3, 5, 7, 11, 13, 17, 19, 2]",1,0,Brainfuck,166,"```brainfuck
++++++++++[>+++++++<-]>+++.--.+++++.-----.++++++++++++.---------.+++++++++++++++.------------.+++++++++++++++++.-----------------.++++++++++++++++++++.-------------------.+++++++++++++++++++++++.---------------------
```",233,0.2,0,0,0,0,0
"Complexity: 1[ 10, 20 ,30 ,40 ,50 ,6]",1,0,Brainfuck,158,"```brainfuck
++++++++++[>++++++++++<-]>[<++++++>-]<[<++++++>-]<[<++++++>-]<[<++++++>-]<[<++++++>-]<[<++++++>-]<.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
```",181,0.2,0,0,0,0,0
"Complexity: 1[ 4, 8, 12,16, 20, 24, 28, 3]",1,0,Brainfuck,163,"```brainfuck
++++[>++++<-]>[.<+>]
```",37,0.2,0,0,0,0,0
"Complexity: 1[ 3, 6, 9, 12, 15, 18, 2]",1,0,Brainfuck,159,"```brainfuck
++++++++++[>+++>+>+++>+<<<-]>++.>+.>+.>++.>+.>+.>++.>+.>+.>++.
```",79,0.2,0,0,0,0,0
"Complexity: 1[ 1, 2, ]",1,0,Brainfuck,143,"```brainfuck
++++++++++[>+++++++<-]>+.<++++[>++++++<-]>+.<+++++[>+++++++<-]>+.
```",82,0.2,0,0,0,0,0
"Complexity: 1[ 1, 2, 3, 4, ]",1,0,Brainfuck,149,"```brainfuck
++++++++++[>+++++++<-]>+.<++++[>++++++<-]>+.<+++++[>++++++<-]>+.<++++++[>++++++<-]>+.<+++++++[>++++++<-]>+.
```",124,0.2,0,0,0,0,0
"Complexity: 1[ 1, 2, 3, 4, 5, 6, 7, 8, ]",1,0,Brainfuck,161,"```brainfuck
+++++++++[>+++++++<-]>+.<++++[>++++++<-]>+.<+++++[>++++++<-]>+.<++++++[>++++++<-]>+.<+++++++[>++++++<-]>+.<++++++++[>++++++<-]>+.<+++++++++[>++++++<-]>+.<++++++++++[>++++++<-]>+.
```",195,0.001,0,0,0,0,0
"Complexity: 1[ 0, 2, 4, 6, 8, 10, 1]",1,0,Brainfuck,157,"```brainfuck
++++++++++[>+++++<-]>[<+++++>-]<[>+>+<<-]>[<+>-]++++++++[>++++++<-]>.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
```",151,0.001,0,0,0,0,0
"Complexity: 1[ 1, 3, 5, 7, 9, 11, 1]",1,0,Brainfuck,157,"```brainfuck
++++++++++[>+++++++<-]>+.<++++[>+++++++<-]>+.<+++++[>+++++++<-]>+.<+++++++[>+++++++<-]>+.<++++++++[>+++++++<-]>+.<+++++++++[>+++++++<-]>+.<+++++++++++[>+++++++<-]>+.
```",182,0.001,0,0,0,0,0
"Complexity: 1[ 101, 103, 105, 107, 10]",1,0,Brainfuck,159,"```brainfuck
++++++++++[>+++++++<-]>+.-.+.+.+.
```",50,0.001,0,0,0,0,0
"Complexity: 1[ 2, 3, 5, 7, 11, 13, 17, 19, 2]",1,0,Brainfuck,166,"```brainfuck
++++++++++[>+++++++<-]>++++.>+++++++++++.>++++++++.>+++++++.>++++++++++++++.>++++++++++++.>+++++++++++++++++.>+++++++++++++++++++.>+++++++++++++++++++++.
```",170,0.001,0,0,0,0,0
"Complexity: 1[ 10, 20 ,30 ,40 ,50 ,6]",1,0,Brainfuck,158,"```brainfuck
++++++++++[>++++++++++<-]>[>++++++++++<-]>[>++++++++++<-]>[>++++++++++<-]>[>++++++++++<-]>[>++++++++++<-]>.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
```",189,0.001,0,0,0,0,0
"Complexity: 1[ 4, 8, 12,16, 20, 24, 28, 3]",1,0,Brainfuck,163,"```brainfuck
++++[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]<[>++++<-]>[<++++>-]
```",140,0.001,0,0,0,0,0
"Complexity: 1[ 3, 6, 9, 12, 15, 18, 2]",1,0,Brainfuck,159,"```brainfuck
++++++++++[>+++>+++++>+++++++>+++++++++>+++++++++++>+++++++++++++>+++++++++++++++<<<<<<-]>-.>-.>-.>-.>-.>-.>++.
```",128,0.001,0,0,0,0,0
"Complexity: 1[ 1, 2, ]",1,0,Brainfuck,143,"```brainfuck
++++++++++[>+++++++<-]>+.<++++[>++++++<-]>+.<++++++++[>+++++++<-]>+.
```",85,0.001,0,0,0,0,0
"Complexity: 1[ 1, 2, 3, 4, ]",1,0,Brainfuck,149,"```brainfuck
++++++++++[>+++++++<-]>+.<++++[>++++++<-]>+.<+++++[>+++++++<-]>+.<++++++[>+++++++<-]>+.<+++++++[>+++++++<-]>+.
```",127,0.001,0,0,0,0,0
"Complexity: 2[ 0, 1, 1, 2, 3, 5, 8, 1]",2,0,Brainfuck,159,"```brainfuck
++++++++++>+>+[<[->-<]>[-<+>]+>[-<+>]<<<]>>>[-]<<<<[->>>>>+<<<<<]>>>>>
```",87,1,0,0,0,0,0
"Complexity: 2[ 0, 6, 9, 3, 1, 4, ]",2,0,Brainfuck,155,"```brainfuck
++++++++++[>+++++<-]>++++.-----.+++++++.---.+.----.+++. 
```",73,1,0,0,0,0,0
"Complexity: 2[ 0, 0, 0, 0, 0, ]",2,0,Brainfuck,152,"```brainfuck
++++++++++[>+++++++<-]>[<+++>-]<[<+++>-]<[<+++>-]<[<+++>-]<[<+++>-]<[<+++>-]<.
```",95,1,0,0,0,0,0
"Complexity: 2[ 0, 1, 2, 4, 8, 1]",2,0,Brainfuck,153,"```brainfuck
++++++++[->+++++<]>++.>+.++++++.>+.>++++++++++.
```",64,1,0,0,0,0,0
"Complexity: 2[ 1, 2, 4, 7, 11, 16, 22, 2]",2,0,Brainfuck,162,"```brainfuck
++++++++++[>+++++++<-]>+.<+++[>++++++<-]>+.<++++[>++++++<-]>+.<+++++[>+++++++<-]>+.<++++++[>++++++++<-]>+.<+++++++[>+++++++++<-]>+.<++++++++[>+++++++++<-]>+.
```",174,1,0,0,0,0,0
"Complexity: 2[ 1, 1, 1, 2, 3, 4, 6, ]",2,0,Brainfuck,158,"```brainfuck
++++++++++[>+>+++>+++++++>++++++++++<<<<-]>>>++.>+.+++++++..+++.>-.------------.<++++++++.--------.+++.------.--------.
```",136,1,0,0,0,0,0
"Complexity: 2[ 30, 42, 66, 70, 78, 10]",2,0,Brainfuck,159,"```brainfuck
++++++++++[>+++++++<-]>+++.<++++[>++++++<-]>+.<+++[>++++++<-]>+++.<+++++++[>------<-]>-.<++++[>++++++<-]>++++.<
```",128,1,0,0,0,0,0
"Complexity: 2[ 0, 1, 4, 9, 16, 25, 3]",2,0,Brainfuck,158,"```brainfuck
++++[>+++++<-]>[<+++++>-]+<+[
    >[>+>+<<-]++>>[<<+>>-]>>>[-]++>[-]+
    >>>+[[-]>>>>+<<[->>>>+<<<<]>>>>]<<<<[>>>>+<<<<-]<[>++++++[<++++++++>-]<.<<+>+>]<<
]
```",174,1,0,0,0,0,0
"Complexity: 2[ 0, 1, 8, 27, 64, 125, 216, 343, 51]",2,0,Brainfuck,171,"```brainfuck
++++++++++[>+>+++>+++++++>++++++++++<<<<-]>>>++++++++++.<+++++++++.>++++++.<-------.>+++++++.<<.>>----.<++++++.<----.>+++++++.<<.>>----.<++++.<+++.<.
```",166,1,0,0,0,0,0
"Complexity: 2[ 4, 6, 9, 10, 14, 15, 21, 22, 25, 2]",2,0,Brainfuck,171,"```brainfuck
++++++++++[>++++++++++<-]>>++++++.<+++++.+++++++..>++++.>+++++++.------.--------.>++++++.>-----.++++++++++++.---------.+++++++++++++.<<.
```",153,1,0,0,0,0,0
"Complexity: 2[ 0, 1, 1, 2, 3, 5, 8, 1]",2,0,Brainfuck,159,"```brainfuck
++++++++++>+>+[<[->-<]>[-<+>]+>+[-<+>]<<<]>>>[-]<<<++++++++++.
>.>.>.>.>.>.>.
```",94,0.7,0,0,0,0,0
"Complexity: 2[ 0, 6, 9, 3, 1, 4, ]",2,0,Brainfuck,155,"```brainfuck
+[----->+++<]>+.+++++++++.---.+..----.
```",55,0.7,0,0,0,0,0
"Complexity: 2[ 0, 0, 0, 0, 0, ]",2,0,Brainfuck,152,"```brainfuck
-[----->+<]>-----.
```",35,0.7,0,0,0,0,0
"Complexity: 2[ 0, 1, 2, 4, 8, 1]",2,0,Brainfuck,153,"```brainfuck
++++++++[->++++<]>[->+>+>+>+<<<<]>>>---.>+.>++.>++++.
```",70,0.7,0,0,0,0,0
"Complexity: 2[ 1, 2, 4, 7, 11, 16, 22, 2]",2,0,Brainfuck,162,"```brainfuck
++++++++++[>+++++++<-]>[<++++++>-]<[>+>+<<-]>[<+>-]++++++++[>++++++++<-]>.<++++[>++++++<-]>.
<+++[>++++++<-]>++.+++++++.<+++[>---<-]>-.-----------.+++++++++++++.---------.<+++[>+++<-]>.
```",202,0.7,0,0,0,0,0
"Complexity: 2[ 1, 1, 1, 2, 3, 4, 6, ]",2,0,Brainfuck,158,"```brainfuck
++++++++++[>+++++++<-]>+++.-.+.>++++++++++[>++++++++++<-]>++++.>++++++++++[>++++++++++<-]>++++++.>++++++++++[>++++++++++<-]>++++++++.>++++++++++[>++++++++++<-]>++++++++++++.>++++++++++[>++++++++++<-]>+++++++++++++++.>++++++++++[>++++++++++<-]>++++++++++++++++++++.
```",281,0.7,0,0,0,0,0
"Complexity: 2[ 30, 42, 66, 70, 78, 10]",2,0,Brainfuck,159,"```brainfuck
++++++++++[>+++++++>++++++++++>+++++++++++>++++++++++++>+++++++++++++>+++++++++++++++<<<<<<<<-]>>>>>-.>+.>---.>-.>+.>---.
```",138,0.7,0,0,0,0,0
"Complexity: 2[ 0, 1, 4, 9, 16, 25, 3]",2,0,Brainfuck,158,"```brainfuck
++++++++++[>+++++++<-]>[<++++++>-]<++++[>++++++++<-]>[<+++++>-]<+++.--.+.++++.-------.+++++++++.-----------
```",124,0.7,0,0,0,0,0
"Complexity: 2[ 0, 1, 8, 27, 64, 125, 216, 343, 51]",2,0,Brainfuck,171,"```brainfuck
++++++++++[>+++++++<-]>[<++++++>-]<++++[>++++++++<-]>++[<++++++>-]<+[>+>+>+<<<<-]>>>[<<<<+>>>>-]<[>++++++[<++++++>-]<+++++[>++++++<-]>.[-]<[>+<-]>[<++++++>-]<++++[>++++++++<-]>++[<++++++>-]<+[>+>+>+<<<<-]>>>[<<<<+>>>>-]<[>++++++[<++++++>-]<+++++[>++++++<-]>.[-]<[>+<-]>[<++++++>-]<++++[>++++++++<-]>++[<++++++>-]<+[>+>+>+<<<<-]>>>[<<<<+>>>>-]<[>++++++[<++++++>-]<+++++[>++++++<-]>.[-]<[>+<-]>[<++++++>-]<++++[>++++++++<-]>++[<++++++>-]<+[>+>+>+<<<<-]>>>[<<<<+>>>>-]<[>++++++[<++++++>-]<+++++[>++++++<-]>.[-]<[>+<-]>[<++++++>-]<++++[>++++++++<-]>++[<++++++>-]<+[>+>+>+<<<<-]>>>[<<<<+>>>>-]<[>++++++[<++++++>-]<+++++[>++++++<-]>.[-]<[>+<-]>[<++++++>-]<++++[>++++++++<-]>++[<++++++>-]<+[>+>+>+<<<<-]>>>[<<<<+>>>>-]<[>++++++[<++++++>-]<+++++[>++++++<-]>.[-]<[>+<-]>]
```",779,0.7,0,0,0,0,0
"Complexity: 2[ 4, 6, 9, 10, 14, 15, 21, 22, 25, 2]",2,0,Brainfuck,171,"```brainfuck
++++++++[->++++<]>.,++.,+++.>++++++[-->++++++++++++<]>.,++.,+++.>+++++[-->++++++++<]>.,++.,+++.>++++++++++[->++++++++++<]>.,++.,+++.>+++++++++[-->+++++++++<]>.,++.,+++.>+++++++++++++++[->+++++++++++++++<]>.,++.,+++.>++++++++++++++[->++++++++++++++<]>.,++.,+++.
```",277,0.7,0,0,0,0,0
"Complexity: 2[ 0, 1, 1, 2, 3, 5, 8, 1]",2,0,Brainfuck,159,"```brainfuck
++++++++++>+>+[<[->-<]>[-<+>]+>+]>>.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
```",144,0.5,0,0,0,0,0
"Complexity: 2[ 0, 6, 9, 3, 1, 4, ]",2,0,Brainfuck,155,"```brainfuck
-[----->+<]>-.+++++.-----.----.+.++++++++.
```",59,0.5,0,0,0,0,0
"Complexity: 2[ 0, 0, 0, 0, 0, ]",2,0,Brainfuck,152,"```
-[----->+<]>-----.
```",26,0.5,0,0,0,0,0
"Complexity: 2[ 0, 1, 2, 4, 8, 1]",2,0,Brainfuck,153,"```brainfuck
++++++++++[>+>+++>+++++++>++++++++++<<<<-]>>>---.>+.>++.>++++.>++++++++.
```",89,0.5,0,0,0,0,0
"Complexity: 2[ 1, 2, 4, 7, 11, 16, 22, 2]",2,0,Brainfuck,162,"```brainfuck
++++++++++[>+++++++<-]>[<++++++>-]<[>+>+<<-]>[<+>-]++++++++[>++++++++<-]>.<++++[>++++<-]>.[>++++++<-]>+.<++++++++[>--------<-]>-.<++++[>----<-]>.<+++++++[>+++++++<-]>.[>+++++++<-]>.[>+++++++++++<-]>+.
```",217,0.5,0,0,0,0,0
"Complexity: 2[ 1, 1, 1, 2, 3, 4, 6, ]",2,0,Brainfuck,158,"```brainfuck
++++++++++[>+++++++<-]>+++.-.+.>++++++++++[>++++++++++<-]>+.-.>++++++++++[>++++++++++<-]>++.-.>++++++++++[>++++++++++<-]>+++.-.>++++++++++[>++++++++++<-]>++++.-.>++++++++++[>++++++++++<-]>++++++.-.
```",214,0.5,0,0,0,0,0
"Complexity: 2[ 30, 42, 66, 70, 78, 10]",2,0,Brainfuck,159,"```brainfuck
++++++++++[>+++++++<-]>+++.<++++[>++++++<-]>+.<++++[>+++++++<-]>++.+++++++.<++++++++++[>------<-]>.<++++[>+++++++<-]>+.++++++++.
```",145,0.5,0,0,0,0,0
"Complexity: 2[ 0, 1, 4, 9, 16, 25, 3]",2,0,Brainfuck,158,"```brainfuck
++++++++++[>+++++++<-]>[<++++++>-]<[>>+>+<<<-]>>>[<<<+>>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]>[<+>-]<<<.>.>.>.>.>.>.
```",126,0.5,0,0,0,0,0
"Complexity: 2[ 0, 1, 8, 27, 64, 125, 216, 343, 51]",2,0,Brainfuck,171,"```brainfuck
++++++++++[>+++++++<-]>[<++++++>-]<++++[>++++++++<-]>[<++++++>-]<+++[>++++++++++<-]>[<++++++>-]<++++[>+++++++++++<-]>[<++++++>-]<+++++[>++++++++++++<-]>[<++++++>-]<++++++[>+++++++++++++<-]>[<++++++>-]<+++++++[>++++++++++++++<-]>[<++++++>-]<++++++++[>+++++++++++++++<-]>[<++++++>-]<.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
```",390,0.5,0,0,0,0,0
"Complexity: 2[ 4, 6, 9, 10, 14, 15, 21, 22, 25, 2]",2,0,Brainfuck,171,"```brainfuck
++++++++++[>+++++<-]>[<+++++>-]+<+[
    >[>+>+<<-]++>>[<<+>>-]>>>[-]++>[-]+
    >>>+[[-]++++++>>>]<<<[[<++++++++<++>>-]+<.<[>----<-]<]
    <<[>>>+<<[<+>-]>[<<++++++++++>>-]<<-]<<<]
>+<[-]]<[++++++++++++++++++++++++++++++++++++++++++++++++.[-]
<++++++++++++++++++++++++++++++++++++++++++++++++.[-]<-
<++++++++++++++++++++++++++++++++++++++++++++++++.[-]
<++++++++++++++++++++++++++++++++++++++++++++++++.[-]
<++++++++++++++++++++++++++++++++++++++++++++++++.[-]
<++++++++++++++++++++++++++++++++++++++++++++++++.[-]
<++++++++++++++++++++++++++++++++++++++++++++++++.[-]
<++++++++++++++++++++++++++++++++++++++++++++++++.[-]
<++++++++++++++++++++++++++++++++++++++++++++++++.[-]
```",693,0.5,0,0,0,0,0
"Complexity: 2[ 0, 1, 1, 2, 3, 5, 8, 1]",2,0,Brainfuck,159,"```brainfuck
++++++++++>+>+[<[->-<]>[-<+>]+>+]>>.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
>++++++++++.
```",144,0.2,0,0,0,0,0
"Complexity: 2[ 0, 6, 9, 3, 1, 4, ]",2,0,Brainfuck,155,"```brainfuck
-[----->+<]>-.---.++++.+++.+.----.
```",51,0.2,0,0,0,0,0
"Complexity: 2[ 0, 0, 0, 0, 0, ]",2,0,Brainfuck,152,"```
++++++++++[>++++++++++<-]>[>++++++++++<-]>[>++++++++++<-]>[>++++++++++<-]>[>++++++++++<-]>[>++++++++++<-]>.
```",115,0.2,0,0,0,0,0
"Complexity: 2[ 0, 1, 2, 4, 8, 1]",2,0,Brainfuck,153,"```brainfuck
++++++++++[>+++++++<-]>[<++++++>-]<[>+>+<<-]>[<+>-]++++++++[>++++++++<-]>.<++++[>----<-]>.<+++[>+++<-]>.
```",121,0.2,0,0,0,0,0
"Complexity: 2[ 1, 2, 4, 7, 11, 16, 22, 2]",2,0,Brainfuck,162,"```brainfuck
++++++++++[>+++++++<-]>[<++++++>-]<[>>+>+<<<-]>>>[<<<+>>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<[>+>+<<-]>>[<<+>>-]<[<+>-]<.>.>.>.>.>.>.>.
```",612,0.2,0,0,0,0,0
"Complexity: 2[ 1, 1, 1, 2, 3, 4, 6, ]",2,0,Brainfuck,158,"```brainfuck
++++++++++[>+++++++<-]>+++.-.+.>++++++++++[>++++++++++<-]>+.-.>++++++++++[>++++++++++<-]>++.+.>++++++++++[>++++++++++<-]>++++.+.>++++++++++[>++++++++++<-]>+++++++.+.
```",182,0.2,0,0,0,0,0
"Complexity: 2[ 30, 42, 66, 70, 78, 10]",2,0,Brainfuck,159,"```brainfuck
++++++++++[>+++++++<-]>++++.>+++++++++++.>+++++++++++++++.>++++++++++++++.>+++++++++++++++.>++++++++++++++++++++.
```",130,0.2,0,0,0,0,0
