complexity,length_type,language,q_length,a_length,temperature,real_code,print_code,no_code,explanation,no_sense
1,0,Python,60,34,0.1,0,1,0,0,0
1,0,Python,65,118,0.1,0,0,1,0,0
1,0,Python,61,118,0.1,0,0,1,0,0
1,0,Python,45,25,0.1,0,1,0,0,0
1,0,Python,51,71,0.1,0,1,0,0,0
2,0,Python,61,69,0.1,0,0,1,0,0
2,0,Python,57,78,0.1,0,0,1,0,0
2,0,Python,54,188,0.1,0,0,1,0,0
2,0,Python,55,1826,0.1,0,0,1,0,0
2,0,Python,64,119,0.1,0,0,1,0,0
2,0,Python,60,1223,0.1,0,0,1,0,0
2,0,Python,61,98,0.1,0,0,1,0,0
2,0,Python,60,121,0.1,0,0,1,0,0
2,0,Python,73,84,0.1,1,0,0,0,0
2,0,Python,73,186,0.1,1,0,0,0,0
3,0,Python,63,91,0.1,0,0,1,0,0
3,0,Python,70,62,0.1,0,0,1,0,0
3,0,Python,69,655,0.1,0,1,0,0,0
3,0,Python,69,115,0.1,0,0,1,0,0
3,0,Python,69,1437,0.1,0,0,0,1,0
3,0,Python,91,73,0.1,0,0,1,0,0
3,0,Python,83,199,0.1,0,0,1,0,0
3,0,Python,74,83,0.1,0,0,1,0,0
3,0,Python,75,33,0.1,0,0,1,0,0
3,0,Python,71,75,0.1,0,0,1,0,0
random,0,Python,78,94,0.1,0,0,1,0,0
random,0,Python,80,203,0.1,0,1,0,0,0
random,0,Python,91,72,0.1,0,0,1,0,0
1,0,Python,63,114,0.2,0,1,0,0,0
1,0,Python,59,35,0.2,0,0,1,0,0
1,0,Python,59,130,0.2,1,0,0,0,0
1,0,Python,61,128,0.2,0,0,1,0,0
1,0,Python,68,74,0.2,0,0,1,0,0
1,0,Python,60,53,0.2,0,1,0,0,0
1,0,Python,65,82,0.2,0,0,1,0,0
1,0,Python,61,66,0.2,0,0,1,0,0
1,0,Python,45,1172,0.2,0,1,0,0,0
1,0,Python,51,12,0.2,0,0,0,0,1
2,0,Python,61,54,0.2,0,0,1,0,0
2,0,Python,57,92,0.2,0,0,1,0,0
2,0,Python,54,11,0.2,0,0,0,0,1
2,0,Python,55,89,0.2,0,1,0,0,0
2,0,Python,64,1455,0.2,0,0,1,0,0
2,0,Python,60,124,0.2,0,0,1,0,0
2,0,Python,61,103,0.2,0,0,1,0,0
2,0,Python,60,123,0.2,0,0,1,0,0
2,0,Python,73,86,0.2,1,0,0,0,0
2,0,Python,73,78,0.2,0,0,1,0,0
3,0,Python,63,134,0.2,0,0,1,0,0
3,0,Python,70,268,0.2,0,1,0,0,0
3,0,Python,69,83,0.2,0,0,1,0,0
3,0,Python,69,144,0.2,1,0,0,0,0
3,0,Python,69,48,0.2,0,0,1,0,0
3,0,Python,91,145,0.2,0,0,1,0,0
3,0,Python,83,177,0.2,0,0,1,0,0
3,0,Python,74,168,0.2,1,0,0,0,0
3,0,Python,75,33,0.2,0,0,1,0,0
3,0,Python,71,132,0.2,0,0,1,0,0
random,0,Python,78,86,0.2,0,0,1,0,0
random,0,Python,80,146,0.2,0,1,0,0,0
random,0,Python,91,170,0.2,1,0,0,0,0
1,0,Python,63,145,0.3,0,0,1,0,0
1,0,Python,59,50,0.3,1,0,0,0,0
1,0,Python,59,33,0.3,1,0,0,0,0
1,0,Python,61,55,0.3,0,1,0,0,0
1,0,Python,68,90,0.3,0,1,0,0,0
1,0,Python,60,28,0.3,1,0,0,0,0
1,0,Python,65,162,0.3,1,0,0,0,0
1,0,Python,61,143,0.3,0,0,1,0,0
1,0,Python,45,97,0.3,1,0,0,0,0
1,0,Python,51,44,0.3,0,1,0,0,0
2,0,Python,61,133,0.3,0,0,1,0,0
2,0,Python,57,858,0.3,0,0,1,0,0
2,0,Python,54,11,0.3,0,0,0,0,1
2,0,Python,55,130,0.3,1,0,0,0,0
2,0,Python,64,341,0.3,0,0,1,0,0
2,0,Python,60,98,0.3,0,0,1,0,0
2,0,Python,61,103,0.3,0,0,1,0,0
2,0,Python,60,119,0.3,0,0,1,0,0
2,0,Python,73,83,0.3,1,0,0,0,0
2,0,Python,73,220,0.3,1,0,0,0,0
3,0,Python,63,113,0.3,0,1,0,0,0
3,0,Python,70,112,0.3,0,1,0,0,0
3,0,Python,69,63,0.3,0,0,0,0,1
3,0,Python,69,118,0.3,1,0,0,0,0
3,0,Python,69,226,0.3,1,0,0,0,0
3,0,Python,91,13,0.3,0,0,0,0,1
3,0,Python,83,222,0.3,1,0,0,0,0
3,0,Python,74,262,0.3,1,0,0,0,0
3,0,Python,75,73,0.3,0,0,1,0,0
3,0,Python,71,299,0.3,0,0,1,0,0
random,0,Python,78,125,0.3,1,0,0,0,0
random,0,Python,80,186,0.3,1,0,0,0,0
random,0,Python,91,236,0.3,1,0,0,0,0
1,0,Python,63,17,0.4,1,0,0,0,0
1,0,Python,59,61,0.4,1,0,0,0,0
1,0,Python,59,49,0.4,1,0,0,0,0
1,0,Python,61,184,0.4,0,0,1,0,0
1,0,Python,68,46,0.4,0,0,1,0,0
1,0,Python,60,67,0.4,0,1,0,0,0
1,0,Python,65,17,0.4,0,0,0,0,1
1,0,Python,61,21,0.4,0,0,0,0,1
1,0,Python,45,25,0.4,0,1,0,0,0
1,0,Python,51,42,0.4,1,0,0,0,0
2,0,Python,61,31,0.4,0,0,1,0,0
2,0,Python,57,1191,0.4,1,0,0,0,0
2,0,Python,54,22,0.4,0,0,0,0,1
2,0,Python,55,53,0.4,0,1,0,0,0
2,0,Python,64,55,0.4,0,0,0,0,1
2,0,Python,60,206,0.4,0,0,1,0,0
2,0,Python,61,304,0.4,1,0,0,0,0
2,0,Python,60,12,0.4,1,0,0,0,0
2,0,Python,73,300,0.4,0,0,0,1,0
2,0,Python,73,89,0.4,0,0,1,0,0
3,0,Python,63,316,0.4,1,0,0,0,0
3,0,Python,70,70,0.4,0,0,1,0,0
3,0,Python,69,928,0.4,1,0,0,0,0
3,0,Python,69,23,0.4,0,0,0,0,1
3,0,Python,69,247,0.4,1,0,0,0,0
3,0,Python,91,133,0.4,0,0,1,0,0
3,0,Python,83,103,0.4,1,0,0,0,0
3,0,Python,74,122,0.4,0,0,1,0,0
3,0,Python,75,65,0.4,0,0,1,0,0
3,0,Python,71,124,0.4,0,0,1,0,0
random,0,Python,78,7,0.4,0,0,0,0,1
random,0,Python,80,122,0.4,0,0,1,0,0
random,0,Python,91,168,0.4,0,0,1,0,0
1,0,Python,63,46,0.5,0,1,0,0,0
1,0,Python,59,27,0.5,1,0,0,0,0
1,0,Python,59,44,0.5,0,1,0,0,0
1,0,Python,61,77,0.5,1,0,0,0,0
1,0,Python,68,92,0.5,1,0,0,0,0
1,0,Python,60,1746,0.5,1,0,0,0,0
1,0,Python,65,107,0.5,1,0,0,0,0
1,0,Python,61,79,0.5,1,0,0,0,0
1,0,Python,45,45,0.5,0,1,0,0,0
1,0,Python,51,71,0.5,0,1,0,0,0
2,0,Python,61,58,0.5,0,0,1,0,0
2,0,Python,57,19,0.5,0,0,0,0,1
2,0,Python,54,13,0.5,0,0,0,0,1
2,0,Python,55,81,0.5,1,0,0,0,0
2,0,Python,64,250,0.5,1,0,0,0,0
2,0,Python,60,107,0.5,0,1,0,0,0
2,0,Python,61,39,0.5,0,0,1,0,0
2,0,Python,60,12,0.5,1,0,0,0,0
2,0,Python,73,62,0.5,1,0,0,0,0
2,0,Python,73,201,0.5,1,0,0,0,0
3,0,Python,63,60,0.5,0,0,0,1,0
3,0,Python,70,176,0.5,1,0,0,0,0
3,0,Python,69,121,0.5,0,1,0,0,0
3,0,Python,69,167,0.5,1,0,0,0,0
3,0,Python,69,99,0.5,1,0,0,0,0
3,0,Python,91,10,0.5,0,0,0,0,1
3,0,Python,83,52,0.5,0,0,0,0,1
3,0,Python,74,800,0.5,0,0,0,0,1
3,0,Python,75,93,0.5,0,0,1,0,0
3,0,Python,71,319,0.5,1,0,0,0,0
random,0,Python,78,343,0.5,1,0,0,0,0
random,0,Python,80,62,0.5,0,0,1,0,0
random,0,Python,91,82,0.5,0,0,1,0,0
1,0,Python,63,112,0.6,1,0,0,0,0
1,0,Python,59,56,0.6,1,0,0,0,0
1,0,Python,59,401,0.6,1,0,0,0,0
1,0,Python,61,118,0.6,1,0,0,0,0
1,0,Python,68,58,0.6,0,0,1,0,0
1,0,Python,60,1549,0.6,0,0,0,1,0
1,0,Python,65,50,0.6,0,0,1,0,0
1,0,Python,61,36,0.6,0,1,0,0,0
1,0,Python,45,116,0.6,0,0,1,0,0
1,0,Python,51,1612,0.6,0,0,0,1,0
2,0,Python,61,94,0.6,0,0,1,0,0
2,0,Python,57,29,0.6,1,0,0,0,0
2,0,Python,54,119,0.6,1,0,0,0,0
2,0,Python,55,111,0.6,0,0,1,0,0
2,0,Python,64,249,0.6,1,0,0,0,0
2,0,Python,60,59,0.6,0,0,1,0,0
2,0,Python,61,90,0.6,1,0,0,0,0
2,0,Python,60,98,0.6,0,0,1,0,0
2,0,Python,73,918,0.6,0,0,0,1,0
2,0,Python,73,315,0.6,0,0,1,0,0
3,0,Python,63,1174,0.6,1,0,0,0,0
3,0,Python,70,71,0.6,0,0,1,0,0
3,0,Python,69,134,0.6,1,0,0,0,0
3,0,Python,69,306,0.6,1,0,0,0,0
3,0,Python,69,1416,0.6,0,0,0,0,1
3,0,Python,91,30,0.6,0,0,0,0,1
3,0,Python,83,13,0.6,0,0,0,0,1
3,0,Python,74,130,0.6,1,0,0,0,0
3,0,Python,75,69,0.6,0,0,1,0,0
3,0,Python,71,1151,0.6,0,0,0,1,0
random,0,Python,78,1331,0.6,1,0,0,0,0
random,0,Python,80,134,0.6,1,0,0,0,0
random,0,Python,91,380,0.6,0,0,0,1,0
1,0,Python,63,23,0.7,0,0,0,0,1
1,0,Python,59,73,0.7,0,0,0,0,1
1,0,Python,59,293,0.7,0,1,0,0,0
1,0,Python,61,1547,0.7,1,0,0,0,0
1,0,Python,68,1087,0.7,0,0,0,0,1
1,0,Python,60,40,0.7,0,0,0,0,1
1,0,Python,65,1191,0.7,0,0,0,0,1
1,0,Python,61,157,0.7,1,0,0,0,0
1,0,Python,45,92,0.7,1,0,0,0,0
1,0,Python,51,175,0.7,1,0,0,0,0
2,0,Python,61,108,0.7,1,0,0,0,0
2,0,Python,57,215,0.7,1,0,0,0,0
2,0,Python,54,307,0.7,0,0,0,1,0
2,0,Python,55,1221,0.7,1,0,0,0,0
2,0,Python,64,142,0.7,0,0,1,0,0
2,0,Python,60,128,0.7,0,0,1,0,0
2,0,Python,61,122,0.7,0,0,1,0,0
2,0,Python,60,19,0.7,1,0,0,0,0
2,0,Python,73,127,0.7,1,0,0,0,0
2,0,Python,73,80,0.7,0,0,1,0,0
3,0,Python,63,61,0.7,0,0,1,0,0
3,0,Python,70,168,0.7,0,0,1,0,0
3,0,Python,69,16,0.7,0,0,0,0,1
3,0,Python,69,8,0.7,0,0,0,0,1
3,0,Python,69,104,0.7,0,1,0,0,0
3,0,Python,91,74,0.7,0,0,1,0,0
3,0,Python,83,81,0.7,0,1,0,0,0
3,0,Python,74,255,0.7,1,0,0,0,0
3,0,Python,75,181,0.7,0,0,1,0,0
3,0,Python,71,72,0.7,1,0,0,0,0
random,0,Python,78,305,0.7,1,0,0,0,0
random,0,Python,80,73,0.7,0,1,0,0,0
random,0,Python,91,34,0.7,0,0,0,0,1
