case,Measure,complexity,grok-3,deepseek,qwen,gemini,claude-3-5-sonnet,chatgpt-4o,mistral,meta,o1_mini,cursor_small,chatgpt-o1,grok,gemini-thinking,chatgpt-4.5,gpt-4o-mini,gemini-2.5-pro,claude-3.7,deepseek_r1_0525,llama_4_scout,qwen3,chatgpt_5,opus_4,mistral_large2405,claude_sonnet_4,grok_4.1,gpt-5.2,claude-4.5,mistral-large-3,gemini-3-pro,chatgpt_4.5,claude_3.5,gpt_4o,o1_preview,grok_3,claude_3.7,gpt_4o_mini,grok4,gemini_2.5_pro,deepseek_r1_0528
multiple formulae,Not found,2,0.0,0.0,0.0,37.0,0.0,0.0,2.0,10.0,36.0,52.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,19.0,60.0,3.0,39.0,174.0,6.0,38.0,43.0,6.0,3.0,62.0,58.0,28.0,52.0,12.0,4.0,6.0,20.0,38.0,57.0
multiple formulae,Not found,3,0.0,60.0,30.0,90.0,0.0,0.0,60.0,60.0,60.0,90.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,8.0,20.0,59.0,8.0,37.0,181.0,30.0,58.0,90.0,30.0,30.0,90.0,90.0,90.0,90.0,60.0,8.0,6.0,14.0,35.0,62.0
multiple formulae,Print,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple formulae,Print,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
multiple formulae,Print,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple formulae,Pure math,1,0.0,60.0,30.0,60.0,0.0,0.0,60.0,60.0,60.0,36.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,79.0,83.0,94.0,85.0,52.0,97.0,30.0,31.0,71.0,30.0,30.0,90.0,68.0,60.0,60.0,60.0,83.0,87.0,83.0,55.0,98.0
multiple formulae,Pure math,2,0.0,43.0,20.0,38.0,0.0,0.0,58.0,39.0,18.0,29.0,0.0,39.0,16.0,0.0,0.0,0.0,0.0,0.0,76.0,65.0,84.0,80.0,43.0,90.0,14.0,18.0,34.0,13.0,19.0,15.0,27.0,50.0,36.0,39.0,82.0,79.0,69.0,50.0,87.0
multiple formulae,Pure math,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,70.0,91.0,82.0,53.0,89.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,84.0,76.0,55.0,88.0
multiple formulae,Valid Instances,1,0.0,60.0,30.0,60.0,0.0,0.0,60.0,60.0,60.0,36.0,0.0,60.0,30.0,0.0,0.0,0.0,0.0,0.0,89.0,83.0,94.0,89.0,57.0,97.0,30.0,31.0,71.0,30.0,30.0,90.0,68.0,60.0,60.0,60.0,89.0,88.0,84.0,56.0,98.0
multiple formulae,Valid Instances,2,0.0,60.0,30.0,53.0,0.0,0.0,58.0,50.0,24.0,37.0,0.0,45.0,22.0,0.0,0.0,0.0,0.0,0.0,88.0,71.0,90.0,87.0,51.0,96.0,24.0,22.0,47.0,24.0,27.0,28.0,32.0,62.0,38.0,45.0,86.0,84.0,70.0,52.0,93.0
multiple formulae,Valid Instances,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,70.0,91.0,82.0,53.0,89.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,84.0,76.0,55.0,88.0
multiple script,Accuracy,1,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,53.333333333333336,53.333333333333336,36.666666666666664,36.666666666666664,20.0,0.0,20.0,20.0,20.0,20.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Accuracy,2,20.0,100.0,0.0,56.666666666666664,83.33333333333333,86.66666666666667,53.333333333333336,0.0,70.0,70.0,36.666666666666664,0.0,100.0,0.0,20.0,20.0,30.0,16.666666666666668,3.3333333333333335,16.666666666666668,20.0,3.3333333333333335,3.3333333333333335,20.0,33.333333333333336,36.666666666666664,70.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Accuracy,3,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Equivalence,1,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,53.333333333333336,53.333333333333336,36.666666666666664,36.666666666666664,20.0,0.0,20.0,20.0,10.0,20.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Equivalence,2,20.0,96.66666666666667,0.0,60.0,83.33333333333333,83.33333333333333,0.0,0.0,66.66666666666667,86.66666666666667,40.0,0.0,86.66666666666667,0.0,23.333333333333332,23.333333333333332,43.333333333333336,30.0,16.666666666666668,16.666666666666668,30.0,16.666666666666668,0.0,30.0,60.0,56.666666666666664,73.33333333333333,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Equivalence,3,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,6.666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Known sequence,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,24.0,24.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Known sequence,2,0.0,1.0,2.0,14.0,5.0,5.0,2.0,6.0,7.0,5.0,6.0,6.0,5.0,1.0,4.0,12.0,12.0,9.0,4.0,4.0,6.0,9.0,5.0,9.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Known sequence,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Not found,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Not found,2,15.0,7.0,10.0,0.0,8.0,8.0,0.0,1.0,4.0,9.0,0.0,12.0,0.0,21.0,17.0,16.0,16.0,16.0,21.0,21.0,0.0,0.0,21.0,0.0,3.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Not found,3,30.0,30.0,30.0,0.0,30.0,30.0,30.0,16.0,0.0,30.0,0.0,30.0,0.0,30.0,30.0,30.0,30.0,30.0,30.0,0.0,30.0,30.0,30.0,16.0,30.0,28.0,30.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Print,1,11.0,0.0,0.0,11.0,60.0,30.0,30.0,0.0,50.0,30.0,30.0,0.0,41.0,0.0,32.0,16.0,36.0,0.0,33.0,0.0,33.0,32.0,30.0,38.0,0.0,10.0,30.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Print,2,15.0,0.0,0.0,18.0,36.0,36.0,19.0,0.0,28.0,38.0,13.0,0.0,44.0,0.0,19.0,15.0,21.0,0.0,4.0,0.0,29.0,26.0,4.0,33.0,0.0,17.0,29.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Print,3,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,30.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Pure math,1,30.0,60.0,41.0,30.0,30.0,30.0,30.0,60.0,30.0,30.0,30.0,60.0,30.0,71.0,156.0,172.0,22.0,47.0,6.0,39.0,12.0,12.0,9.0,12.0,40.0,30.0,60.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Pure math,2,0.0,52.0,43.0,9.0,11.0,11.0,39.0,53.0,8.0,8.0,19.0,42.0,12.0,8.0,173.0,175.0,169.0,179.0,211.0,219.0,29.0,26.0,214.0,31.0,30.0,4.0,5.0,5.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Pure math,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,30.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Valid Instances,1,30.0,60.0,41.0,30.0,30.0,30.0,30.0,60.0,30.0,30.0,30.0,60.0,30.0,71.0,156.0,172.0,41.0,47.0,6.0,39.0,36.0,36.0,9.0,36.0,40.0,30.0,60.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Valid Instances,2,0.0,53.0,45.0,23.0,16.0,16.0,41.0,59.0,15.0,13.0,25.0,48.0,17.0,9.0,177.0,187.0,181.0,188.0,215.0,223.0,35.0,35.0,219.0,40.0,31.0,5.0,6.0,6.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Valid Instances,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,30.0,0.0,0.0,300.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
