,sequence,Complexity,gemini,eval-gemini_1,eval-gemini_2,eval-gemini_3,claude-3-5-sonnet,eval-claude-3-5-sonnet_1,eval-claude-3-5-sonnet_2,eval-claude-3-5-sonnet_3,chatgpt-4o,eval-chatgpt-4o_1,eval-chatgpt-4o_2,eval-chatgpt-4o_3,mistral,eval-mistral_1,eval-mistral_2,meta,eval-meta_1,eval-meta_2,o1_mini,eval-o1_mini_1,eval-o1_mini_2,cursor_small,eval-cursor_small_1,eval-cursor_small_2,eval-cursor_small_3,chatgpt-o1,eval-chatgpt-o1_1,eval-chatgpt-o1_2,grok,grok_1,grok_2,eval-grok_1,eval-grok_2,gemini-thinking,gemini-thinking_1,eval-gemini-thinking_1
10,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20",1,"[2*n, 2 + 2*(n-1)]","2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24"," 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24",,"[2n, n+n, 2+2(n-1)]","2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24"," 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24"," 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24","[[2*n, n+n]]","2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24"," 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24",,"[2*n, 2*(n+1)]","2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24"," 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26","[lambda n: 2n], [lambda n: n2]","2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24"," 1, 4, 9, 16, 25, 36, 49, 64, 81, 100, 121, 144","[ a_n = 2n, a_n = 2 + 2(n-1) ]","2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24"," 2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24",[2n],"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24",,,"[""print([2*i for i in range(1,11)])"",""print(list(range(2,21,2)))""]","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","[""[i for i in range(2, 21, 2)]"", ""n = 2; [n + 2*i for i in range(10)]""]","[i for i in range(2, 21, 2)]",n = 2; [n + 2*i for i in range(10)],"2, 4, 6, 8, 10, 12, 14, 16, 18, 20","2, 4, 6, 8, 10, 12, 14, 16, 18, 20","[""a_n = 2n, for n >= 1""]","a_n = 2n, for n >= 1","2, 4, 6, 8, 10, 12, 14, 16, 18, 20"
11,"11, 12, 13, 14, 15, 16, 17, 18, 19, 20",1,"[10+n, 11 + (n-1)] ","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22"," 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22",,"[10+n, n+10]","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22"," 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22",,"[[n+10, 11+(n-1)]]","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22"," 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22",,"[n+10, n+11]","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22"," 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23","[lambda n: n + 10], [lambda n: 10 + n]","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22"," 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22","[ a_n = 10 + n, a_n = 11 + (n-1) ]","11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22"," 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22",[n + 10],"11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22",,,"[""print(list(range(11,21)))"",""print([11+i for i in range(10)])""]","11, 12, 13, 14, 15, 16, 17, 18, 19, 20","11, 12, 13, 14, 15, 16, 17, 18, 19, 20","[""[i for i in range(11, 21)]"", ""n = 11; [n + i for i in range(10)]""]","[i for i in range(11, 21)]",n = 11; [n + i for i in range(10)],"11, 12, 13, 14, 15, 16, 17, 18, 19, 20","11, 12, 13, 14, 15, 16, 17, 18, 19, 20","[""a_n = n + 10, for n >= 1""]","a_n = n + 10, for n >= 1","11, 12, 13, 14, 15, 16, 17, 18, 19, 20"
12,"21, 22, 23, 24, 25, 26, 27, 28, 29, 30",1,"[20+n, 21 + (n-1)] ","21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32"," 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",,"[20+n, n+20]","21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32"," 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",,"[[20+n, 21+(n-1)]]","21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32"," 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",,"[n+20, n+21]","21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32"," 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33","[lambda n: n + 20], [lambda n: 20 + n]","21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32"," 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32","[ a_n = 20 + n, a_n = 21 + (n-1) ]","21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32"," 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",[n + 20],"21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32",,,"[""print(list(range(21,31)))"",""print([21+i for i in range(10)])""]","21, 22, 23, 24, 25, 26, 27, 28, 29, 30","21, 22, 23, 24, 25, 26, 27, 28, 29, 30","[""[i for i in range(21, 31)]"", ""n = 21; [n + i for i in range(10)]""]","[i for i in range(21, 31)]",n = 21; [n + i for i in range(10)],"21, 22, 23, 24, 25, 26, 27, 28, 29, 30","21, 22, 23, 24, 25, 26, 27, 28, 29, 30","[""a_n = n + 20, for n >= 1""]","a_n = n + 20, for n >= 1","21, 22, 23, 24, 25, 26, 27, 28, 29, 30"
13,"31, 32, 33, 34, 35, 36, 37, 38, 39, 40",1,"[30+n, 31 + (n-1)] ","31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42"," 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42",,"[30+n, n+30]","31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42"," 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42",,"[[30+n, 31+(n-1)]]","31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42"," 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42",,"[n+30, n+31]","31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42"," 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43","[lambda n: n + 30], [lambda n: 30 + n]","31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42"," 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42","[ a_n = 30 + n, a_n = 31 + (n-1) ]","31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42"," 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42",[n + 30],"31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42",,,"[""print(list(range(31,41)))"",""print([i for i in range(31,41)])""]","31, 32, 33, 34, 35, 36, 37, 38, 39, 40","31, 32, 33, 34, 35, 36, 37, 38, 39, 40","[""[i for i in range(31, 41)]"", ""n = 31; [n + i for i in range(10)]""]","[i for i in range(31, 41)]",n = 31; [n + i for i in range(10)],"31, 32, 33, 34, 35, 36, 37, 38, 39, 40","31, 32, 33, 34, 35, 36, 37, 38, 39, 40","[""a_n = n + 30, for n >= 1""]","a_n = n + 30, for n >= 1","31, 32, 33, 34, 35, 36, 37, 38, 39, 40"
14,"41, 42, 43, 44, 45, 46, 47, 48, 49, 50",1,"[40+n, 41 + (n-1)] ","41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"," 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52",,"[40+n, n+40]","41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"," 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52",,"[[40+n, 41+(n-1)]]","41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"," 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52",,"[n+40, n+41]","41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"," 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52, 53","[lambda n: n + 40], [lambda n: 40 + n]","41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"," 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52","[ a_n = 40 + n, a_n = 41 + (n-1) ]","41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52"," 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52",[n + 40],"41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51, 52",,,"[""print(list(range(41,51)))"",""print([i for i in range(41,51)])""]","41, 42, 43, 44, 45, 46, 47, 48, 49, 50","41, 42, 43, 44, 45, 46, 47, 48, 49, 50","[""[i for i in range(41, 51)]"", ""n = 41; [n + i for i in range(10)]""]","[i for i in range(41, 51)]",n = 41; [n + i for i in range(10)],"41, 42, 43, 44, 45, 46, 47, 48, 49, 50","41, 42, 43, 44, 45, 46, 47, 48, 49, 50","[""a_n = n + 40, for n >= 1""]","a_n = n + 40, for n >= 1","41, 42, 43, 44, 45, 46, 47, 48, 49, 50"
15,"51, 52, 53, 54, 55, 56, 57, 58, 59, 60",1,"[50+n, 51 + (n-1)] ","51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62"," 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62",,"[50+n, n+50]","51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62"," 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62",,"[[50+n, 51+(n-1)]]","51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62"," 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62",,"[n+50, n+51]","51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62"," 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62, 63","[lambda n: n + 50], [lambda n: 50 + n]","51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62"," 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62","[ a_n = 50 + n, a_n = 51 + (n-1) ]","51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62"," 51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62",[n + 50],"51, 52, 53, 54, 55, 56, 57, 58, 59, 60, 61, 62",,,"[""print(list(range(51,61)))"",""print([i for i in range(51,61)])""]","51, 52, 53, 54, 55, 56, 57, 58, 59, 60","51, 52, 53, 54, 55, 56, 57, 58, 59, 60","[""[i for i in range(51, 61)]"", ""n = 51; [n + i for i in range(10)]""]","[i for i in range(51, 61)]",n = 51; [n + i for i in range(10)],"51, 52, 53, 54, 55, 56, 57, 58, 59, 60","51, 52, 53, 54, 55, 56, 57, 58, 59, 60","[""a_n = n + 50, for n >= 1""]","a_n = n + 50, for n >= 1","51, 52, 53, 54, 55, 56, 57, 58, 59, 60"
16,"61, 62, 63, 64, 65, 66, 67, 68, 69, 70",1,"[60+n, 61 + (n-1)] ","61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72"," 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72",,"[60+n, n+60]","61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72"," 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72",,"[[60+n, 61+(n-1)]]","61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72"," 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72",,"[n+60, n+61]","61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72"," 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72, 73","[lambda n: n + 60], [lambda n: 60 + n]","61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72"," 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72","[ a_n = 60 + n, a_n = 61 + (n-1) ]","61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72"," 61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72",[n + 60],"61, 62, 63, 64, 65, 66, 67, 68, 69, 70, 71, 72",,,"[""print(list(range(61,71)))"",""print([i for i in range(61,71)])""]","61, 62, 63, 64, 65, 66, 67, 68, 69, 70","61, 62, 63, 64, 65, 66, 67, 68, 69, 70","[""[i for i in range(61, 71)]"", ""n = 61; [n + i for i in range(10)]""]","[i for i in range(61, 71)]",n = 61; [n + i for i in range(10)],"61, 62, 63, 64, 65, 66, 67, 68, 69, 70","61, 62, 63, 64, 65, 66, 67, 68, 69, 70","[""a_n = n + 60, for n >= 1""]","a_n = n + 60, for n >= 1","61, 62, 63, 64, 65, 66, 67, 68, 69, 70"
17,"71, 72, 73, 74, 75, 76, 77, 78, 79, 80",1,"[70+n, 71 + (n-1)] ","71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82"," 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82",,"[70+n, n+70]","71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82"," 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82",,"[[70+n, 71+(n-1)]]","71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82"," 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82",,"[n+70, n+71]","71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82"," 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82, 83","[lambda n: n + 70], [lambda n: 70 + n]","71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82"," 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82","[ a_n = 70 + n, a_n = 71 + (n-1) ]","71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82"," 71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82",[n + 70],"71, 72, 73, 74, 75, 76, 77, 78, 79, 80, 81, 82",,,"[""print(list(range(71,81)))"",""print([i for i in range(71,81)])""]","71, 72, 73, 74, 75, 76, 77, 78, 79, 80","71, 72, 73, 74, 75, 76, 77, 78, 79, 80","[""[i for i in range(71, 81)]"", ""n = 71; [n + i for i in range(10)]""]","[i for i in range(71, 81)]",n = 71; [n + i for i in range(10)],"71, 72, 73, 74, 75, 76, 77, 78, 79, 80","71, 72, 73, 74, 75, 76, 77, 78, 79, 80","[""a_n = n + 70, for n >= 1""]","a_n = n + 70, for n >= 1","71, 72, 73, 74, 75, 76, 77, 78, 79, 80"
18,"81, 82, 83, 84, 85, 86, 87, 88, 89, 90",1,"[80+n, 81 + (n-1)] ","81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92"," 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92",,"[80+n, n+80]","81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92"," 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92",,"[[80+n, 81+(n-1)]]","81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92"," 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92",,"[n+80, n+81]","81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92"," 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92, 93","[lambda n: n + 80], [lambda n: 80 + n]","81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92"," 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92","[ a_n = 80 + n, a_n = 81 + (n-1) ]","81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92"," 81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92",[n + 80],"81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92",,,"[""print(list(range(81,91)))"",""print([i for i in range(81,91)])""]","81, 82, 83, 84, 85, 86, 87, 88, 89, 90","81, 82, 83, 84, 85, 86, 87, 88, 89, 90","[""[i for i in range(81, 91)]"", ""n = 81; [n + i for i in range(10)]""]","[i for i in range(81, 91)]",n = 81; [n + i for i in range(10)],"81, 82, 83, 84, 85, 86, 87, 88, 89, 90","81, 82, 83, 84, 85, 86, 87, 88, 89, 90","[""a_n = n + 80, for n >= 1""]","a_n = n + 80, for n >= 1","81, 82, 83, 84, 85, 86, 87, 88, 89, 90"
19,"91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,"[90+n, 91 + (n-1)] ","91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102"," 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102",,"[90+n, n+90]","91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102"," 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102",,"[[90+n, 91+(n-1)]]","91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102"," 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102",,"[n+90, n+91]","91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102"," 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102, 103","[lambda n: n + 90], [lambda n: 90 + n]","91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102"," 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102","[ a_n = 90 + n, a_n = 91 + (n-1) ]","91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102"," 91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102",[n + 90],"91, 92, 93, 94, 95, 96, 97, 98, 99, 100, 101, 102",,,"[""print(list(range(91,101)))"",""print([i for i in range(91,101)])""]","91, 92, 93, 94, 95, 96, 97, 98, 99, 100","91, 92, 93, 94, 95, 96, 97, 98, 99, 100","[""[i for i in range(91, 101)]"", ""n = 91; [n + i for i in range(10)]""]","[i for i in range(91, 101)]",n = 91; [n + i for i in range(10)],"91, 92, 93, 94, 95, 96, 97, 98, 99, 100","91, 92, 93, 94, 95, 96, 97, 98, 99, 100","[""a_n = n + 90, for n >= 1""]","a_n = n + 90, for n >= 1","91, 92, 93, 94, 95, 96, 97, 98, 99, 100"
20,"101, 102, 103, 104, 105, 106, 107, 108, 109, 110",1,"[100+n, 101 + (n-1)] ","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112"," 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112",,"[100+n, n+100]","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112"," 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112",,"[[100+n, 101+(n-1)]]","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112"," 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112",,"[n+100, n+101]","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112"," 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112, 113","[lambda n: 100 + n], [lambda n: n + 100]","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112"," 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112","[ a_n = 100 + n, a_n = 101 + (n-1) ]","101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112"," 101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112",[n + 100],"101, 102, 103, 104, 105, 106, 107, 108, 109, 110, 111, 112",,,"[""print(list(range(101,111)))"",""print([i for i in range(101,111)])""]","101, 102, 103, 104, 105, 106, 107, 108, 109, 110","101, 102, 103, 104, 105, 106, 107, 108, 109, 110","[""[i for i in range(101, 111)]"", ""n = 101; [n + i for i in range(10)]""]","[i for i in range(101, 111)]",n = 101; [n + i for i in range(10)],"101, 102, 103, 104, 105, 106, 107, 108, 109, 110","101, 102, 103, 104, 105, 106, 107, 108, 109, 110","[""a_n = n + 100, for n >= 1""]","a_n = n + 100, for n >= 1","101, 102, 103, 104, 105, 106, 107, 108, 109, 110"
21,"111, 112, 113, 114, 115, 116, 117, 118, 119, 120",1,"[110+n, 111 + (n-1)] ","111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122"," 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122",,"[110+n, n+110]","111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122"," 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122",,"[[110+n, 111+(n-1)]]","111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122"," 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122",,"[n+110, n+111]","111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122"," 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123","[lambda n: 110 + n], [lambda n: n + 110]","111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122"," 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122","[ a_n = 110 + n, a_n = 111 + (n-1) ]","111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122"," 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122",[n + 110],"111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122",,,"[""print(list(range(111,121)))"",""print([i for i in range(111,121)])""]","111, 112, 113, 114, 115, 116, 117, 118, 119, 120","111, 112, 113, 114, 115, 116, 117, 118, 119, 120","[""[i for i in range(111, 121)]"", ""n = 111; [n + i for i in range(10)]""]","[i for i in range(111, 121)]",n = 111; [n + i for i in range(10)],"111, 112, 113, 114, 115, 116, 117, 118, 119, 120","111, 112, 113, 114, 115, 116, 117, 118, 119, 120","[""a_n = n + 110, for n >= 1""]","a_n = n + 110, for n >= 1","111, 112, 113, 114, 115, 116, 117, 118, 119, 120"
22,"121, 122, 123, 124, 125, 126, 127, 128, 129, 130",1,"[120+n, 121 + (n-1)] ","121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132"," 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132",,"[120+n, n+120]","121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132"," 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132",,"[[120+n, 121+(n-1)]]","121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132"," 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132",,"[n+120, n+121]","121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132"," 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133","[lambda n: 120 + n], [lambda n: n + 120]","121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132"," 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132","[ a_n = 120 + n, a_n = 121 + (n-1) ]","121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132"," 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132",[n + 120],"121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132",,,"[""print(list(range(121,131)))"",""print([i for i in range(121,131)])""]","121, 122, 123, 124, 125, 126, 127, 128, 129, 130","121, 122, 123, 124, 125, 126, 127, 128, 129, 130","[""[i for i in range(121, 131)]"", ""n = 121; [n + i for i in range(10)]""]","[i for i in range(121, 131)]",n = 121; [n + i for i in range(10)],"121, 122, 123, 124, 125, 126, 127, 128, 129, 130","121, 122, 123, 124, 125, 126, 127, 128, 129, 130","[""a_n = n + 120, for n >= 1""]","a_n = n + 120, for n >= 1","121, 122, 123, 124, 125, 126, 127, 128, 129, 130"
23,"131, 132, 133, 134, 135, 136, 137, 138, 139, 140",1,"[130+n, 131 + (n-1)] ","131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142"," 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142",,"[130+n, n+130]","131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142"," 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142",,"[[130+n, 131+(n-1)]]","131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142"," 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142",,"[n+130, n+131]","131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142"," 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143","[lambda n: 130 + n], [lambda n: n + 130]","131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142"," 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142","[ a_n = 130 + n, a_n = 131 + (n-1) ]","131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142"," 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142",[n + 130],"131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142",,,"[""print(list(range(131,141)))"",""print([i for i in range(131,141)])""]","131, 132, 133, 134, 135, 136, 137, 138, 139, 140","131, 132, 133, 134, 135, 136, 137, 138, 139, 140","[""[i for i in range(131, 141)]"", ""n = 131; [n + i for i in range(10)]""]","[i for i in range(131, 141)]",n = 131; [n + i for i in range(10)],"131, 132, 133, 134, 135, 136, 137, 138, 139, 140","131, 132, 133, 134, 135, 136, 137, 138, 139, 140","[""a_n = n + 130, for n >= 1""]","a_n = n + 130, for n >= 1","131, 132, 133, 134, 135, 136, 137, 138, 139, 140"
