sort_simi_percen_10,gral_simi_percen_10,levenshtein_10,forecasted_10,root_10,to_predict_10,sort_simi_percen_25,gral_simi_percen_25,levenshtein_25,forecasted_25,root_25,to_predict_25,sort_simi_percen_50,gral_simi_percen_50,levenshtein_50,forecasted_50,root_50,to_predict_50,sort_simi_percen_75,gral_simi_percen_75,levenshtein_75,forecasted_75,root_75,to_predict_75,complexity,forecasting_method_name,seq_type
0.0,0.0,2,[51],"[51, 52, 53, 54, 55, 56, 57, 58, 59]",[60],0.0,0.0,3,"[51, 51]","[51, 52, 53, 54, 55, 56, 57, 58]","[59, 60]",0.0,0.0,15,"[209, 169, 196, 247, 319]","[51, 52, 53, 54, 55]","[56, 57, 58, 59, 60]",0.0,0.0,18,"[209, 169, 196, 247, 319, 306, 230]","[51, 52, 53]","[54, 55, 56, 57, 58, 59, 60]",1,timeGPT-1,original
0.0,0.0,2,[61],"[61, 62, 63, 64, 65, 66, 67, 68, 69]",[70],0.0,0.0,3,"[61, 61]","[61, 62, 63, 64, 65, 66, 67, 68]","[69, 70]",0.0,0.0,14,"[217, 177, 204, 255, 327]","[61, 62, 63, 64, 65]","[66, 67, 68, 69, 70]",0.0,0.0,21,"[217, 177, 204, 255, 327, 314, 238]","[61, 62, 63]","[64, 65, 66, 67, 68, 69, 70]",1,timeGPT-1,original
0.0,0.0,2,[71],"[71, 72, 73, 74, 75, 76, 77, 78, 79]",[80],0.0,0.0,3,"[71, 71]","[71, 72, 73, 74, 75, 76, 77, 78]","[79, 80]",0.0,0.0,15,"[225, 185, 212, 263, 335]","[71, 72, 73, 74, 75]","[76, 77, 78, 79, 80]",0.0,0.0,20,"[225, 185, 212, 263, 335, 322, 246]","[71, 72, 73]","[74, 75, 76, 77, 78, 79, 80]",1,timeGPT-1,original
0.0,0.0,2,[81],"[81, 82, 83, 84, 85, 86, 87, 88, 89]",[90],0.0,0.0,3,"[81, 81]","[81, 82, 83, 84, 85, 86, 87, 88]","[89, 90]",0.0,0.0,15,"[233, 193, 220, 271, 342]","[81, 82, 83, 84, 85]","[86, 87, 88, 89, 90]",0.0,0.0,19,"[233, 193, 220, 271, 342, 329, 254]","[81, 82, 83]","[84, 85, 86, 87, 88, 89, 90]",1,timeGPT-1,original
0.0,0.0,3,[91],"[91, 92, 93, 94, 95, 96, 97, 98, 99]",[100],0.0,0.0,4,"[91, 91]","[91, 92, 93, 94, 95, 96, 97, 98]","[99, 100]",0.0,0.0,12,"[241, 201, 228, 279, 350]","[91, 92, 93, 94, 95]","[96, 97, 98, 99, 100]",0.0,0.0,19,"[241, 201, 228, 279, 350, 337, 262]","[91, 92, 93]","[94, 95, 96, 97, 98, 99, 100]",1,timeGPT-1,original
0.0,0.0,2,[101],"[101, 102, 103, 104, 105, 106, 107, 108, 109]",[110],0.0,0.0,3,"[101, 101]","[101, 102, 103, 104, 105, 106, 107, 108]","[109, 110]",0.0,0.0,14,"[249, 209, 236, 287, 358]","[101, 102, 103, 104, 105]","[106, 107, 108, 109, 110]",0.0,0.0,16,"[249, 209, 236, 287, 358, 345, 270]","[101, 102, 103]","[104, 105, 106, 107, 108, 109, 110]",1,timeGPT-1,original
0.0,0.0,2,[111],"[111, 112, 113, 114, 115, 116, 117, 118, 119]",[120],0.0,0.0,3,"[111, 111]","[111, 112, 113, 114, 115, 116, 117, 118]","[119, 120]",0.0,0.0,13,"[257, 217, 244, 295, 366]","[111, 112, 113, 114, 115]","[116, 117, 118, 119, 120]",0.0,0.0,20,"[257, 217, 244, 295, 366, 353, 277]","[111, 112, 113]","[114, 115, 116, 117, 118, 119, 120]",1,timeGPT-1,original
0.0,0.0,2,[121],"[121, 122, 123, 124, 125, 126, 127, 128, 129]",[130],0.0,0.0,3,"[121, 121]","[121, 122, 123, 124, 125, 126, 127, 128]","[129, 130]",0.0,0.0,13,"[265, 225, 252, 303, 374]","[121, 122, 123, 124, 125]","[126, 127, 128, 129, 130]",0.0,0.0,19,"[265, 225, 252, 303, 374, 361, 285]","[121, 122, 123]","[124, 125, 126, 127, 128, 129, 130]",1,timeGPT-1,original
0.0,0.0,2,[131],"[131, 132, 133, 134, 135, 136, 137, 138, 139]",[140],0.0,0.0,3,"[131, 131]","[131, 132, 133, 134, 135, 136, 137, 138]","[139, 140]",0.0,0.0,14,"[273, 233, 260, 311, 382]","[131, 132, 133, 134, 135]","[136, 137, 138, 139, 140]",0.0,0.0,18,"[273, 233, 260, 311, 382, 369, 293]","[131, 132, 133]","[134, 135, 136, 137, 138, 139, 140]",1,timeGPT-1,original
0.0,0.0,2,[141],"[141, 142, 143, 144, 145, 146, 147, 148, 149]",[150],0.0,0.0,3,"[141, 141]","[141, 142, 143, 144, 145, 146, 147, 148]","[149, 150]",0.0,0.0,11,"[281, 241, 268, 319, 390]","[141, 142, 143, 144, 145]","[146, 147, 148, 149, 150]",0.0,0.0,20,"[281, 241, 268, 319, 390, 377, 301]","[141, 142, 143]","[144, 145, 146, 147, 148, 149, 150]",1,timeGPT-1,original
0.0,0.0,2,[151],"[151, 152, 153, 154, 155, 156, 157, 158, 159]",[160],0.0,0.0,3,"[151, 151]","[151, 152, 153, 154, 155, 156, 157, 158]","[159, 160]",0.0,0.0,15,"[289, 249, 277, 327, 398]","[151, 152, 153, 154, 155]","[156, 157, 158, 159, 160]",0.0,0.0,19,"[289, 249, 277, 327, 398, 385, 309]","[151, 152, 153]","[154, 155, 156, 157, 158, 159, 160]",1,timeGPT-1,original
0.0,0.0,2,[161],"[161, 162, 163, 164, 165, 166, 167, 168, 169]",[170],0.0,0.0,3,"[161, 161]","[161, 162, 163, 164, 165, 166, 167, 168]","[169, 170]",0.0,0.0,14,"[297, 257, 285, 335, 406]","[161, 162, 163, 164, 165]","[166, 167, 168, 169, 170]",0.0,0.0,20,"[297, 257, 285, 335, 406, 393, 317]","[161, 162, 163]","[164, 165, 166, 167, 168, 169, 170]",1,timeGPT-1,original
0.0,0.0,2,[171],"[171, 172, 173, 174, 175, 176, 177, 178, 179]",[180],0.0,0.0,3,"[171, 171]","[171, 172, 173, 174, 175, 176, 177, 178]","[179, 180]",0.0,0.0,15,"[305, 265, 293, 343, 414]","[171, 172, 173, 174, 175]","[176, 177, 178, 179, 180]",0.0,0.0,20,"[305, 265, 293, 343, 414, 401, 325]","[171, 172, 173]","[174, 175, 176, 177, 178, 179, 180]",1,timeGPT-1,original
0.0,0.0,2,[181],"[181, 182, 183, 184, 185, 186, 187, 188, 189]",[190],0.0,0.0,3,"[181, 181]","[181, 182, 183, 184, 185, 186, 187, 188]","[189, 190]",0.0,0.0,15,"[313, 273, 301, 351, 422]","[181, 182, 183, 184, 185]","[186, 187, 188, 189, 190]",0.0,0.0,20,"[313, 273, 301, 351, 422, 409, 333]","[181, 182, 183]","[184, 185, 186, 187, 188, 189, 190]",1,timeGPT-1,original
0.0,0.0,3,[191],"[191, 192, 193, 194, 195, 196, 197, 198, 199]",[200],0.0,0.0,4,"[191, 191]","[191, 192, 193, 194, 195, 196, 197, 198]","[199, 200]",0.0,0.0,13,"[321, 281, 309, 359, 430]","[191, 192, 193, 194, 195]","[196, 197, 198, 199, 200]",0.0,0.0,21,"[321, 281, 309, 359, 430, 417, 341]","[191, 192, 193]","[194, 195, 196, 197, 198, 199, 200]",1,timeGPT-1,original
0.0,0.0,2,[5],"[2, 3, 5, 7, 11, 13, 17, 19, 23]",[29],0.0,0.0,3,"[3, 3]","[2, 3, 5, 7, 11, 13, 17, 19]","[23, 29]",0.0,0.0,10,"[170, 130, 157, 208, 280]","[2, 3, 5, 7, 11]","[13, 17, 19, 23, 29]",0.0,0.0,16,"[170, 130, 157, 208, 280, 267, 192]","[2, 3, 5]","[7, 11, 13, 17, 19, 23, 29]",2,timeGPT-1,original
0.0,0.0,2,[2],"[1, 1, 2, 3, 5, 8, 13, 21, 34]",[55],0.0,0.0,4,"[1, 1]","[1, 1, 2, 3, 5, 8, 13, 21]","[34, 55]",0.0,0.0,14,"[169, 129, 156, 207, 279]","[1, 1, 2, 3, 5]","[8, 13, 21, 34, 55]",0.0,0.0,20,"[169, 129, 156, 207, 279, 266, 191]","[1, 1, 2]","[3, 5, 8, 13, 21, 34, 55]",2,timeGPT-1,original
0.0,0.0,3,[4],"[1, 2, 4, 8, 16, 32, 64, 128, 256]",[512],0.0,0.0,4,"[2, 2]","[1, 2, 4, 8, 16, 32, 64, 128]","[256, 512]",0.0,0.0,12,"[169, 129, 156, 207, 279]","[1, 2, 4, 8, 16]","[32, 64, 128, 256, 512]",0.0,0.0,18,"[169, 129, 156, 207, 279, 266, 191]","[1, 2, 4]","[8, 16, 32, 64, 128, 256, 512]",2,timeGPT-1,original
0.0,0.0,4,[9],"[1, 3, 9, 27, 81, 243, 729, 2187, 6561]",[19683],0.0,0.0,8,"[3, 3]","[1, 3, 9, 27, 81, 243, 729, 2187]","[6561, 19683]",0.0,0.0,16,"[169, 129, 156, 207, 279]","[1, 3, 9, 27, 81]","[243, 729, 2187, 6561, 19683]",0.0,0.0,21,"[169, 129, 156, 207, 279, 266, 191]","[1, 3, 9]","[27, 81, 243, 729, 2187, 6561, 19683]",2,timeGPT-1,original
0.0,0.0,3,[9],"[1, 4, 9, 16, 25, 36, 49, 64, 81]",[100],0.0,0.0,5,"[4, 4]","[1, 4, 9, 16, 25, 36, 49, 64]","[81, 100]",0.0,0.0,13,"[169, 129, 156, 207, 279]","[1, 4, 9, 16, 25]","[36, 49, 64, 81, 100]",0.0,0.0,16,"[169, 129, 156, 207, 279, 266, 191]","[1, 4, 9]","[16, 25, 36, 49, 64, 81, 100]",2,timeGPT-1,original
0.0,0.0,4,[28],"[1, 8, 27, 64, 125, 216, 343, 512, 729]",[1000],0.0,0.0,7,"[8, 8]","[1, 8, 27, 64, 125, 216, 343, 512]","[729, 1000]",0.0,0.0,15,"[169, 129, 156, 207, 279]","[1, 8, 27, 64, 125]","[216, 343, 512, 729, 1000]",0.0,0.0,17,"[169, 129, 156, 207, 279, 266, 191]","[1, 8, 27]","[64, 125, 216, 343, 512, 729, 1000]",2,timeGPT-1,original
0.0,0.0,5,[2],"[1, 1, 2, 6, 24, 120, 720, 5040, 40320]",[362880],0.0,0.0,11,"[1, 1]","[1, 1, 2, 6, 24, 120, 720, 5040]","[40320, 362880]",0.0,0.0,17,"[169, 129, 156, 207, 279]","[1, 1, 2, 6, 24]","[120, 720, 5040, 40320, 362880]",0.0,0.0,22,"[169, 129, 156, 207, 279, 266, 191]","[1, 1, 2]","[6, 24, 120, 720, 5040, 40320, 362880]",2,timeGPT-1,original
0.0,0.0,2,[6],"[1, 3, 6, 10, 15, 21, 28, 36, 45]",[55],0.0,0.0,4,"[3, 3]","[1, 3, 6, 10, 15, 21, 28, 36]","[45, 55]",0.0,0.0,13,"[169, 129, 156, 207, 279]","[1, 3, 6, 10, 15]","[21, 28, 36, 45, 55]",0.0,0.0,18,"[169, 129, 156, 207, 279, 266, 191]","[1, 3, 6]","[10, 15, 21, 28, 36, 45, 55]",2,timeGPT-1,original
0.0,0.0,2,[3],"[2, 1, 3, 4, 7, 11, 18, 29, 47]",[76],0.0,0.0,4,"[1, 1]","[2, 1, 3, 4, 7, 11, 18, 29]","[47, 76]",0.0,0.0,13,"[170, 130, 157, 208, 280]","[2, 1, 3, 4, 7]","[11, 18, 29, 47, 76]",0.0,0.0,17,"[170, 130, 157, 208, 280, 267, 192]","[2, 1, 3]","[4, 7, 11, 18, 29, 47, 76]",2,timeGPT-1,original
0.0,0.0,3,[2],"[0, 1, 2, 5, 12, 29, 70, 169, 408]",[985],0.0,0.0,6,"[1, 1]","[0, 1, 2, 5, 12, 29, 70, 169]","[408, 985]",0.0,0.0,13,"[168, 128, 156, 206, 278]","[0, 1, 2, 5, 12]","[29, 70, 169, 408, 985]",0.0,0.0,18,"[168, 128, 156, 206, 278, 266, 190]","[0, 1, 2]","[5, 12, 29, 70, 169, 408, 985]",2,timeGPT-1,original
0.0,0.0,11,[28],"[1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489]",[10000000000],0.0,0.0,19,"[4, 4]","[1, 4, 27, 256, 3125, 46656, 823543, 16777216]","[387420489, 10000000000]",0.0,0.0,33,"[169, 129, 156, 207, 279]","[1, 4, 27, 256, 3125]","[46656, 823543, 16777216, 387420489, 10000000000]",0.0,0.0,37,"[169, 129, 156, 207, 279, 266, 191]","[1, 4, 27]","[256, 3125, 46656, 823543, 16777216, 387420489, 10000000000]",2,timeGPT-1,original
0.0,0.0,4,[6],"[1, 2, 6, 20, 70, 252, 924, 3432, 12870]",[48620],0.0,0.0,8,"[2, 2]","[1, 2, 6, 20, 70, 252, 924, 3432]","[12870, 48620]",0.0,0.0,17,"[169, 129, 156, 207, 279]","[1, 2, 6, 20, 70]","[252, 924, 3432, 12870, 48620]",0.0,0.0,24,"[169, 129, 156, 207, 279, 266, 191]","[1, 2, 6]","[20, 70, 252, 924, 3432, 12870, 48620]",2,timeGPT-1,original
0.0,0.0,2,[5],"[2, 3, 5, 7, 11, 13, 17, 19, 23]",[29],0.0,0.0,3,"[3, 3]","[2, 3, 5, 7, 11, 13, 17, 19]","[23, 29]",0.0,0.0,10,"[170, 130, 157, 208, 280]","[2, 3, 5, 7, 11]","[13, 17, 19, 23, 29]",0.0,0.0,16,"[170, 130, 157, 208, 280, 267, 192]","[2, 3, 5]","[7, 11, 13, 17, 19, 23, 29]",2,timeGPT-1,original
0.0,0.0,2,[9],"[4, 6, 9, 10, 14, 15, 21, 22, 25]",[26],0.0,0.0,3,"[6, 6]","[4, 6, 9, 10, 14, 15, 21, 22]","[25, 26]",0.0,0.0,11,"[172, 131, 159, 209, 281]","[4, 6, 9, 10, 14]","[15, 21, 22, 25, 26]",0.0,0.0,14,"[172, 131, 159, 209, 281, 269, 193]","[4, 6, 9]","[10, 14, 15, 21, 22, 25, 26]",2,timeGPT-1,original
0.0,0.0,2,[11],"[1, 10, 11, 100, 101, 110, 111, 1000, 1001]",[1010],0.0,0.0,4,"[10, 10]","[1, 10, 11, 100, 101, 110, 111, 1000]","[1001, 1010]",0.0,0.0,14,"[169, 129, 156, 207, 279]","[1, 10, 11, 100, 101]","[110, 111, 1000, 1001, 1010]",0.0,0.0,19,"[169, 129, 156, 207, 279, 266, 191]","[1, 10, 11]","[100, 101, 110, 111, 1000, 1001, 1010]",2,timeGPT-1,original
0.0,0.0,5,[85],"[0, 1, 81, 512, 2401, 4913, 5832, 17576, 19683]",[234256],0.0,0.0,10,"[1, 1]","[0, 1, 81, 512, 2401, 4913, 5832, 17576]","[19683, 234256]",0.0,0.0,19,"[168, 128, 156, 206, 278]","[0, 1, 81, 512, 2401]","[4913, 5832, 17576, 19683, 234256]",0.0,0.0,28,"[168, 128, 156, 206, 278, 266, 190]","[0, 1, 81]","[512, 2401, 4913, 5832, 17576, 19683, 234256]",2,timeGPT-1,original
0.0,0.0,10,"[169, 129, 156, 207]","[1, 2, 145, 40585]","[1, 2, 145, 40585]",0.0,0.0,5,[169],"[1, 2, 145]",[40585],0.0,0.0,7,"[169, 129]","[1, 2]","[145, 40585]",0.0,0.0,9,"[169, 129, 156]",[1],"[2, 145, 40585]",2,timeGPT-1,original
0.0,0.0,2,[12],"[2, 5, 12, 20, 29, 39, 50, 62, 75]",[89],0.0,0.0,3,"[5, 5]","[2, 5, 12, 20, 29, 39, 50, 62]","[75, 89]",0.0,0.0,13,"[170, 130, 157, 208, 280]","[2, 5, 12, 20, 29]","[39, 50, 62, 75, 89]",0.0,0.0,18,"[170, 130, 157, 208, 280, 267, 192]","[2, 5, 12]","[20, 29, 39, 50, 62, 75, 89]",2,timeGPT-1,original
0.0,0.0,1,[10],"[1, 8, 10, 18, 19, 100, 101, 108, 109]",[110],0.0,0.0,6,"[8, 8]","[1, 8, 10, 18, 19, 100, 101, 108]","[109, 110]",0.0,0.0,11,"[169, 129, 156, 207, 279]","[1, 8, 10, 18, 19]","[100, 101, 108, 109, 110]",0.0,0.0,15,"[169, 129, 156, 207, 279, 266, 191]","[1, 8, 10]","[18, 19, 100, 101, 108, 109, 110]",2,timeGPT-1,original
0.0,0.0,8,[32],"[3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607]",[536870911],0.0,0.0,14,"[7, 7]","[3, 7, 31, 127, 2047, 8191, 131071, 524287]","[8388607, 536870911]",0.0,0.0,22,"[171, 130, 158, 209, 281]","[3, 7, 31, 127, 2047]","[8191, 131071, 524287, 8388607, 536870911]",0.0,0.0,29,"[171, 130, 158, 209, 281, 268, 193]","[3, 7, 31]","[127, 2047, 8191, 131071, 524287, 8388607, 536870911]",2,timeGPT-1,original
0.0,0.0,2,[4],"[1, 2, 4, 8, 16, 23, 28, 38, 58]",[89],0.0,0.0,4,"[2, 2]","[1, 2, 4, 8, 16, 23, 28, 38]","[58, 89]",0.0,0.0,13,"[169, 129, 156, 207, 279]","[1, 2, 4, 8, 16]","[23, 28, 38, 58, 89]",0.0,0.0,18,"[169, 129, 156, 207, 279, 266, 191]","[1, 2, 4]","[8, 16, 23, 28, 38, 58, 89]",2,timeGPT-1,original
0.0,0.0,3,[4],"[1, 2, 4, 8, 15, 26, 42, 64, 93]",[129],0.0,0.0,4,"[2, 2]","[1, 2, 4, 8, 15, 26, 42, 64]","[93, 129]",0.0,11.11111111111111,12,"[169, 129, 156, 207, 279]","[1, 2, 4, 8, 15]","[26, 42, 64, 93, 129]",0.0,7.6923076923076925,18,"[169, 129, 156, 207, 279, 266, 191]","[1, 2, 4]","[8, 15, 26, 42, 64, 93, 129]",2,timeGPT-1,original
0.0,0.0,2,[13],"[1, 5, 12, 22, 35, 51, 70, 92, 117]",[145],0.0,0.0,5,"[5, 5]","[1, 5, 12, 22, 35, 51, 70, 92]","[117, 145]",0.0,0.0,14,"[169, 129, 156, 207, 279]","[1, 5, 12, 22, 35]","[51, 70, 92, 117, 145]",0.0,0.0,18,"[169, 129, 156, 207, 279, 266, 191]","[1, 5, 12]","[22, 35, 51, 70, 92, 117, 145]",2,timeGPT-1,original
0.0,0.0,1,[1],"[0, 1, 1, 2, 1, 2, 2, 3, 1]",[3],50.0,50.0,1,"[1, 1]","[0, 1, 1, 2, 1, 2, 2, 3]","[1, 3]",0.0,0.0,14,"[168, 128, 156, 206, 278]","[0, 1, 1, 2, 1]","[2, 2, 3, 1, 3]",0.0,0.0,17,"[168, 128, 156, 206, 278, 266, 190]","[0, 1, 1]","[2, 1, 2, 2, 3, 1, 3]",2,timeGPT-1,original
0.0,0.0,5,[5],"[1, 2, 5, 15, 52, 203, 877, 4140, 21147]",[115975],0.0,0.0,10,"[2, 2]","[1, 2, 5, 15, 52, 203, 877, 4140]","[21147, 115975]",0.0,0.0,17,"[169, 129, 156, 207, 279]","[1, 2, 5, 15, 52]","[203, 877, 4140, 21147, 115975]",0.0,0.0,21,"[169, 129, 156, 207, 279, 266, 191]","[1, 2, 5]","[15, 52, 203, 877, 4140, 21147, 115975]",2,timeGPT-1,original
0.0,0.0,2,[5],"[2, 3, 5, 7, 11, 13, 17, 19, 23]",[29],0.0,0.0,3,"[3, 3]","[2, 3, 5, 7, 11, 13, 17, 19]","[23, 29]",0.0,0.0,10,"[170, 130, 157, 208, 280]","[2, 3, 5, 7, 11]","[13, 17, 19, 23, 29]",0.0,0.0,16,"[170, 130, 157, 208, 280, 267, 192]","[2, 3, 5]","[7, 11, 13, 17, 19, 23, 29]",2,timeGPT-1,original
0.0,0.0,14,"[169, 129, 156, 207, 279]","[1, 11, 21, 1211, 111221]","[1, 11, 21, 1211, 111221]",0.0,0.0,5,[169],"[1, 11, 21, 1211]",[111221],0.0,0.0,7,"[169, 129]","[1, 11, 21]","[1211, 111221]",0.0,0.0,10,"[169, 129, 156]","[1, 11]","[21, 1211, 111221]",2,timeGPT-1,original
0.0,0.0,2,[5],"[2, 3, 5, 7, 11, 13, 17, 19, 23]",[29],0.0,0.0,3,"[3, 3]","[2, 3, 5, 7, 11, 13, 17, 19]","[23, 29]",0.0,0.0,10,"[170, 130, 157, 208, 280]","[2, 3, 5, 7, 11]","[13, 17, 19, 23, 29]",0.0,0.0,16,"[170, 130, 157, 208, 280, 267, 192]","[2, 3, 5]","[7, 11, 13, 17, 19, 23, 29]",2,timeGPT-1,original
