complexity,language,percentages,avg_answer_len,norm_avg_answer_len,compressed_avg_len,compressed_norm_avg_len,compressed_seq_avg_len,no_compression_percentage,p_percentages,p_avg_answer_len,p_norm_avg_answer_len,p_compressed_avg_len,p_compressed_norm_avg_len,p_compressed_seq_avg_len,p_no_compression_percentage,c_percentages,c_avg_answer_len,c_norm_avg_answer_len,c_compressed_avg_len,c_compressed_norm_avg_len,c_compressed_seq_avg_len,c_no_compression_percentage,cnp_percentages,cnp_avg_answer_len,cnp_norm_avg_answer_len,cnp_compressed_avg_len,cnp_compressed_norm_avg_len,cnp_compressed_seq_avg_len,cnp_no_compression_percentage,ip_percentages,ip_avg_answer_len,ip_norm_avg_answer_len,ip_compressed_avg_len,ip_compressed_norm_avg_len,ip_compressed_seq_avg_len,ip_no_compression_percentage,p_c_percentages,p_c_avg_answer_len,p_c_norm_avg_answer_len,p_c_compressed_avg_len,p_c_compressed_norm_avg_len,p_c_compressed_seq_avg_len,p_c_no_compression_percentage
1,JavaScript,100.0,72.65333333333334,72.65333333333334,150.30666666666667,150.30666666666667,73.73333333333333,18.866666666666667,17.966101694915253,,,,,,,58.13559322033898,72.65333333333334,72.65333333333334,150.30666666666667,150.30666666666667,73.73333333333333,18.866666666666667,47.11864406779661,72.65333333333334,72.65333333333334,150.30666666666667,150.30666666666667,73.73333333333333,18.866666666666667,6.9491525423728815,,,,,,,11.016949152542374,,,,,,
2,JavaScript,100.0,196.92666666666668,196.92666666666668,267.8,267.8,76.93333333333334,22.533333333333335,17.966101694915253,,,,,,,58.13559322033898,179.5,179.5,254.21052631578948,254.21052631578948,77.92105263157895,19.407894736842106,47.11864406779661,179.5,179.5,254.21052631578948,254.21052631578948,77.92105263157895,19.407894736842106,6.9491525423728815,,,,,,,11.016949152542374,,,,,,
3,JavaScript,100.0,184.37142857142857,180.4142857142857,255.9857142857143,249.9857142857143,63.07142857142857,40.642857142857146,17.966101694915253,79.3529411764706,46.76470588235294,154.7058823529412,105.29411764705883,66.23529411764706,100.0,58.13559322033898,197.09259259259258,190.88888888888889,268.6296296296296,259.48148148148147,68.22222222222223,31.85185185185185,47.11864406779661,217.73333333333332,217.73333333333332,286.84444444444443,286.84444444444443,67.64444444444445,18.22222222222222,6.9491525423728815,63.0,35.625,129.0,85.75,60.75,100.0,11.016949152542374,93.88888888888889,56.666666666666664,177.55555555555554,122.66666666666667,71.11111111111111,100.0
4,JavaScript,100.0,146.38,119.22,226.25333333333333,184.4,87.66666666666667,64.8,17.966101694915253,104.92134831460675,59.146067415730336,194.04494382022472,123.50561797752809,87.3932584269663,100.0,58.13559322033898,134.74603174603175,94.19047619047619,222.47619047619048,160.06349206349208,87.71428571428571,95.87301587301587,47.11864406779661,276.0,276.0,296.2857142857143,296.2857142857143,87.14285714285714,62.857142857142854,6.9491525423728815,84.27272727272727,38.24242424242424,161.45454545454547,90.36363636363636,86.72727272727273,100.0,11.016949152542374,117.08928571428571,71.46428571428571,213.25,143.03571428571428,87.78571428571429,100.0
1,C++,100.0,140.78666666666666,140.78666666666666,235.72,235.72,73.73333333333333,18.866666666666667,38.30508474576271,,,,,,,21.52542372881356,143.8,143.8,236.93333333333334,236.93333333333334,77.73333333333333,16.0,5.084745762711864,143.8,143.8,236.93333333333334,236.93333333333334,77.73333333333333,16.0,21.864406779661017,,,,,,,16.440677966101696,,,,,,
2,C++,100.0,269.75333333333333,262.37333333333333,332.0133333333333,322.14666666666665,76.93333333333334,33.96666666666667,38.30508474576271,239.10344827586206,200.93103448275863,329.6551724137931,278.62068965517244,74.27586206896552,98.27586206896552,21.52542372881356,247.33333333333334,228.08333333333334,335.8333333333333,307.8333333333333,82.66666666666667,56.666666666666664,5.084745762711864,264.14285714285717,264.14285714285717,340.2857142857143,340.2857142857143,77.71428571428571,25.714285714285715,21.864406779661017,242.29166666666666,205.79166666666666,329.6666666666667,282.0,71.08333333333333,97.91666666666667,16.440677966101696,223.8,177.6,329.6,262.4,89.6,100.0
3,C++,100.0,259.1642857142857,248.65714285714284,322.6142857142857,309.45714285714286,63.07142857142857,49.654761904761905,38.30508474576271,205.7872340425532,174.48936170212767,302.468085106383,263.27659574468083,61.659574468085104,98.29787234042553,21.52542372881356,218.35714285714286,199.35714285714286,300.7142857142857,276.2857142857143,67.0,51.42857142857143,5.084745762711864,224.5,224.5,296.0,296.0,60.75,15.0,21.864406779661017,205.14634146341464,175.7560975609756,301.8048780487805,265.219512195122,59.65853658536585,98.04878048780488,16.440677966101696,210.16666666666666,165.83333333333334,307.0,250.0,75.33333333333333,100.0
4,C++,100.0,225.0,179.23333333333332,327.74666666666667,262.96,87.66666666666667,100.0,38.30508474576271,225.0,179.23333333333332,327.74666666666667,262.96,87.66666666666667,100.0,21.52542372881356,213.17441860465115,167.11627906976744,318.2325581395349,252.46511627906978,87.83720930232558,100.0,5.084745762711864,,,,,,,21.864406779661017,240.890625,195.515625,340.53125,277.0625,87.4375,100.0,16.440677966101696,213.17441860465115,167.11627906976744,318.2325581395349,252.46511627906978,87.83720930232558,100.0
1,R,100.0,21.98,21.98,59.74666666666667,59.74666666666667,73.73333333333333,20.266666666666666,32.20338983050848,,,,,,,52.88135593220339,21.98,21.98,59.74666666666667,59.74666666666667,73.73333333333333,20.266666666666666,32.71186440677966,21.98,21.98,59.74666666666667,59.74666666666667,73.73333333333333,20.266666666666666,12.033898305084746,,,,,,,20.16949152542373,,,,,,
2,R,100.0,117.20666666666666,114.73333333333333,172.09333333333333,168.53333333333333,76.93333333333334,29.566666666666666,32.20338983050848,63.75,32.833333333333336,122.16666666666667,77.66666666666667,63.833333333333336,100.0,52.88135593220339,174.74285714285713,169.74285714285713,233.6,225.88571428571427,70.11428571428571,36.857142857142854,32.71186440677966,192.7,192.7,250.86666666666667,250.86666666666667,70.46666666666667,26.333333333333332,12.033898305084746,61.42857142857143,33.42857142857143,116.57142857142857,78.85714285714286,60.857142857142854,100.0,20.16949152542373,67.0,32.0,130.0,76.0,68.0,100.0
3,R,100.0,109.37857142857143,102.73571428571428,172.21428571428572,162.57142857142858,63.07142857142857,43.57142857142857,32.20338983050848,66.75,33.535714285714285,124.78571428571429,76.57142857142857,65.0,100.0,52.88135593220339,151.06666666666666,136.03333333333333,208.0,184.26666666666668,63.8,63.333333333333336,32.71186440677966,269.15384615384613,269.15384615384613,324.15384615384613,324.15384615384613,70.0,15.384615384615385,12.033898305084746,76.0,32.45454545454545,133.45454545454547,75.45454545454545,74.18181818181819,100.0,20.16949152542373,60.76470588235294,34.23529411764706,119.17647058823529,77.29411764705883,59.05882352941177,100.0
4,R,100.0,77.16,31.393333333333334,146.13333333333333,73.89333333333333,87.66666666666667,100.0,32.20338983050848,77.16,31.393333333333334,146.13333333333333,73.89333333333333,87.66666666666667,100.0,52.88135593220339,79.14432989690722,32.88659793814433,149.31958762886597,76.49484536082474,88.14432989690722,100.0,32.71186440677966,,,,,,,12.033898305084746,73.52830188679245,28.660377358490567,140.30188679245282,69.13207547169812,86.79245283018868,100.0,20.16949152542373,79.14432989690722,32.88659793814433,149.31958762886597,76.49484536082474,88.14432989690722,100.0
