question,options,correct_answer,correct_index,inference,similarity,is_correct,accumulated_accuracy,cycle_time (sec),elapsed_time (sec)
"A 46-year-old woman comes to the physician because of a 2-week history of diplopia and ocular pain when reading the newspaper. She also has a 3-month history of amenorrhea, hot flashes, and increased sweating. She reports that she has been overweight all her adult life and is happy to have lost 6.8-kg (15-lb) of weight in the past 2 months. Her pulse is 110/min, and blood pressure is 148/98 mm Hg. Physical examination shows moist palms and a nontender thyroid gland that is enlarged to two times its normal size. Ophthalmologic examination shows prominence of the globes of the eyes, bilateral lid retraction, conjunctival injection, and an inability to converge the eyes. There is no pain on movement of the extraocular muscles. Visual acuity is 20/20 bilaterally. Neurologic examination shows a fine resting tremor of the hands. Deep tendon reflexes are 3+ with a shortened relaxation phase. Which of the following is the most likely cause of this patient's ocular complaints?","(A) Granulomatous inflammation of the cavernous sinus (B) Abnormal communication between the cavernous sinus and the internal carotid artery (C) Glycosaminoglycan accumulation in the orbit (D) Sympathetic hyperactivity of levator palpebrae superioris
""",Glycosaminoglycan accumulation in the orbit,(C),The most likely cause of this patient's ocular complaints is (B,0.017970499,FALSE,45.45454545,6.78,51.99
"A 1-year-old boy presents to the emergency department with weakness and a change in his behavior. His parents state that they first noticed the change in his behavior this morning and it has been getting worse. They noticed the patient was initially weak in his upper body and arms, but now he won’t move his legs with as much strength or vigor as he used to. Physical exam is notable for bilateral ptosis with a sluggish pupillary response, a very weak sucking and gag reflex, and shallow respirations. The patient is currently drooling and his diaper is dry. The parents state he has not had a bowel movement in over 1 day. Which of the following is the pathophysiology of this patient’s condition?",(A) Autoantibodies against the presynaptic voltage-gated calcium channels (B) Autoimmune demyelination of peripheral nerves (C) Blockade of presynaptic acetylcholine release at the neuromuscular junction (D) Lower motor neuron destruction in the anterior horn,Blockade of presynaptic acetylcholine release at the neuromuscular junction,(C),(B) Autoimmune demyelination of peripheral nerves,0.438329071,FALSE,41.66666667,5.13,57.12
"A 9-month-old female is brought to the emergency department after experiencing a seizure. She was born at home and was normal at birth according to her parents. Since then, they have noticed that she does not appear to be achieving developmental milestones as quickly as her siblings, and often appears lethargic. Physical exam reveals microcephaly, very light pigmentation (as compared to her family), and a ""musty"" body odor. The varied manifestations of this disease can most likely be attributed to which of the following genetic principles?",(A) Anticipation (B) Multiple gene mutations (C) Pleiotropy (D) Variable expressivity,Pleiotropy,(C),(D) Variable expressivity.,0.245798439,FALSE,38.46153846,3.27,60.38
"A 23-year-old man comes to the physician for evaluation of decreased hearing, dizziness, and ringing in his right ear for the past 6 months. Physical examination shows multiple soft, yellow plaques and papules on his arms, chest, and back. There is sensorineural hearing loss and weakness of facial muscles bilaterally. His gait is unsteady. An MRI of the brain shows a 3-cm mass near the right internal auditory meatus and a 2-cm mass at the left cerebellopontine angle. The abnormal cells in these masses are most likely derived from which of the following embryological structures?",(A) Neural tube (B) Surface ectoderm (C) Neural crest (D) Notochord,Neural crest,(C),(B) Surface ectoderm.,0.259258509,FALSE,35.71428571,4.01,64.4
"A 62-year-old woman comes to the physician because of coughing and fatigue during the past 2 years. In the morning, the cough is productive of white phlegm. She becomes short of breath walking up a flight of stairs. She has hypertension and hyperlipidemia. She has recently retired from working as a nurse at a homeless shelter. She has smoked 1 pack of cigarettes daily for 40 years. Current medications include ramipril and fenofibrate. Her temperature is 36.5°C (97.7°F), respirations are 24/min, pulse is 85/min, and blood pressure is 140/90 mm Hg. Scattered wheezing and rhonchi are heard throughout both lung fields. There are no murmurs, rubs, or gallops but heart sounds are distant. Which of the following is the most likely underlying cause of this patient's symptoms?","(A) Chronic decrease in pulmonary compliance (B) Local accumulation of kinins (C) Progressive obstruction of expiratory airflow (D) Incremental loss of functional residual capacity
""",Progressive obstruction of expiratory airflow,(C),The most likely underlying cause of the patient's symptoms is (C),0.28163451,TRUE,40,5.51,69.91
"A 68-year-old man presents to the emergency department with leg pain. He states that the pain started suddenly while he was walking outside. The patient has a past medical history of diabetes, hypertension, obesity, and atrial fibrillation. His temperature is 99.3°F (37.4°C), blood pressure is 152/98 mmHg, pulse is 97/min, respirations are 15/min, and oxygen saturation is 99% on room air. Physical exam is notable for a cold and pale left leg. The patient’s sensation is markedly diminished in the left leg when compared to the right, and his muscle strength is 1/5 in his left leg. Which of the following is the best next step in management?",(A) Graded exercise and aspirin (B) Heparin drip (C) Surgical thrombectomy (D) Tissue plasminogen activator,Heparin drip,(B),The best next step in management for this patient would be (B) Hepar,0.440321445,TRUE,43.75,4.76,74.67
"A 76-year-old African American man presents to his primary care provider complaining of urinary frequency. He wakes up 3-4 times per night to urinate while he previously only had to wake up once per night. He also complains of post-void dribbling and difficulty initiating a stream of urine. He denies any difficulty maintaining an erection. His past medical history is notable for non-alcoholic fatty liver disease, hypertension, hyperlipidemia, and gout. He takes aspirin, atorvastatin, enalapril, and allopurinol. His family history is notable for prostate cancer in his father and lung cancer in his mother. He has a 15-pack-year smoking history and drinks alcohol socially. On digital rectal exam, his prostate is enlarged, smooth, and non-tender. Which of the following medications is indicated in this patient?",(A) Hydrochlorothiazide (B) Midodrine (C) Oxybutynin (D) Tamsulosin,Tamsulosin,(D),(D) Tamsulosin.,0.944144845,TRUE,47.05882353,4.95,79.62
"A 68-year-old man comes to the physician because of recurrent episodes of nausea and abdominal discomfort for the past 4 months. The discomfort is located in the upper abdomen and sometimes occurs after eating, especially after a big meal. He has tried to go for a walk after dinner to help with digestion, but his complaints have only increased. For the past 3 weeks he has also had symptoms while climbing the stairs to his apartment. He has type 2 diabetes mellitus, hypertension, and stage 2 peripheral arterial disease. He has smoked one pack of cigarettes daily for the past 45 years. He drinks one to two beers daily and occasionally more on weekends. His current medications include metformin, enalapril, and aspirin. He is 168 cm (5 ft 6 in) tall and weighs 126 kg (278 lb); BMI is 45 kg/m2. His temperature is 36.4°C (97.5°F), pulse is 78/min, and blood pressure is 148/86 mm Hg. On physical examination, the abdomen is soft and nontender with no organomegaly. Foot pulses are absent bilaterally. An ECG shows no abnormalities. Which of the following is the most appropriate next step in diagnosis?",(A) Esophagogastroduodenoscopy (B) Hydrogen breath test (C) Cardiac stress test (D) Abdominal ultrasonography of the right upper quadrant,Cardiac stress test,(C),The most appropriate next step in diagnosis would be (B) Hydrogen,0.180493921,FALSE,44.44444444,7.74,87.35
A 27-year-old female presents to general medical clinic for a routine checkup. She has a genetic disease marked by a mutation in a chloride transporter. She has a history of chronic bronchitis. She has a brother with a similar history of infections as well as infertility. Which of the following is most likely true regarding a potential vitamin deficiency complication secondary to this patient's chronic illness?,"(A) It may result in corneal vascularization (B) It may result in the triad of confusion, ophthalmoplegia, and ataxia (C) It may be exacerbated by excessive ingestion of raw eggs (D) It may manifest itself as a prolonged PT",It may manifest itself as a prolonged PT,(D),The correct answer is (A) It may result in corneal vasc,0.394788116,FALSE,42.10526316,3.99,91.35
A previously healthy 36-year-old man comes to the physician for a yellow discoloration of his skin and dark-colored urine for 2 weeks. He does not drink any alcohol. Physical examination shows jaundice. Abdominal and neurologic examinations show no abnormalities. Serum studies show increased levels of alanine aminotransferase (ALT) and aspartate aminotransferase (AST). A liver biopsy is performed and a photomicrograph after periodic acid-Schiff-staining is shown. Which of the following is the most likely additional finding in this patient?,(A) Bullous changes of the lung bases on chest CT (B) Beading of intra- and extrahepatic bile ducts on ERCP (C) Myocardial iron deposition on cardiovascular MRI (D) Dark corneal ring on slit-lamp examination,Bullous changes of the lung bases on chest CT,(A),The most likely additional finding in this patient is (B) Beading of,0.353135586,FALSE,40,4.8,96.15
"A 69-year-old male presents to the emergency room with back pain. He has a history of personality disorder and metastatic prostate cancer and was not a candidate for surgical resection. He began chemotherapy but discontinued due to unremitting nausea. He denies any bowel or bladder incontinence. He has never had pain like this before and is demanding morphine. The nurse administers IV morphine and he feels more comfortable. Vital signs are stable. On physical examination you note tenderness to palpation along the lower spine, weakness in the bilateral lower extremities, left greater than right. Neurological examination is also notable for hyporeflexia in the knee and ankle jerks bilaterally. You conduct a rectal examination, which reveals saddle anesthesia. Regarding this patient, what is the most likely diagnosis and the appropriate next step in management?",(A) The most likely diagnosis is cauda equina syndrome and steroids should be started prior to MRI (B) The most likely diagnosis is cauda equina syndrome and steroids should be started after to MRI (C) The most likely diagnosis is cauda equina syndrome and the patient should be rushed to radiation (D) The most likely diagnosis is conus medullaris syndrome and steroids should be started prior to MRI,The most likely diagnosis is cauda equina syndrome and steroids should be started prior to MRI,(A),(B) The most likely diagnosis is cauda equina syndrome and,0.820971847,TRUE,42.85714286,6.13,102.28
"An investigator is studying the function of the lateral nucleus of the hypothalamus in an experimental animal. Using a viral vector, the genes encoding chloride-conducting channelrhodopsins are injected into this nucleus. Photostimulation of the channels causes complete inhibition of action potential generation. Persistent photostimulation is most likely to result in which of the following abnormalities in these animals?",(A) Hypothermia (B) Hyperthermia (C) Polydipsia (D) Anorexia,Anorexia,(D),(D) Anorexia. Explanation: The lateral nucle,0.741393924,TRUE,45.45454545,3.35,105.63
"A 52-year-old woman comes to the physician because of a 6-month history of generalized fatigue, low-grade fever, and a 10-kg (22-lb) weight loss. Physical examination shows generalized pallor and splenomegaly. Her hemoglobin concentration is 7.5 g/dL and leukocyte count is 41,800/mm3. Leukocyte alkaline phosphatase activity is low. Peripheral blood smear shows basophilia with myelocytes and metamyelocytes. Bone marrow biopsy shows cellular hyperplasia with proliferation of immature granulocytic cells. Which of the following mechanisms is most likely responsible for this patient's condition?",(A) Cytokine-independent activation of the JAK-STAT pathway (B) Loss of function of the APC gene (C) Altered expression of the retinoic acid receptor gene (D) Unregulated expression of the ABL1 gene,Unregulated expression of the ABL1 gene,(D),(B) Loss of function of the APC gene.,0.415786386,FALSE,43.47826087,4.97,110.6
"A 42-year-old woman is in the hospital recovering from a cholecystectomy performed 3 days ago that was complicated by cholangitis. She is being treated with IV piperacillin-tazobactam. She calls the nurse to her room because she says that her heart is racing. She also demands that someone come in to clean the pile of garbage off of the floor because it is attracting flies. Her pulse is 112/min, respiratory rate is 20/min, temperature is 38.0°C (100.4°F), and blood pressure is 150/90 mm Hg. On physical examination, the patient appears sweaty, distressed, and unable to remain still. She is oriented to person, but not place or time. Palpation of the abdomen shows no tenderness, rebound, or guarding. Which of the following is the most likely diagnosis in this patient?",(A) Acute cholangitis (B) Alcoholic hallucinosis (C) Delirium tremens (D) Hepatic encephalopathy,Delirium tremens,(C),(B) Alcoholic hallucinosis.,0.297778547,FALSE,41.66666667,5.21,115.81
"A 48-year-old woman comes to the emergency department because of a photosensitive blistering rash on her hands, forearms, and face for 3 weeks. The lesions are not itchy. She has also noticed that her urine has been dark brown in color recently. Twenty years ago, she was successfully treated for Coats disease of the retina via retinal sclerotherapy. She is currently on hormonal replacement therapy for perimenopausal symptoms. Her aunt and sister have a history of a similar skin lesions. Examination shows multiple fluid-filled blisters and oozing erosions on the forearms, dorsal side of both hands, and forehead. There is hyperpigmented scarring and patches of bald skin along the sides of the blisters. Laboratory studies show a normal serum ferritin concentration. Which of the following is the most appropriate next step in management to induce remission in this patient?",(A) Pursue liver transplantation (B) Begin oral thalidomide therapy (C) Begin phlebotomy therapy (D) Begin oral hydroxychloroquine therapy,Begin phlebotomy therapy,(C),(B) Begin oral thalidomide therapy.,0.337566733,FALSE,40,5.33,121.14
"A 53-year-old man comes to the emergency department because of severe right-sided flank pain for 3 hours. The pain is colicky, radiates towards his right groin, and he describes it as 8/10 in intensity. He has vomited once. He has no history of similar episodes in the past. Last year, he was treated with naproxen for swelling and pain of his right toe. He has a history of hypertension. He drinks one to two beers on the weekends. Current medications include amlodipine. He appears uncomfortable. His temperature is 37.1°C (99.3°F), pulse is 101/min, and blood pressure is 130/90 mm Hg. Examination shows a soft, nontender abdomen and right costovertebral angle tenderness. An upright x-ray of the abdomen shows no abnormalities. A CT scan of the abdomen and pelvis shows a 7-mm stone in the proximal ureter and grade I hydronephrosis on the right. Which of the following is most likely to be seen on urinalysis?",(A) Urinary pH: 7.3 (B) Urinary pH: 4.7 (C) Positive nitrites test (D) Largely positive urinary protein,Urinary pH: 4.7,(B),(C) Positive nitrites test. Rationale: The patient',0.183107689,FALSE,38.46153846,5.89,127.03
"A 5-year-old girl is brought to the clinic by her mother for excessive hair growth. Her mother reports that for the past 2 months she has noticed hair at the axillary and pubic areas. She denies any family history of precocious puberty and reports that her daughter has been relatively healthy with an uncomplicated birth history. She denies any recent illnesses, weight change, fever, vaginal bleeding, pain, or medication use. Physical examination demonstrates Tanner stage 4 development. A pelvic ultrasound shows an ovarian mass. Laboratory studies demonstrates an elevated level of estrogen. What is the most likely diagnosis?",(A) Granulosa cell tumor (B) Idiopathic precocious puberty (C) McCune-Albright syndrome (D) Sertoli-Leydig tumor,Granulosa cell tumor,(A),(B) Idiopathic precocious puberty.,0.063336894,FALSE,37.03703704,4.5,131.53
"A 16-year-old boy is brought to the physician by his mother because she is worried about his behavior. Yesterday, he was expelled from school for repeatedly skipping classes. Over the past 2 months, he was suspended 3 times for bullying and aggressive behavior towards his peers and teachers. Once, his neighbor found him smoking cigarettes in his backyard. In the past, he consistently maintained an A grade average and had been a regular attendee of youth group events at their local church. The mother first noticed this change in behavior 3 months ago, around the time at which his father moved out after discovering his wife was having an affair. Which of the following defense mechanisms best describes the change in this patient's behavior?",(A) Acting out (B) Projection (C) Passive aggression (D) Regression,Acting out,(A),(B) Projection.,0.107719101,FALSE,35.71428571,3.89,135.42
"A 63-year-old woman presents to her primary-care doctor for a 2-month history of vision changes, specifically citing the gradual onset of double vision. Her double vision is present all the time and does not get better or worse throughout the day. She has also noticed that she has a hard time keeping her right eye open, and her right eyelid looks 'droopy' in the mirror. Physical exam findings during primary gaze are shown in the photo. Her right pupil is 6 mm and poorly reactive to light. The rest of her neurologic exam is unremarkable. Laboratory studies show an Hb A1c of 5.0%. Which of the following is the next best test for this patient?",(A) Direct fundoscopy (B) Intraocular pressures (C) MR angiography of the head (D) Temporal artery biopsy,MR angiography of the head,(C),(B) Intraocular pressures.,0.416649163,FALSE,34.48275862,4.24,139.66
"An investigator is studying the modification of newly formed polypeptides in plated eukaryotic cells. After the polypeptides are released from the ribosome, a chemically-tagged protein attaches covalently to lysine residues on the polypeptide chain, forming a modified polypeptide. When a barrel-shaped complex is added to the cytoplasm, the modified polypeptide lyses, resulting in individual amino acids and the chemically-tagged proteins. Which of the following post-translational modifications has most likely occurred?",(A) Glycosylation (B) Phosphorylation (C) Carboxylation (D) Ubiquitination,Ubiquitination,(D),(D) Ubiquitination. Explanation: The investigator is,0.779861629,TRUE,36.66666667,3.91,143.57
"A 38-year-old man presents to his physician with double vision persisting for a week. When he enters the exam room, the physician notes that the patient has a broad-based gait. The man’s wife informs the doctor that he has been an alcoholic for the last 5 years and his consumption of alcohol has increased significantly over the past few months. She also reports that he has become indifferent to his family members over time and is frequently agitated. She also says that his memory has been affected significantly, and when asked about a particular detail, he often recollects it incorrectly, though he insists that his version is the true one. On physical examination, his vital signs are stable, but when the doctor asks him where he is, he seems to be confused. His neurological examination also shows nystagmus. Which of the following options describes the earliest change in the pathophysiology of the central nervous system in this man?",(A) Decreased α-ketoglutarate dehydrogenase activity in astrocytes (B) Increased extracellular concentration of glutamate (C) Increased astrocyte lactate (D) Breakdown of the blood-brain barrier,Decreased α-ketoglutarate dehydrogenase activity in astrocytes,(A),(B) Increased extracellular concentration of glutamate,0.34052968,FALSE,35.48387097,5.65,149.22
"A 69-year-old man is brought by his son to the emergency department with weakness in his right arm and leg. The man insists that he is fine and blames his son for ""creating panic"". Four hours ago the patient was having tea with his wife when he suddenly dropped his teacup. He has had difficulty moving his right arm since then and cannot walk because his right leg feels stuck. He has a history of hypertension and dyslipidemia, for which he currently takes lisinopril and atorvastatin, respectively. He is allergic to aspirin and peanuts. A computerized tomography (CT) scan shows evidence of an ischemic stroke. Which medication would most likely prevent such attacks in this patient in the future?",(A) Alteplase (B) Urokinase (C) Celecoxib (D) Clopidogrel,Clopidogrel,(D),(A) Alteplase.,0.240590081,FALSE,34.375,4.13,153.35
A 70-year-old man presents to a medical clinic reporting blood in his urine and lower abdominal pain for the past few days. He is also concerned about urinary frequency and urgency. He states that he recently completed a cycle of chemotherapy for non-Hodgkin lymphoma. Which medication in the chemotherapy regimen most likely caused his symptoms?,(A) Methotrexate (B) Rituximab (C) Cyclophosphamide (D) Prednisone,Cyclophosphamide,(C),(B) Rituximab.,0.319443583,FALSE,33.33333333,3.25,156.6
A 27-year-old man presents to the emergency department after a dog bite. The patient was intoxicated and pulled the dog’s tail while it was eating. The dog belongs to his friend and is back at his friend’s house currently. Physical exam is notable for a dog bite on the patient’s right arm. The wound is irrigated and explored with no retained bodies found. A tetanus vaccination is administered. Which of the following is appropriate management of this patient?,(A) Administer amoxicillin-clavulanic acid (B) Administer trimethoprim-sulfamethoxazole (C) Close the wound with sutures and discharge the patient (D) Discharge the patient with outpatient follow up,Administer amoxicillin-clavulanic acid,(A),The appropriate management of this patient would be (C) Close the wound with,0.187726974,FALSE,32.35294118,4.23,160.84
"A 19-year-old woman, accompanied by her parents, presents after a one-week history of abnormal behavior, delusions, and unusual aggression. She denies fever, seizures or illicit drug use. Family history is negative for psychiatric illnesses. She was started on risperidone and sent home with her parents. Three days later, she is brought to the emergency department with fever and confusion. She is not verbally responsive. At the hospital, her temperature is 39.8°C (103.6°F), the blood pressure is 100/60 mm Hg, the pulse rate is 102/min, and the respiratory rate is 16/min. She is extremely diaphoretic and appears stiff. She has spontaneous eye-opening but she is not verbally responsive and she is not following commands. Laboratory studies show:
Sodium 142 mmol/L
Potassium 5.0 mmol/L
Creatinine 1.8 mg/dl
Calcium 10.4 mg/dl
Creatine kinase 9800 U/L
White blood cells 14,500/mm3
Hemoglobin 12.9 g/dl
Platelets 175,000/mm3
Urinalysis shows protein 1+, hemoglobin 3+ with occasional leukocytes and no red blood casts. What is the best first step in the management of this condition?",(A) Intravenous hydration (B) Paracetamol (C) Stop risperidone (D) Switch risperidone to clozapine,Stop risperidone,(C),(D) Switch risperidone to clozapine.,0.733837187,FALSE,31.42857143,8.04,168.88
"A 35-year-old woman comes to the physician because of a 1-month history of double vision, difficulty climbing stairs, and weakness when trying to brush her hair. She reports that these symptoms are worse after she exercises and disappear after she rests for a few hours. Physical examination shows drooping of her right upper eyelid that worsens when the patient is asked to gaze at the ceiling for 2 minutes. There is diminished motor strength in the upper extremities. The remainder of the examination shows no abnormalities. Which of the following is the most likely diagnosis?",(A) Myasthenia gravis (B) Polymyositis (C) Amyotrophic lateral sclerosis (D) Multiple sclerosis,Myasthenia gravis,(A),(B) Polymyositis.,0.22776632,FALSE,30.55555556,3.91,172.79
A 6-year-old male who recently immigrated to the United States from Asia is admitted to the hospital with dyspnea. Physical exam reveals a gray pseudomembrane in the patient's oropharynx along with lymphadenopathy. The patient develops myocarditis and expires on hospital day 5. Which of the following would have prevented this patient's presentation and decline?,(A) Increased CD4+ T cell count (B) Secretory IgA against viral proteins (C) Increased IgM preventing bacterial invasion (D) Circulating IgG against AB exotoxin,Circulating IgG against AB exotoxin,(D),(B) Secretory IgA against viral proteins.,0.353755236,FALSE,29.72972973,3.71,176.5
"A 12-year-old boy who recently emigrated from Pakistan presents with fever, muscle pain, and weakness of the trunk, abdomen, and legs. The patient’s mother says that he has not been vaccinated. Physical examination reveals fasciculation and flaccid paralysis of the lower limbs. A CSF analysis reveals lymphocytosis with normal glucose and protein levels. A throat swab reveals an RNA virus. Which of the following would most likely be destroyed by the virus in this patient?",(A) Posterior horn cells of the spinal cord (B) Myelin sheath of neurons (C) Muscle cells (D) Anterior horn of the spinal cord,Anterior horn of the spinal cord,(D),(B) Myelin sheath of neurons.,0.333723396,FALSE,28.94736842,3.88,180.38
"A researcher is studying the properties of an enzyme that adds phosphate groups to glucose. She discovers that the enzyme is present in most body tissues and is located in the cytoplasm of the cells expressing the enzyme. She decides to mix this enzyme under subphysiologic conditions with varying levels of glucose in order to determine the kinetic properties of the enzyme. Specifically, she adds increasing levels of glucose at a saturating concentration of phosphate and sees that the rate at which glucose becomes phosphorylated gets faster at higher levels of glucose. She observes that this rate approaches a maximum speed and calls this speed Y. She then determines the concentration of glucose that is needed to make the enzyme function at half the speed Y and calls this concentration X. Which of the following is most likely true about the properties of this enzyme?",(A) High X and high Y (B) High X and low Y (C) Low X and high Y (D) Low X and low Y,Low X and low Y,(D),(B) High X and low Y. Explanation: The researcher,0.603126884,FALSE,28.20512821,4.97,185.35
"A 31-year-old G2P2 female at 40 weeks gestation presents to the hospital following a rush of water that came from her vagina. She is 4 cm dilated and 80% effaced. Fetal heart tracing shows a pulse of 155/min with variable decelerations. About 12 hours after presentation, she gives birth to a 6 lb 15 oz baby boy with APGAR scores of 8 and 9 at 1 and 5 minutes, respectively. Which of the following structures is responsible for inhibition of female internal genitalia?",(A) Spermatogonia (B) Allantois (C) Syncytiotrophoblast (D) Sertoli cells,Sertoli cells,(D),C.,0.052729454,FALSE,27.5,3.43,188.78
