sequence,Complexity,grok_4.1,gpt-5.2,claude-4.5,gemini-3-pro,mistral-large-3,grok_4.1_1,gpt-5.2_1,gpt-5.2_2,claude-4.5_1,claude-4.5_2,claude-4.5_3,gemini-3-pro_1,mistral-large-3_1,grok_4.1_1_eval,gpt-5.2_1_eval,gpt-5.2_2_eval,claude-4.5_1_eval,claude-4.5_2_eval,claude-4.5_3_eval,gemini-3-pro_1_eval,mistral-large-3_1_eval
"51, 52, 53, 54, 55, 56, 57, 58, 59, 60",1,"[""a(n) = n + 50 for n=1..10""]","[""a_n = n + 50""]","[""a(n) = n + 50"", ""a(n) = 50 + n for n=1..10""]","[""n + 50""]","[""a_n = n + 50, n ‚belongs to [1,10]""]",a(n) = n + 50 for n=1..10,a_n = n + 50,*not found,a(n) = n + 50,a(n) = 50 + n for n=1..10,*not found,n + 50,"a_n = n + 50, n ‚belongs to [1,10]","51, 52, 53, 54, 55, 56, 57, 58, 59, 60","51, 52, 53, 54, 55, 56, 57, 58, 59, 60",*not found,"51, 52, 53, 54, 55, 56, 57, 58, 59, 60","50, 51, 52, 53, 54, 55, 56, 57, 58, 59",*not found,"51, 52, 53, 54, 55, 56, 57, 58, 59, 60","51, 52, 53, 54, 55, 56, 57, 58, 59, 60"
"61, 62, 63, 64, 65, 66, 67, 68, 69, 70",1,"[""a(n) = n + 60 for n=1..10""]","[""a_n = n + 60""]","[""a(n) = n + 60"", ""a(n) = 60 + n for n=1..10""]","[""n + 60""]","[""a_n = n + 60, n ‚belongs to [1,10]""]",a(n) = n + 60 for n=1..10,a_n = n + 60,*not found,a(n) = n + 60,a(n) = 60 + n for n=1..10,*not found,n + 60,"a_n = n + 60, n ‚belongs to [1,10]","61, 62, 63, 64, 65, 66, 67, 68, 69, 70","61, 62, 63, 64, 65, 66, 67, 68, 69, 70",*not found,"61, 62, 63, 64, 65, 66, 67, 68, 69, 70","60, 61, 62, 63, 64, 65, 66, 67, 68, 69",*not found,"61, 62, 63, 64, 65, 66, 67, 68, 69, 70","61, 62, 63, 64, 65, 66, 67, 68, 69, 70"
"71, 72, 73, 74, 75, 76, 77, 78, 79, 80",1,"[""a(n) = n + 70 for n=1..10""]","[""a_n = n + 70""]","[""a(n) = n + 70"", ""a(n) = 70 + n for n=1..10""]","[""n + 70""]","[""a_n = n + 70, n ‚belongs to [1,10]""]",a(n) = n + 70 for n=1..10,a_n = n + 70,*not found,a(n) = n + 70,a(n) = 70 + n for n=1..10,*not found,n + 70,"a_n = n + 70, n ‚belongs to [1,10]","71, 72, 73, 74, 75, 76, 77, 78, 79, 80","71, 72, 73, 74, 75, 76, 77, 78, 79, 80",*not found,"71, 72, 73, 74, 75, 76, 77, 78, 79, 80","70, 71, 72, 73, 74, 75, 76, 77, 78, 79",*not found,"71, 72, 73, 74, 75, 76, 77, 78, 79, 80","71, 72, 73, 74, 75, 76, 77, 78, 79, 80"
"81, 82, 83, 84, 85, 86, 87, 88, 89, 90",1,"[""a(n) = n + 80 for n=1..10""]","[""a_n = n + 80""]","[""a(n) = n + 80"", ""a(n) = 80 + n for n=1..10""]","[""n + 80""]","[""a_n = n + 80, n ‚belongs to [1,10]""]",a(n) = n + 80 for n=1..10,a_n = n + 80,*not found,a(n) = n + 80,a(n) = 80 + n for n=1..10,*not found,n + 80,"a_n = n + 80, n ‚belongs to [1,10]","81, 82, 83, 84, 85, 86, 87, 88, 89, 90","81, 82, 83, 84, 85, 86, 87, 88, 89, 90",*not found,"81, 82, 83, 84, 85, 86, 87, 88, 89, 90","80, 81, 82, 83, 84, 85, 86, 87, 88, 89",*not found,"81, 82, 83, 84, 85, 86, 87, 88, 89, 90","81, 82, 83, 84, 85, 86, 87, 88, 89, 90"
"91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,"[""a(n) = n + 90 for n=1..10""]","[""a_n = n + 90""]","[""a(n) = n + 90"", ""a(n) = 90 + n for n=1..10""]","[""n + 90""]","[""a_n = n + 90, n ‚belongs to [1,10]""]",a(n) = n + 90 for n=1..10,a_n = n + 90,*not found,a(n) = n + 90,a(n) = 90 + n for n=1..10,*not found,n + 90,"a_n = n + 90, n ‚belongs to [1,10]","91, 92, 93, 94, 95, 96, 97, 98, 99, 100","91, 92, 93, 94, 95, 96, 97, 98, 99, 100",*not found,"91, 92, 93, 94, 95, 96, 97, 98, 99, 100","90, 91, 92, 93, 94, 95, 96, 97, 98, 99",*not found,"91, 92, 93, 94, 95, 96, 97, 98, 99, 100","91, 92, 93, 94, 95, 96, 97, 98, 99, 100"
"101, 102, 103, 104, 105, 106, 107, 108, 109, 110",1,"[""a(n) = n + 100 for n=1..10""]","[""a_n = n + 100""]","[""a(n) = n + 100"", ""a(n) = 100 + n for n=1..10""]","[""n + 100""]","[""a_n = n + 100, n ‚belongs to [1,10]""]",a(n) = n + 100 for n=1..10,a_n = n + 100,*not found,a(n) = n + 100,a(n) = 100 + n for n=1..10,*not found,n + 100,"a_n = n + 100, n ‚belongs to [1,10]","101, 102, 103, 104, 105, 106, 107, 108, 109, 110","101, 102, 103, 104, 105, 106, 107, 108, 109, 110",*not found,"101, 102, 103, 104, 105, 106, 107, 108, 109, 110","100, 101, 102, 103, 104, 105, 106, 107, 108, 109",*not found,"101, 102, 103, 104, 105, 106, 107, 108, 109, 110","101, 102, 103, 104, 105, 106, 107, 108, 109, 110"
"111, 112, 113, 114, 115, 116, 117, 118, 119, 120",1,"[""a(n) = n + 110 for n=1..10""]","[""a_n = n + 110""]","[""a(n) = n + 110"", ""a(n) = 110 + n for n=1..10""]","[""n + 110""]","[""a_n = n + 110, n ‚belongs to [1,10]""]",a(n) = n + 110 for n=1..10,a_n = n + 110,*not found,a(n) = n + 110,a(n) = 110 + n for n=1..10,*not found,n + 110,"a_n = n + 110, n ‚belongs to [1,10]","111, 112, 113, 114, 115, 116, 117, 118, 119, 120","111, 112, 113, 114, 115, 116, 117, 118, 119, 120",*not found,"111, 112, 113, 114, 115, 116, 117, 118, 119, 120","110, 111, 112, 113, 114, 115, 116, 117, 118, 119",*not found,"111, 112, 113, 114, 115, 116, 117, 118, 119, 120","111, 112, 113, 114, 115, 116, 117, 118, 119, 120"
"121, 122, 123, 124, 125, 126, 127, 128, 129, 130",1,"[""a(n) = n + 120 for n=1..10""]","[""a_n = n + 120""]","[""a(n) = n + 120"", ""a(n) = 120 + n for n=1..10""]","[""n + 120""]","[""a_n = n + 120, n ‚belongs to [1,10]""]",a(n) = n + 120 for n=1..10,a_n = n + 120,*not found,a(n) = n + 120,a(n) = 120 + n for n=1..10,*not found,n + 120,"a_n = n + 120, n ‚belongs to [1,10]","121, 122, 123, 124, 125, 126, 127, 128, 129, 130","121, 122, 123, 124, 125, 126, 127, 128, 129, 130",*not found,"121, 122, 123, 124, 125, 126, 127, 128, 129, 130","120, 121, 122, 123, 124, 125, 126, 127, 128, 129",*not found,"121, 122, 123, 124, 125, 126, 127, 128, 129, 130","121, 122, 123, 124, 125, 126, 127, 128, 129, 130"
"131, 132, 133, 134, 135, 136, 137, 138, 139, 140",1,"[""a(n) = n + 130 for n=1..10""]","[""a_n = n + 130""]","[""a(n) = n + 130"", ""a(n) = 130 + n for n=1..10""]","[""n + 130""]","[""a_n = n + 130, n ‚belongs to [1,10]""]",a(n) = n + 130 for n=1..10,a_n = n + 130,*not found,a(n) = n + 130,a(n) = 130 + n for n=1..10,*not found,n + 130,"a_n = n + 130, n ‚belongs to [1,10]","131, 132, 133, 134, 135, 136, 137, 138, 139, 140","131, 132, 133, 134, 135, 136, 137, 138, 139, 140",*not found,"131, 132, 133, 134, 135, 136, 137, 138, 139, 140","130, 131, 132, 133, 134, 135, 136, 137, 138, 139",*not found,"131, 132, 133, 134, 135, 136, 137, 138, 139, 140","131, 132, 133, 134, 135, 136, 137, 138, 139, 140"
"141, 142, 143, 144, 145, 146, 147, 148, 149, 150",1,"[""a(n) = n + 140 for n=1..10""]","[""a_n = n + 140""]","[""a(n) = n + 140"", ""a(n) = 140 + n for n=1..10""]","[""n + 140""]","[""a_n = n + 140, n ‚belongs to [1,10]""]",a(n) = n + 140 for n=1..10,a_n = n + 140,*not found,a(n) = n + 140,a(n) = 140 + n for n=1..10,*not found,n + 140,"a_n = n + 140, n ‚belongs to [1,10]","141, 142, 143, 144, 145, 146, 147, 148, 149, 150","141, 142, 143, 144, 145, 146, 147, 148, 149, 150",*not found,"141, 142, 143, 144, 145, 146, 147, 148, 149, 150","140, 141, 142, 143, 144, 145, 146, 147, 148, 149",*not found,"141, 142, 143, 144, 145, 146, 147, 148, 149, 150","141, 142, 143, 144, 145, 146, 147, 148, 149, 150"
"151, 152, 153, 154, 155, 156, 157, 158, 159, 160",1,"[""a(n) = n + 150 for n=1..10""]","[""a_n = n + 150""]","[""a(n) = n + 150"", ""a(n) = 150 + n for n=1..10""]","[""n + 150""]","[""a_n = n + 150, n ‚belongs to [1,10]""]",a(n) = n + 150 for n=1..10,a_n = n + 150,*not found,a(n) = n + 150,a(n) = 150 + n for n=1..10,*not found,n + 150,"a_n = n + 150, n ‚belongs to [1,10]","151, 152, 153, 154, 155, 156, 157, 158, 159, 160","151, 152, 153, 154, 155, 156, 157, 158, 159, 160",*not found,"151, 152, 153, 154, 155, 156, 157, 158, 159, 160","150, 151, 152, 153, 154, 155, 156, 157, 158, 159",*not found,"151, 152, 153, 154, 155, 156, 157, 158, 159, 160","151, 152, 153, 154, 155, 156, 157, 158, 159, 160"
"161, 162, 163, 164, 165, 166, 167, 168, 169, 170",1,"[""a(n) = n + 160 for n=1..10""]","[""a_n = n + 160""]","[""a(n) = n + 160"", ""a(n) = 160 + n for n=1..10""]","[""n + 160""]","[""a_n = n + 160, n ‚belongs to [1,10]""]",a(n) = n + 160 for n=1..10,a_n = n + 160,*not found,a(n) = n + 160,a(n) = 160 + n for n=1..10,*not found,n + 160,"a_n = n + 160, n ‚belongs to [1,10]","161, 162, 163, 164, 165, 166, 167, 168, 169, 170","161, 162, 163, 164, 165, 166, 167, 168, 169, 170",*not found,"161, 162, 163, 164, 165, 166, 167, 168, 169, 170","160, 161, 162, 163, 164, 165, 166, 167, 168, 169",*not found,"161, 162, 163, 164, 165, 166, 167, 168, 169, 170","161, 162, 163, 164, 165, 166, 167, 168, 169, 170"
"171, 172, 173, 174, 175, 176, 177, 178, 179, 180",1,"[""a(n) = n + 170 for n=1..10""]","[""a_n = n + 170""]","[""a(n) = n + 170"", ""a(n) = 170 + n for n=1..10""]","[""n + 170""]","[""a_n = n + 170, n ‚belongs to [1,10]""]",a(n) = n + 170 for n=1..10,a_n = n + 170,*not found,a(n) = n + 170,a(n) = 170 + n for n=1..10,*not found,n + 170,"a_n = n + 170, n ‚belongs to [1,10]","171, 172, 173, 174, 175, 176, 177, 178, 179, 180","171, 172, 173, 174, 175, 176, 177, 178, 179, 180",*not found,"171, 172, 173, 174, 175, 176, 177, 178, 179, 180","170, 171, 172, 173, 174, 175, 176, 177, 178, 179",*not found,"171, 172, 173, 174, 175, 176, 177, 178, 179, 180","171, 172, 173, 174, 175, 176, 177, 178, 179, 180"
"181, 182, 183, 184, 185, 186, 187, 188, 189, 190",1,"[""a(n) = n + 180 for n=1..10""]","[""a_n = n + 180""]","[""a(n) = n + 180"", ""a(n) = 180 + n for n=1..10""]","[""n + 180""]","[""a_n = n + 180, n ‚belongs to [1,10]""]",a(n) = n + 180 for n=1..10,a_n = n + 180,*not found,a(n) = n + 180,a(n) = 180 + n for n=1..10,*not found,n + 180,"a_n = n + 180, n ‚belongs to [1,10]","181, 182, 183, 184, 185, 186, 187, 188, 189, 190","181, 182, 183, 184, 185, 186, 187, 188, 189, 190",*not found,"181, 182, 183, 184, 185, 186, 187, 188, 189, 190","180, 181, 182, 183, 184, 185, 186, 187, 188, 189",*not found,"181, 182, 183, 184, 185, 186, 187, 188, 189, 190","181, 182, 183, 184, 185, 186, 187, 188, 189, 190"
"191, 192, 193, 194, 195, 196, 197, 198, 199, 200",1,"[""a(n) = n + 190 for n=1..10""]","[""a_n = n + 190""]","[""a(n) = n + 190"", ""a(n) = 190 + n for n=1..10""]","[""n + 190""]","[""a_n = n + 190, n ‚belongs to [1,10]""]",a(n) = n + 190 for n=1..10,a_n = n + 190,*not found,a(n) = n + 190,a(n) = 190 + n for n=1..10,*not found,n + 190,"a_n = n + 190, n ‚belongs to [1,10]","191, 192, 193, 194, 195, 196, 197, 198, 199, 200","191, 192, 193, 194, 195, 196, 197, 198, 199, 200",*not found,"191, 192, 193, 194, 195, 196, 197, 198, 199, 200","190, 191, 192, 193, 194, 195, 196, 197, 198, 199",*not found,"191, 192, 193, 194, 195, 196, 197, 198, 199, 200","191, 192, 193, 194, 195, 196, 197, 198, 199, 200"
"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",2,"[""primes""]","[""a_n = p_n (nth prime)""]","[""a(n) = nth prime number"", ""a(n) = p_n where p_n is the nth prime""]","[""prime(n)""]","[""Prime numbers: a_n = p_n, n ‚belongs to [1,10]""]",primes,a_n = p_n (nth prime),*not found,a(n) = nth prime number,a(n) = p_n where p_n is the nth prime,*not found,prime(n),"Prime numbers: a_n = p_n, n ‚belongs to [1,10]","2, 3, 5, 7, 11, 13, 17, 19, 23, 29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29",*not found,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29",*not found,"2, 3, 5, 7, 11, 13, 17, 19, 23, 29","2, 3, 5, 7, 11, 13, 17, 19, 23, 29"
