sequence,complexity,chatgpt-4o,gpt-4o-mini,gemini-1.5-advanced,gemini-thinking,claude-3.5-sonnet,chatgpt-o1,mistral,meta,o1-mini,cursor_small,grok,qwen,deepseek,grok-3,chatgpt-4.5,claude_3.7,deepseek_r1_0525,llama_4_scout,qwen3,chatgpt_5,grok_4,opus_4,mistral_large2405,gemini_2.5_pro,claude_sonnet_4,grok-4.1,chatgpt-5.2,claude-4.5,gemini-3-pro,mistral-large-3
"51, 52, 53, 54, 55, 56, 57, 58, 59, 60",1,n+50,n+50,n+50,"a_n = n + 40, for n >= 1",n+50,n+50,n+40,lambda n: n + 40,n+50,n + 40,a_n = n + 51,"n + 40 for n in range(1, 11)",a_n = n + 40,n+40,n + 40,n+50,a_n = n + 40,n + 40,n + 40,n+40,40 + n,n + 40,n + 40,n + 40,n + 40,n + 40,n + 40,n + 40,n + 40,n + 40
"61, 62, 63, 64, 65, 66, 67, 68, 69, 70",1,n+60,n+60,n+60,"a_n = n + 50, for n >= 1",n+60,n+60,n+50,lambda n: n + 50,n+60,n + 50,a_n = n + 61,"n + 50 for n in range(1, 11)",a_n = n + 50,n+50,n + 50,n+60,a_n = n + 50,n + 50,n + 50,n+50,50 + n,n + 50,n + 50,n + 50,n + 50,n + 50,n + 50,n + 50,n + 50,n + 50
"71, 72, 73, 74, 75, 76, 77, 78, 79, 80",1,n+70,n+70,n+70,"a_n = n + 60, for n >= 1",n+70,n+70,n+60,lambda n: n + 60,n+70,n + 60,a_n = n + 71,"n + 60 for n in range(1, 11)",a_n = n + 60,n+60,n + 60,n+70,a_n = n + 60,n + 60,n + 60,n+60,60 + n,n + 60,n + 60,n + 60,n + 60,n + 60,n + 60,n + 60,n + 60,n + 60
"81, 82, 83, 84, 85, 86, 87, 88, 89, 90",1,n+80,n+80,n+80,"a_n = n + 70, for n >= 1",n+80,n+80,n+70,lambda n: n + 70,n+80,n + 70,a_n = n + 81,"n + 70 for n in range(1, 11)",a_n = n + 70,n+70,n + 70,n+80,a_n = n + 70,n + 70,n + 70,n+70,70 + n,n + 70,n + 70,n + 70,n + 70,n + 70,n + 70,n + 70,n + 70,n + 70
"91, 92, 93, 94, 95, 96, 97, 98, 99, 100",1,n+90,n+90,n+90,"a_n = n + 80, for n >= 1",n+90,n+90,n+80,lambda n: n + 80,n+90,n + 80,a_n = n + 91,"n + 80 for n in range(1, 11)",a_n = n + 80,n+80,n + 80,n+90,a_n = n + 80,n + 80,n + 80,n+80,80 + n,n + 80,n + 80,n + 80,n + 80,n + 80,n + 80,n + 80,n + 80,n + 80
"101, 102, 103, 104, 105, 106, 107, 108, 109, 110",1,n+100,n+100,n+100,"a_n = n + 90, for n >= 1",n+100,n+100,n+90,lambda n: n + 90,n+100,n + 90,a_n = n + 101,"n + 90 for n in range(1, 11)",a_n = n + 90,n+90,n + 90,n+100,a_n = n + 90,n + 90,n + 90,n+90,90 + n,n + 90,n + 90,n + 90,n + 90,n + 90,n + 90,n + 90,n + 90,n + 90
"111, 112, 113, 114, 115, 116, 117, 118, 119, 120",1,n+110,n+110,n+110,"a_n = n + 100, for n >= 1",n+110,n+110,n+100,lambda n: 100 + n,n+110,n + 100,a_n = n + 111,"n + 100 for n in range(1, 11)",a_n = n + 100,n+100,n + 100,n+110,a_n = n + 100,n + 100,n + 100,n+100,100 + n,n + 100,n + 100,n + 100,n + 100,n + 100,n + 100,n + 100,n + 100,n + 100
"121, 122, 123, 124, 125, 126, 127, 128, 129, 130",1,n+120,n+120,n+120,"a_n = n + 110, for n >= 1",n+120,n+120,n+110,lambda n: 110 + n,n+120,n + 110,a_n = n + 121,"n + 110 for n in range(1, 11)",a_n = n + 110,n+110,n + 110,n+120,a_n = n + 110,n + 110,n + 110,n+110,110 + n,n + 110,n + 110,n + 110,n + 110,n + 110,n + 110,n + 110,n + 110,n + 110
"131, 132, 133, 134, 135, 136, 137, 138, 139, 140",1,n+130,n+130,n+130,"a_n = n + 120, for n >= 1",n+130,n+130,n+120,lambda n: 120 + n,n+130,n + 120,a_n = n + 131,"n + 120 for n in range(1, 11)",a_n = n + 120,n+120,n + 120,n+130,a_n = n + 120,n + 120,n + 120,n+120,120 + n,n + 120,n + 120,n + 120,n + 120,n + 120,n + 120,n + 120,n + 120,n + 120
"141, 142, 143, 144, 145, 146, 147, 148, 149, 150",1,n+140,n+140,n+140,"a_n = n + 130, for n >= 1",n+140,n+140,n+130,lambda n: 130 + n,n+140,n + 130,a_n = n + 141,"n + 130 for n in range(1, 11)",a_n = n + 130,n+130,n + 130,n+140,a_n = n + 130,n + 130,n + 130,n+130,130 + n,n + 130,n + 130,n + 130,n + 130,n + 130,n + 130,n + 130,n + 130,n + 130
"151, 152, 153, 154, 155, 156, 157, 158, 159, 160",1,n+150,n+150,n+150,"a_n = n + 140, for n >= 1",n+150,n+150,n+140,lambda n: 140 + n,n+150,n + 140,a_n = n + 151,"n + 140 for n in range(1, 11)",a_n = n + 140,n+140,n + 140,n+150,a_n = n + 140,n + 140,n + 140,n+140,140 + n,n + 140,n + 140,n + 140,n + 140,n + 140,n + 140,n + 140,n + 140,n + 140
"161, 162, 163, 164, 165, 166, 167, 168, 169, 170",1,n+160,n+160,n+160,"a_n = n + 150, for n >= 1",n+160,n+160,n+150,lambda n: 150 + n,n+160,n + 150,a_n = n + 161,"n + 150 for n in range(1, 11)",a_n = n + 150,n+150,n + 150,n+160,a_n = n + 150,n + 150,n + 150,n+150,150 + n,n + 150,n + 150,n + 150,n + 150,n + 150,n + 150,n + 150,n + 150,n + 150
"171, 172, 173, 174, 175, 176, 177, 178, 179, 180",1,n+170,n+170,n+170,"a_n = n + 160, for n >= 1",n+170,n+170,n+160,lambda n: 160 + n,n+170,n + 160,a_n = n + 171,"n + 160 for n in range(1, 11)",a_n = n + 160,n+160,n + 160,n+170,a_n = n + 160,n + 160,n + 160,n+160,160 + n,n + 160,n + 160,n + 160,n + 160,n + 160,n + 160,n + 160,n + 160,n + 160
"181, 182, 183, 184, 185, 186, 187, 188, 189, 190",1,n+180,n+180,n+180,"a_n = n + 170, for n >= 1",n+180,n+180,n+170,lambda n: 170 + n,n+180,n + 170,a_n = n + 181,"n + 170 for n in range(1, 11)",a_n = n + 170,n+170,n + 170,n+180,a_n = n + 170,n + 170,n + 170,n+170,170 + n,n + 170,n + 170,n + 170,n + 170,n + 170,n + 170,n + 170,n + 170,n + 170
"191, 192, 193, 194, 195, 196, 197, 198, 199, 200",1,n+190,n+190,n+190,"a_n = n + 180, for n >= 1",n+190,n+190,n+180,lambda n: 180 + n,n+190,n + 180,a_n = n + 191,"n + 180 for n in range(1, 11)",a_n = n + 180,n+180,n + 180,n+190,a_n = n + 180,n + 180,n + 180,n+180,180 + n,n + 180,n + 180,n + 180,n + 180,n + 180,n + 180,n + 180,n + 180,n + 180
"2, 3, 5, 7, 11, 13, 17, 19, 23, 29",2,Prime(n),Prime(n),nth prime number,"a_n = n + 190, for n >= 1",Prime(n),***,n+190,lambda n: 190 + n,***,n + 190,a_n = nth prime number,"n + 190 for n in range(1, 11)",a_n = n + 190,n+190,n + 190,Prime(n),a_n = n + 190,n + 190,n + 190,n+190,190 + n,n + 190,n + 190,n + 190,n + 190,n + 190,n + 190,n + 190,n + 190,n + 190
"1, 1, 2, 3, 5, 8, 13, 21, 34, 55",2,Fib(n),Fib(n),Fibonacci sequence,"a_n is the n-th prime number, for n >= 1",Fibonacci(n),f(n)=f(n-1)+f(n-2),F(n+2),"lambda n: nth_prime(n+1) for nth_prime in [lambda n: nth_prime_aux(n, i) for i in range(100)]",F(n) = F(n-1) + F(n-2),prime(n),a_n = Fibonacci(n),"nth_prime(n) for n in range(1, 11)",a_n = nth prime number,prime numbers,***,Fibonacci(n),a_n = nth prime number,n + 200,prime(n),prime(n),prime(n),prime(n),prime(n),prime(n),nth prime,prime(n),prime(n),prime(n),prime(n),prime(n)
"1, 2, 4, 8, 16, 32, 64, 128, 256, 512",2,2^n,2^n,2^n,"a_n = F_n, where F_n is the n-th Fibonacci number, with F_1 = 1, F_2 = 1",2^(n-1),2^(n-1),2^n,"lambda n: fib(n+1) for fib in [lambda n: fib_aux(n, i) for i in range(100)]",2^n,fibonacci(n),a_n = 2^(n-1),"fibonacci(n) for n in range(1, 11)",a_n = Fibonacci sequence,"F(n) = F(n-1) + F(n-2) with F(1) = 1, F(2) = 1",Fibonacci(n),2^(n-1),a_n = Fibonacci sequence,prime(n),fibonacci(n),fibonacci(n),"a_n = a_(n-1) + a_(n-2), a_1 = 1, a_2 = 1",a_n = a_(n-1) + a_(n-2),fibonacci(n),fibonacci(n),a_n = a_(n-1) + a_(n-2),fibonacci(n),Fibonacci(n),F(n),fibonacci(n),"fibonacci(n) where fibonacci(1)=1, fibonacci(2)=1"
"1, 3, 9, 27, 81, 243, 729, 2187, 6561, 19683",2,3^n,3^n,3^n,"a_n = 2^(n-1), for n >= 1",3^(n-1),3^(n-1),3^n,lambda n: 2**n,3^n,2^n,a_n = 3^(n-1),"2**(n-1) for n in range(1, 11)",a_n = 2^{n-1},2^n,2^(n-1),3^(n-1),a_n = 2^{n-1},"a_n = a_(n-1) + a_(n-2), a_1 = 1, a_2 = 1",2^(n - 1),2^(n-1),2^(n-1),2^(n-1),2^(n-1),2^(n-1),2^(n-1),2^{n-1},2^(n-1),2^(n-1),2^(n-1),2^(n-1)
"1, 4, 9, 16, 25, 36, 49, 64, 81, 100",2,n^2,n^2,n^2,"a_n = 3^(n-1), for n >= 1",n^2,n_,n^2,lambda n: 3**n,n^2,3^n,a_n = n^2,"3**(n-1) for n in range(1, 11)",a_n = 3^{n-1},3^n,3^(n-1),n^2,a_n = 3^{n-1},2^(n-1),3^(n - 1),3^(n-1),3^(n-1),3^(n-1),3^(n-1),3^(n-1),3^(n-1),3^{n-1},3^(n-1),3^(n-1),3^(n-1),3^(n-1)
"1, 8, 27, 64, 125, 216, 343, 512, 729, 1000",2,n^3,n^3,n^3,"a_n = n^2, for n >= 1",n^3,n_,n^3,lambda n: n**2,n^3,n^2,a_n = n^3,"n2 for n in range(1, 11)",a_n = n^2,n^2,n^2,n^3,a_n = n^2,3^(n-1),n^2,n^2,n^2,n^2,n^2,n^2,n^2,n^2,n^2,n^2,n^2,n^2
"1, 1, 2, 6, 24, 120, 720, 5040, 40320, 362880",2,n!,n!,n factorial,"a_n = n^3, for n >= 1",n!,n!,n!,lambda n: n**3,n!,n^3,a_n = n!,"n 3 for n in range(1, 11)",a_n = n^3,n^3,n^3,n!,a_n = n^3,n^2,n^3,n^3,n^3,n^3,n^3,n^3,n^3,n^3,n^3,n^3,n^3,n^3
"1, 3, 6, 10, 15, 21, 28, 36, 45, 55",2,n(n+1)/2,n(n+1)/2,n*(n+1)/2,"a_n = n!, for n >= 1",n(n+1)/2,n(n+1)/2,n*(n+1)/2,lambda n: math.factorial(n),n(n+1)/2,n!,a_n = n*(n+1)/2,"factorial(n) for n in range(1, 11)",a_n = n!,n!,n!,n(n+1)/2,a_n = n!,n^3,(n - 1)!,factorial(n-1),n!,(n-1)!,n!,(n-1)!,n!,n!,n!,n!,(n-1)!,n!
"2, 1, 3, 4, 7, 11, 18, 29, 47, 76",2,"2, 1, 3, 4, 7, 11, 18, 29, 47, 76","2, 1, 3, 4, 7, 11, 18, 29, 47, 76",***,"a_n = n(n+1)/2, for n >= 1",Fibonacci(n+1)�+ Fibonacci(n-1),***,2*F(n)-1,lambda n: n*(n+1)//2,"2, 1, 3, 4, 7, 11, 18, 29, 47, 76",n(n + 1)/2,a_n = Lucas(n),"n*(n+1)//2 for n in range(1, 11)",a_n = triangular numbers,n(n+1)/2,n(n+1)/2,Fibonacci(n+1)�+ Fibonacci(n-1),a_n = triangular numbers,n!,n*(n + 1)/2,n(n+1)/2,n*(n+1)/2,n(n+1)/2,n(n+1)/2,n*(n+1)/2,n*(n+1)/2,n*(n+1)/2,n*(n+1)/2,n*(n+1)/2,n*(n+1)/2,n*(n+1)/2
"0, 1, 2, 5, 12, 29, 70, 169, 408, 985",2,"0, 1, 2, 5, 12, 29, 70, 169, 408, 985","0, 1, 2, 5, 12, 29, 70, 169, 408, 985",***,"a_1 = 2, a_2 = 1, a_n = a_{n-1} + a_{n-2} for n > 2",a(n) = a(n-1)�+ a(n-2)�+�1 a(0) =�0 a(1) = 1,***,C(n),lambda n: fib(n+1) + fib(n-1) if n > 1 else 1,"0, 1, 2, 5, 12, 29, 70, 169, 408, 985",a(n) = a(n-1) + a(n-2) + 1,a_n = Padovan(n),"lucas(n) for n in range(1, 11)",a_n = Lucas sequence,"F(n) = F(n-1) + F(n-2) with F(1) = 2, F(2) = 1",Fibonacci(n+1) - 1,a(n) = a(n-1)�+ a(n-2)�+�1 a(0) =�0 a(1) = 1,a_n = Lucas sequence,n*(n+1)/2,lucas(n),"a_n = a_{n-1} + a_{n-2}, a_1=2, a_2=1","a_n = a_(n-1) + a_(n-2), a_1 = 2, a_2 = 1",a_n = a_(n-1) + a_(n-2),***,lucas(n-1),a_n = a_(n-1) + a_(n-2),fibonacci(n+1),Fibonacci(n+2),F(n-1) + F(n),Lucas(n-1),"a(n) = a(n-1) + a(n-2) with a(1)=2, a(2)=1"
"1, 4, 27, 256, 3125, 46656, 823543, 16777216, 387420489, 10000000000",2,n^n,n^n,10^n,"a_1 = 0, a_2 = 1, a_n = 2*a_{n-1} + a_{n-2} for n > 2",n^n,n^n,n^n,lambda n: fib(n+2) - fib(n) if n > 0 else 0,n^n,a(n) = a(n-1) + a(n-2) + 1,a_n = n^n,"pell(n) for n in range(1, 11)",a_n = Pell numbers,"F(n) = 2F(n-1) + 3F(n-2) with F(1) = 0, F(2) = 1",Fibonacci(2n-1),n^n,a_n = Pell numbers,"a_n = a_(n-1) + a_(n-2), a_1 = 2, a_2 = 1",pell(n),"a_n = 2a_{n-1} + a_{n-2}, a_1=0, a_2=1","a_n = 2*a_(n-1) + a_(n-2), a_1 = 0, a_2 = 1",a_n = 2*a_(n-1) + a_(n-2),***,pell(n-1),a_n = 2*a_(n-1) + a_(n-2),***,n^n - n,"a(n) = 2*a(n-1) + a(n-2), a(1)=0, a(2)=1",Pell(n-1),"a(n) = 2*a(n-1) + a(n-2) with a(1)=0, a(2)=1"
"1, 2, 6, 20, 70, 252, 924, 3432, 12870, 48620",2,C(2nn),C(2nn),n!/(2^(n/2)*(n/2)!),"a_n = n^n, for n >= 1",(2n)! / (n!�n!),"C(2n,n)","C(2*n,n)",lambda n: n**n,C(2nn),n^n,"a_n = binomial coefficient (2n,n)","nn for n in range(1, 11)",a_n = n^n,n^n,n^n,(2n)! / (n!�n!),a_n = n^n,"a_n = 2*a_(n-1) + a_(n-2), a_1 = 0, a_2 = 1",n^n,n^n,n^n,n^n,n^5,n^n,n^n,n^n,n^(n+1),n^n,n^n,n^n
"4, 6, 9, 10, 14, 15, 21, 22, 25, 26",2,"4, 6, 9, 10, 14, 15, 21, 22, 25, 26","4, 6, 9, 10, 14, 15, 21, 22, 25, 26",nth prime number,"a_n = C(2n, n) / (n+1), where C is the binomial coefficient","4, 6, 9, 10, 14, 15, 21, 22, 25, 26",***,2*n,"lambda n: comb(n+2, 2)","4, 6, 9, 10, 14, 15, 21, 22, 25, 26","binomial(n, 2)",a_n = (n^2 + n + 2) / 2 if n is even else (n^2 + n + 1) / 2,"catalan(n) for n in range(1, 11)",a_n = central binomial coefficients,"C(n+1,2)","binomial coefficient: C(2n, n)","4,6,9,10,14,15,21,22,25,26",a_n = central binomial coefficients,n^n,"binomial(2*n - 2, n - 1)","binomial(2(n-1), n-1)","binomial(n+1, 2)","C(2n-2,n-1)",n(n+1)(n+2)/6,"binomial(2*(n-1), n-1)","C(n+2,3)","binomial(2*n, n)","binomial(2*n,n)/(n+1)","C(2n,n)/(n+1)","binomial(2*(n-1), n-1)","C(2n, n)/(n+1)"
"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010",2,"1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010","1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010",***,"a_n is the n-th prime number, for n >= 1","1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010",***,n+4,"lambda n: nth_prime(n+1) for nth_prime in [lambda n: nth_prime_aux(n, i) for i in range(100)]","1, 10, 11, 100, 101, 110, 111, 1000, 1001, 1010",prime(n),a_n = binary representation of n with each binary digit separated by 0,"nth_prime(n) for n in range(1, 11)",a_n = nth prime number,prime numbers,***,"1,10,11,100,101,110,111,1000,1001,1010",a_n = nth prime number,"binomial(n+1, 2)",prime(n),prime(n),prime(n),prime(n),prime(n),prime(n),nth prime,prime(n),prime(n),prime(n),prime(n),prime(n)
"0, 1, 81, 512, 2401, 4913, 5832, 17576, 19683, 234256",2,"0, 1, 81, 512, 2401, 4913, 5832, 17576, 19683, 234256","0, 1, 81, 512, 2401, 4913, 5832, 17576, 19683, 234256",***,***,"0, 1, 81, 512, 2401, 4913, 5832, 17576, 19683, 234256",***,2^n-1,lambda n: int(bin(n)[2:]),"0, 1, 81, 512, 2401, 4913, 5832, 17576, 19683, 234256",n^2 - n + 2,a_n = n^4 if n is even else (n+1)^4,"semiprime(n) for n in range(1, 11)",a_n = semiprimes,***,***,"0,1,81,512,2401,4913,5832,17576,19683,234256",a_n = semiprimes,"a_n = a_(n-1) + a_(n-2) + a_(n-3), a_1 = 1, a_2 = 2, a_3 = 5",semiprime(n),semiprime(n),***,composite(n),***,semiprime(n),***,***,***,***,semiprime(n),numbers of form p or p+2 where p is prime
"1, 2, 145, 40585",2,"1, 2, 145, 40585","1, 2, 145, 40585",***,Representation of n in binary,"1, 2, 145, 40585",***,n^2+1,lambda n: (n+1)4 - n4,"1, 2, 145, 40585",2^n,"a_n = 1 if n = 1, 2 if n = 2, 145 if n = 3, 40585 if n = 4","binary_representation(n) for n in range(1, 11)",a_n = binary numbers interpreted as decimal,***,***,"1,2,145,40585",a_n = binary numbers interpreted as decimal,"a_n = 2*a_(n-1) + a_(n-2), a_1 = 1, a_2 = 4",***,numbers_with_digits_0_or_1(n),***,binary(n),***,binary(n),***,***,binary numbers in increasing order,***,binary(n),concatenation of powers of 10 and 10+1
"2, 5, 12, 20, 29, 39, 50, 62, 75, 89",2,"2, 5, 12, 20, 29, 39, 50, 62, 75, 89","2, 5, 12, 20, 29, 39, 50, 62, 75, 89",2^n-1,"a_n = n^(n+2), for n >= 0",n^2 +�1,***,n^4,lambda n: (n+1)! - n!,"2, 5, 12, 20, 29, 39, 50, 62, 75, 89",n^3,a_n = n^2 + n,"sum_of_cubes(n) for n in range(1, 11)",a_n = sum of digits of n^3,***,***,n^2 +�1,a_n = sum of digits of n^3,"a_n = a_(n-1) + 3*a_(n-2), a_1 = 2, a_2 = 3",***,***,***,***,***,***,***,***,***,***,n = sum_digits(n)^k,k^3 where k is not divisible by 10
"1, 8, 10, 18, 19, 100, 101, 108, 109, 110",2,"1, 8, 10, 18, 19, 100, 101, 108, 109, 110","1, 8, 10, 18, 19, 100, 101, 108, 109, 110",***,***,"1, 8, 10, 18, 19, 100, 101, 108, 109, 110",***,F(n+2),lambda n: n*2 + 1,2^n -1,n! = 1 + 2 + 145 + 40585,"a_n = 1 if n = 1, 8 if n = 2, 10 if n = 3, 18 if n = 4, 19 if n = 5, 100 if n = 6, 101 if n = 7, 108 if n = 8, 109 if n = 9, 110 if n = 10","factorion(n) for n in range(1, 5)",a_n = factorions,***,***,"1,8,10,18,19,100,101,108,109,110",a_n = factorions,"a_n = a_(n-1) + a_(n-2), a_1 = 0, a_2 = 1",***,factorion(n),***,factorion(n),***,***,***,***,***,***,n = sum(factorial(digits)),***
"3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911",2,2^n-1,"3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911",***,"a_1 = 2, a_n = a_{n-1} + n + 1",2^n�- 1,***,n*(n+1)/2,lambda n: 100n + digit_sum(n),"3, 7, 31, 127, 2047, 8191, 131071, 524287, 8388607, 536870911",n^2 - n + 2,a_n = 2^n - 1 (Mersenne numbers),"quadratic(n) for n in range(1, 11)",a_n = n^2 + n + 2,***,***,2^n�- 1,a_n = n^2 + n + 2,"a_n = 2*a_(n-1) + 2*a_(n-2), a_1 = 0, a_2 = 1",2^prime(n) - 1,***,n*(n+1)*(n+2)/6 - n,***,***,***,***,n^2 + n - 1,***,n^2/2 + 3*n/2 + 1,***,n^2 + n + 2
"1, 2, 4, 8, 16, 23, 28, 38, 58, 89",2,"1, 2, 4, 8, 16, 23, 28, 38, 58, 89","1, 2, 4, 8, 16, 23, 28, 38, 58, 89",***,***,"1, 2, 4, 8, 16, 23, 28, 38, 58, 89",***,2^n-1,lambda n: 2**(2n - 1) - 1,"1, 2, 4, 8, 16, 23, 28, 38, 58, 89",2^n - 2,a_n = 2^n if n <= 5 else a_n-1 + a_n-5,"decimal_palindrome(n) for n in range(1, 11)",a_n = numbers with digit sum 1 in base 9,***,***,"1,2,4,8,16,23,28,38,58,89",a_n = numbers with digit sum 1 in base 9,"a_n = 3*a_(n-1) - a_(n-2), a_1 = 1, a_2 = 3",***,***,***,***,***,***,***,***,2^(2^n - 1),***,"numbers with digits {0, 1, 8, 9}",numbers containing digit 8 or 1
