case,Measure,complexity,ChatGPT-4.5,ChatGPT-4o,ChatGPT-4o-Mini,ChatGPT-5,ChatGPT-5.2,Claude-3.5,Claude-3.7,Claude-4.5,Claude-Opus-4,Claude-Sonnet-4,Cursor-Small,DeepSeek,DeepSeek-R1-0528,Gemini,Gemini-2.5-Pro,Gemini-3-Pro,Grok-3,Grok-4,Grok-4.1,Llama-4-Scout,Meta,Mistral,Mistral-Large-2405,Mistral-Large-3,Qwen,Qwen-3,o1-Mini,o1-Preview
multiple formulae,Known sequence,2,28.0,32.0,15.0,11.0,7.0,8.0,12.0,35.0,16.0,11.0,9.0,39.0,13.0,13.0,6.0,9.0,16.0,6.0,13.0,39.0,14.0,0.0,21.0,21.0,15.0,18.0,8.0,4.0
multiple formulae,Known sequence,3,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple formulae,Not found,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple formulae,Not found,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple formulae,Not found,3,30.0,30.0,0.0,0.0,28.0,30.0,0.0,30.0,0.0,0.0,30.0,30.0,0.0,30.0,0.0,30.0,30.0,0.0,30.0,0.0,30.0,30.0,0.0,30.0,30.0,0.0,30.0,30.0
multiple formulae,Pure math,1,90.0,60.0,87.0,87.0,31.0,68.0,60.0,71.0,63.0,90.0,36.0,60.0,87.0,60.0,87.0,30.0,60.0,87.0,28.0,42.0,60.0,60.0,60.0,30.0,30.0,90.0,60.0,60.0
multiple formulae,Pure math,2,0.0,30.0,75.0,38.0,15.0,24.0,78.0,12.0,45.0,35.0,29.0,20.0,39.0,36.0,83.0,17.0,20.0,84.0,10.0,51.0,36.0,58.0,69.0,2.0,15.0,72.0,18.0,34.0
multiple formulae,Pure math,3,0.0,0.0,90.0,47.0,2.0,0.0,81.0,0.0,81.0,53.0,0.0,0.0,58.0,0.0,90.0,0.0,0.0,90.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0
multiple formulae,Valid Instances,1,90.0,60.0,90.0,87.0,31.0,68.0,90.0,71.0,78.0,90.0,36.0,60.0,87.0,60.0,90.0,30.0,60.0,90.0,30.0,90.0,60.0,60.0,90.0,30.0,30.0,90.0,60.0,60.0
multiple formulae,Valid Instances,2,28.0,62.0,90.0,49.0,22.0,32.0,90.0,47.0,61.0,46.0,38.0,59.0,52.0,49.0,89.0,26.0,60.0,90.0,23.0,90.0,50.0,58.0,90.0,23.0,30.0,90.0,26.0,38.0
multiple formulae,Valid Instances,3,0.0,0.0,90.0,47.0,2.0,0.0,90.0,0.0,81.0,53.0,0.0,30.0,58.0,0.0,90.0,0.0,0.0,90.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0,90.0,0.0,0.0
multiple script,Accuracy,1,0.0,100.0,53.333333333333336,12.5,66.66666666666666,100.0,23.333333333333332,100.0,11.666666666666666,13.333333333333336,100.0,100.0,31.11111111111111,67.77777777777777,35.55555555555556,0.0,0.0,51.66666666666666,43.333333333333336,16.666666666666664,0.0,100.0,16.666666666666664,100.0,0.0,0.0,88.88888888888889,83.33333333333333
multiple script,Accuracy,2,0.0,55.00000000000001,17.77777777777778,5.0,25.0,34.444444444444436,12.5,30.0,0.8333333333333334,4.666666666666667,40.0,58.333333333333336,11.111111111111112,36.66666666666667,11.111111111111112,0.0,0.0,10.0,11.11111111111111,5.555555555555555,0.0,53.333333333333336,7.777777777777778,26.666666666666668,0.0,5.555555555555555,28.888888888888893,20.0
multiple script,Accuracy,3,0.0,50.0,0.0,25.0,0.0,33.33333333333333,0.0,0.0,25.0,0.0,50.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0
multiple script,Equivalence,1,0.0,100.0,53.333333333333336,20.0,33.333333333333336,100.0,36.666666666666664,100.0,20.0,20.0,100.0,100.0,36.666666666666664,100.0,53.333333333333336,0.0,0.0,3.3333333333333335,30.0,20.0,0.0,100.0,20.0,100.0,0.0,0.0,100.0,66.66666666666667
multiple script,Equivalence,2,0.0,26.666666666666668,20.0,0.0,0.0,23.333333333333332,23.333333333333332,23.333333333333332,0.0,4.444444444444444,20.0,16.666666666666668,3.3333333333333335,10.0,13.333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,63.333333333333336,13.333333333333334,20.0,0.0,0.0,16.666666666666668,3.3333333333333335
multiple script,Equivalence,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Known sequence,1,0.0,0.0,0.0,24.0,0.0,0.0,19.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Known sequence,2,0.0,4.0,10.0,6.0,0.0,5.0,10.0,0.0,10.0,11.0,4.0,0.0,9.0,2.0,10.0,0.0,7.0,0.0,1.0,5.0,9.0,0.0,5.0,0.0,0.0,5.0,3.0,5.0
multiple script,Known sequence,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Not found,1,19.0,0.0,42.0,55.0,20.0,0.0,51.0,0.0,52.0,82.0,0.0,0.0,43.0,19.0,47.0,0.0,0.0,19.0,50.0,51.0,0.0,0.0,51.0,0.0,19.0,51.0,10.0,0.0
multiple script,Not found,2,81.0,8.0,65.0,81.0,38.0,38.0,86.0,55.0,83.0,102.0,9.0,7.0,62.0,29.0,49.0,3.0,15.0,45.0,59.0,81.0,1.0,0.0,77.0,56.0,16.0,77.0,47.0,22.0
multiple script,Not found,3,90.0,30.0,90.0,90.0,58.0,60.0,120.0,90.0,90.0,120.0,30.0,60.0,90.0,60.0,90.0,30.0,30.0,60.0,90.0,90.0,30.0,60.0,90.0,90.0,60.0,90.0,60.0,60.0
multiple script,Print,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0
multiple script,Print,2,0.0,20.0,0.0,0.0,2.0,19.0,5.0,13.0,0.0,0.0,13.0,30.0,1.0,30.0,4.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,8.0,4.0
multiple script,Print,3,0.0,30.0,0.0,30.0,0.0,30.0,0.0,0.0,30.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0
multiple script,Pure math,1,71.0,60.0,48.0,41.0,40.0,90.0,50.0,90.0,44.0,44.0,60.0,60.0,47.0,41.0,43.0,30.0,60.0,41.0,40.0,39.0,60.0,60.0,39.0,90.0,41.0,39.0,69.0,60.0
multiple script,Pure math,2,9.0,28.0,15.0,33.0,20.0,28.0,19.0,22.0,27.0,37.0,34.0,23.0,18.0,29.0,27.0,27.0,38.0,10.0,27.0,4.0,50.0,59.0,8.0,27.0,44.0,8.0,32.0,29.0
multiple script,Pure math,3,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Valid Instances,1,2.0,2.0,0.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,2.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,1.0,2.0,2.0
multiple script,Valid Instances,2,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
multiple script,Valid Instances,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
