model,complexity,measure,value
Claude-Sonnet-4,1,Known sequence,0.0
Cursor-Small,1,Known sequence,0.0
DeepSeek,1,Known sequence,0.0
DeepSeek-R1-0528,1,Known sequence,0.0
Gemini,1,Known sequence,0.0
Gemini-2.5-Pro,1,Known sequence,3.0
Gemini-3-Pro,1,Known sequence,0.0
Grok-3,1,Known sequence,0.0
Grok-4,1,Known sequence,3.0
Grok-4.1,1,Known sequence,2.0
Llama-4-Scout,1,Known sequence,48.0
Meta,1,Known sequence,0.0
Mistral,1,Known sequence,0.0
Mistral-Large-2405,1,Known sequence,30.0
Mistral-Large-3,1,Known sequence,0.0
Qwen,1,Known sequence,0.0
Qwen-3,1,Known sequence,0.0
o1-Mini,1,Known sequence,0.0
o1-Preview,1,Known sequence,0.0
ChatGPT-4.5,2,Known sequence,28.0
ChatGPT-4o,2,Known sequence,32.0
ChatGPT-4o-Mini,2,Known sequence,15.0
ChatGPT-5,2,Known sequence,11.0
ChatGPT-5.2,2,Known sequence,7.0
Claude-3.5,2,Known sequence,8.0
Claude-3.7,2,Known sequence,12.0
Claude-4.5,2,Known sequence,35.0
Claude-Opus-4,2,Known sequence,16.0
Claude-Sonnet-4,2,Known sequence,11.0
Cursor-Small,2,Known sequence,9.0
DeepSeek,2,Known sequence,39.0
DeepSeek-R1-0528,2,Known sequence,13.0
Gemini,2,Known sequence,13.0
Gemini-2.5-Pro,2,Known sequence,6.0
Gemini-3-Pro,2,Known sequence,9.0
Grok-3,2,Known sequence,16.0
Grok-4,2,Known sequence,6.0
Grok-4.1,2,Known sequence,13.0
Llama-4-Scout,2,Known sequence,39.0
Meta,2,Known sequence,14.0
Mistral,2,Known sequence,0.0
Mistral-Large-2405,2,Known sequence,21.0
Mistral-Large-3,2,Known sequence,21.0
Qwen,2,Known sequence,15.0
Qwen-3,2,Known sequence,18.0
o1-Mini,2,Known sequence,8.0
o1-Preview,2,Known sequence,4.0
ChatGPT-4.5,3,Known sequence,0.0
ChatGPT-4o,3,Known sequence,0.0
ChatGPT-4o-Mini,3,Known sequence,0.0
ChatGPT-5,3,Known sequence,0.0
ChatGPT-5.2,3,Known sequence,0.0
Claude-3.5,3,Known sequence,0.0
Claude-3.7,3,Known sequence,9.0
Claude-4.5,3,Known sequence,0.0
Claude-Opus-4,3,Known sequence,0.0
Claude-Sonnet-4,3,Known sequence,0.0
Cursor-Small,3,Known sequence,0.0
DeepSeek,3,Known sequence,0.0
DeepSeek-R1-0528,3,Known sequence,0.0
Gemini,3,Known sequence,0.0
Gemini-2.5-Pro,3,Known sequence,0.0
Gemini-3-Pro,3,Known sequence,0.0
Grok-3,3,Known sequence,0.0
Grok-4,3,Known sequence,0.0
Grok-4.1,3,Known sequence,0.0
Llama-4-Scout,3,Known sequence,0.0
Meta,3,Known sequence,0.0
Mistral,3,Known sequence,0.0
Mistral-Large-2405,3,Known sequence,0.0
Mistral-Large-3,3,Known sequence,0.0
Qwen,3,Known sequence,0.0
Qwen-3,3,Known sequence,0.0
o1-Mini,3,Known sequence,0.0
o1-Preview,3,Known sequence,0.0
ChatGPT-4.5,1,Not found,0.0
ChatGPT-4o,1,Not found,0.0
ChatGPT-4o-Mini,1,Not found,0.0
ChatGPT-5,1,Not found,0.0
ChatGPT-5.2,1,Not found,0.0
Claude-3.5,1,Not found,0.0
Claude-3.7,1,Not found,0.0
Claude-4.5,1,Not found,0.0
Claude-Opus-4,1,Not found,0.0
Claude-Sonnet-4,1,Not found,0.0
Cursor-Small,1,Not found,0.0
DeepSeek,1,Not found,0.0
DeepSeek-R1-0528,1,Not found,0.0
Gemini,1,Not found,0.0
Gemini-2.5-Pro,1,Not found,0.0
Gemini-3-Pro,1,Not found,0.0
Grok-3,1,Not found,0.0
Grok-4,1,Not found,0.0
Grok-4.1,1,Not found,0.0
Llama-4-Scout,1,Not found,0.0
Meta,1,Not found,0.0
Mistral,1,Not found,0.0
Mistral-Large-2405,1,Not found,0.0
Mistral-Large-3,1,Not found,0.0
Qwen,1,Not found,0.0
Qwen-3,1,Not found,0.0
o1-Mini,1,Not found,0.0
o1-Preview,1,Not found,0.0
ChatGPT-4.5,2,Not found,0.0
ChatGPT-4o,2,Not found,0.0
ChatGPT-4o-Mini,2,Not found,0.0
ChatGPT-5,2,Not found,0.0
ChatGPT-5.2,2,Not found,0.0
Claude-3.5,2,Not found,0.0
Claude-3.7,2,Not found,0.0
Claude-4.5,2,Not found,0.0
Claude-Opus-4,2,Not found,0.0
Claude-Sonnet-4,2,Not found,0.0
Cursor-Small,2,Not found,0.0
DeepSeek,2,Not found,0.0
DeepSeek-R1-0528,2,Not found,0.0
Gemini,2,Not found,0.0
Gemini-2.5-Pro,2,Not found,0.0
Gemini-3-Pro,2,Not found,0.0
Grok-3,2,Not found,24.0
Grok-4,2,Not found,0.0
Grok-4.1,2,Not found,0.0
Llama-4-Scout,2,Not found,0.0
Meta,2,Not found,0.0
Mistral,2,Not found,0.0
Mistral-Large-2405,2,Not found,0.0
Mistral-Large-3,2,Not found,0.0
Qwen,2,Not found,0.0
Qwen-3,2,Not found,0.0
o1-Mini,2,Not found,0.0
o1-Preview,2,Not found,0.0
ChatGPT-4.5,3,Not found,30.0
ChatGPT-4o,3,Not found,30.0
ChatGPT-4o-Mini,3,Not found,0.0
ChatGPT-5,3,Not found,0.0
ChatGPT-5.2,3,Not found,28.0
Claude-3.5,3,Not found,30.0
Claude-3.7,3,Not found,0.0
Claude-4.5,3,Not found,30.0
Claude-Opus-4,3,Not found,0.0
Claude-Sonnet-4,3,Not found,0.0
Cursor-Small,3,Not found,30.0
DeepSeek,3,Not found,30.0
DeepSeek-R1-0528,3,Not found,0.0
Gemini,3,Not found,30.0
Gemini-2.5-Pro,3,Not found,0.0
Gemini-3-Pro,3,Not found,30.0
Grok-3,3,Not found,30.0
Grok-4,3,Not found,0.0
Grok-4.1,3,Not found,30.0
Llama-4-Scout,3,Not found,0.0
Meta,3,Not found,30.0
Mistral,3,Not found,30.0
Mistral-Large-2405,3,Not found,0.0
Mistral-Large-3,3,Not found,30.0
Qwen,3,Not found,30.0
Qwen-3,3,Not found,0.0
o1-Mini,3,Not found,30.0
o1-Preview,3,Not found,30.0
ChatGPT-4.5,1,Pure math,90.0
ChatGPT-4o,1,Pure math,60.0
ChatGPT-4o-Mini,1,Pure math,87.0
ChatGPT-5,1,Pure math,87.0
ChatGPT-5.2,1,Pure math,31.0
Claude-3.5,1,Pure math,68.0
Claude-3.7,1,Pure math,60.0
Claude-4.5,1,Pure math,71.0
Claude-Opus-4,1,Pure math,63.0
Claude-Sonnet-4,1,Pure math,90.0
Cursor-Small,1,Pure math,36.0
DeepSeek,1,Pure math,60.0
DeepSeek-R1-0528,1,Pure math,87.0
Gemini,1,Pure math,60.0
Gemini-2.5-Pro,1,Pure math,87.0
Gemini-3-Pro,1,Pure math,30.0
Grok-3,1,Pure math,60.0
Grok-4,1,Pure math,87.0
Grok-4.1,1,Pure math,28.0
Llama-4-Scout,1,Pure math,42.0
Meta,1,Pure math,60.0
Mistral,1,Pure math,60.0
Mistral-Large-2405,1,Pure math,60.0
Mistral-Large-3,1,Pure math,30.0
Qwen,1,Pure math,30.0
Qwen-3,1,Pure math,90.0
o1-Mini,1,Pure math,60.0
o1-Preview,1,Pure math,60.0
ChatGPT-4.5,2,Pure math,0.0
ChatGPT-4o,2,Pure math,30.0
ChatGPT-4o-Mini,2,Pure math,75.0
ChatGPT-5,2,Pure math,38.0
ChatGPT-5.2,2,Pure math,15.0
Claude-3.5,2,Pure math,24.0
Claude-3.7,2,Pure math,78.0
Claude-4.5,2,Pure math,12.0
Claude-Opus-4,2,Pure math,45.0
Claude-Sonnet-4,2,Pure math,35.0
Cursor-Small,2,Pure math,29.0
DeepSeek,2,Pure math,20.0
DeepSeek-R1-0528,2,Pure math,39.0
Gemini,2,Pure math,36.0
Gemini-2.5-Pro,2,Pure math,83.0
Gemini-3-Pro,2,Pure math,17.0
Grok-3,2,Pure math,20.0
Grok-4,2,Pure math,84.0
Grok-4.1,2,Pure math,10.0
Llama-4-Scout,2,Pure math,51.0
Meta,2,Pure math,36.0
Mistral,2,Pure math,58.0
Mistral-Large-2405,2,Pure math,69.0
Mistral-Large-3,2,Pure math,2.0
Qwen,2,Pure math,15.0
Qwen-3,2,Pure math,72.0
o1-Mini,2,Pure math,18.0
o1-Preview,2,Pure math,34.0
ChatGPT-4.5,3,Pure math,0.0
ChatGPT-4o,3,Pure math,0.0
ChatGPT-4o-Mini,3,Pure math,90.0
ChatGPT-5,3,Pure math,47.0
ChatGPT-5.2,3,Pure math,2.0
Claude-3.5,3,Pure math,0.0
Claude-3.7,3,Pure math,81.0
Claude-4.5,3,Pure math,0.0
Claude-Opus-4,3,Pure math,81.0
Claude-Sonnet-4,3,Pure math,53.0
Cursor-Small,3,Pure math,0.0
DeepSeek,3,Pure math,0.0
DeepSeek-R1-0528,3,Pure math,58.0
Gemini,3,Pure math,0.0
Gemini-2.5-Pro,3,Pure math,90.0
Gemini-3-Pro,3,Pure math,0.0
Grok-3,3,Pure math,0.0
Grok-4,3,Pure math,90.0
Grok-4.1,3,Pure math,0.0
Llama-4-Scout,3,Pure math,90.0
Meta,3,Pure math,0.0
Mistral,3,Pure math,0.0
Mistral-Large-2405,3,Pure math,90.0
Mistral-Large-3,3,Pure math,0.0
Qwen,3,Pure math,0.0
Qwen-3,3,Pure math,90.0
o1-Mini,3,Pure math,0.0
o1-Preview,3,Pure math,0.0
ChatGPT-4.5,1,Valid Instances,90.0
ChatGPT-4o,1,Valid Instances,60.0
ChatGPT-4o-Mini,1,Valid Instances,90.0
ChatGPT-5,1,Valid Instances,87.0
ChatGPT-5.2,1,Valid Instances,31.0
Claude-3.5,1,Valid Instances,68.0
Claude-3.7,1,Valid Instances,90.0
Claude-4.5,1,Valid Instances,71.0
Claude-Opus-4,1,Valid Instances,78.0
Claude-Sonnet-4,1,Valid Instances,90.0
Cursor-Small,1,Valid Instances,36.0
DeepSeek,1,Valid Instances,60.0
DeepSeek-R1-0528,1,Valid Instances,87.0
Gemini,1,Valid Instances,60.0
Gemini-2.5-Pro,1,Valid Instances,90.0
Gemini-3-Pro,1,Valid Instances,30.0
Grok-3,1,Valid Instances,60.0
Grok-4,1,Valid Instances,90.0
Grok-4.1,1,Valid Instances,30.0
Llama-4-Scout,1,Valid Instances,90.0
Meta,1,Valid Instances,60.0
Mistral,1,Valid Instances,60.0
Mistral-Large-2405,1,Valid Instances,90.0
Mistral-Large-3,1,Valid Instances,30.0
Qwen,1,Valid Instances,30.0
Qwen-3,1,Valid Instances,90.0
o1-Mini,1,Valid Instances,60.0
o1-Preview,1,Valid Instances,60.0
ChatGPT-4.5,2,Valid Instances,28.0
ChatGPT-4o,2,Valid Instances,62.0
ChatGPT-4o-Mini,2,Valid Instances,90.0
ChatGPT-5,2,Valid Instances,49.0
ChatGPT-5.2,2,Valid Instances,22.0
Claude-3.5,2,Valid Instances,32.0
Claude-3.7,2,Valid Instances,90.0
Claude-4.5,2,Valid Instances,47.0
Claude-Opus-4,2,Valid Instances,61.0
Claude-Sonnet-4,2,Valid Instances,46.0
Cursor-Small,2,Valid Instances,38.0
DeepSeek,2,Valid Instances,59.0
DeepSeek-R1-0528,2,Valid Instances,52.0
Gemini,2,Valid Instances,49.0
Gemini-2.5-Pro,2,Valid Instances,89.0
Gemini-3-Pro,2,Valid Instances,26.0
Grok-3,2,Valid Instances,60.0
Grok-4,2,Valid Instances,90.0
Grok-4.1,2,Valid Instances,23.0
Llama-4-Scout,2,Valid Instances,90.0
Meta,2,Valid Instances,50.0
Mistral,2,Valid Instances,58.0
Mistral-Large-2405,2,Valid Instances,90.0
Mistral-Large-3,2,Valid Instances,23.0
Qwen,2,Valid Instances,30.0
Qwen-3,2,Valid Instances,90.0
o1-Mini,2,Valid Instances,26.0
o1-Preview,2,Valid Instances,38.0
ChatGPT-4.5,3,Valid Instances,0.0
ChatGPT-4o,3,Valid Instances,0.0
ChatGPT-4o-Mini,3,Valid Instances,90.0
ChatGPT-5,3,Valid Instances,47.0
ChatGPT-5.2,3,Valid Instances,2.0
Claude-3.5,3,Valid Instances,0.0
Claude-3.7,3,Valid Instances,90.0
Claude-4.5,3,Valid Instances,0.0
Claude-Opus-4,3,Valid Instances,81.0
Claude-Sonnet-4,3,Valid Instances,53.0
Cursor-Small,3,Valid Instances,0.0
DeepSeek,3,Valid Instances,30.0
DeepSeek-R1-0528,3,Valid Instances,58.0
Gemini,3,Valid Instances,0.0
Gemini-2.5-Pro,3,Valid Instances,90.0
Gemini-3-Pro,3,Valid Instances,0.0
Grok-3,3,Valid Instances,0.0
Grok-4,3,Valid Instances,90.0
Grok-4.1,3,Valid Instances,0.0
Llama-4-Scout,3,Valid Instances,90.0
Meta,3,Valid Instances,0.0
Mistral,3,Valid Instances,0.0
Mistral-Large-2405,3,Valid Instances,90.0
Mistral-Large-3,3,Valid Instances,0.0
Qwen,3,Valid Instances,0.0
Qwen-3,3,Valid Instances,90.0
o1-Mini,3,Valid Instances,0.0
o1-Preview,3,Valid Instances,0.0
